date,model,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,grid_cost_yuan,two_way_grid_cost_yuan,reversal_gap_yuan,adjusted_kwh,emergency_kwh,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,final_commitment_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,start_soc_kwh,end_soc_kwh,emergency_slots
2025-02-01,M1,21806.070467878453,0.0,0.0,21806.070467878453,21806.070467878453,0.0,0.0,0.0,0.0,21806.070467878453,42387.89883577162,42387.89883577162,1523.429075245602,2720.711608348176,19816.14588809305,16050.563669248544,10799.428333214635,10800.0,0
2025-02-02,M1,55828.16689298318,0.0,0.0,55828.16689298318,55828.16689298318,0.0,0.0,0.0,0.0,55828.16689298318,88986.96152661827,88986.96152661827,6256.064263188938,59.174066666666704,22712.869719803566,18397.42447304089,10800.0,10800.0,0
2025-02-03,M1,55402.150522888376,0.0,165.2150296861146,55567.36555257449,55567.36555257449,0.0,85.50838686753855,90.48255262857037,631.2062871369069,56198.571839711396,88628.24489389136,88713.75328075889,4146.3468771067055,0.0,23373.539243582993,18932.56678730223,10800.0,10800.0,1
2025-02-04,M1,55109.25965875718,0.0,0.0,55109.25965875718,55109.25965875718,0.0,0.0,4.6089924763813315,22.67393848755796,55131.93359724474,88238.44147131412,88238.44147131412,2432.6784264011903,0.0,24828.115164380622,20212.60707699131,10800.0,10686.851340174446,1
2025-02-05,M1,51748.74948361698,0.0,2047.2226523067902,53795.97213592378,53795.97213592378,0.0,1493.6204292605862,1194.2363835825204,6711.015451121633,60506.98758704541,83701.34005525905,85194.96048451963,950.4873796421034,0.0,24435.721568385423,19745.439063258702,10686.851340174446,10739.624014767216,8
2025-02-06,M1,53273.31284034434,0.0,910.4889395578025,54183.80177990213,54183.80177990213,0.0,510.3964603157143,221.84822127753893,1159.7286683362129,55343.53044823834,85609.89138244037,86120.28784275608,1483.3022794413628,0.0,24617.214290412623,20029.43772248703,10739.624014767216,10640.186073375215,8
2025-02-07,M1,19331.16288828306,0.0,185.29843592836517,19516.461324211425,19516.461324211425,0.0,125.14668282738336,630.8173818753086,3257.280574255897,22773.74189846732,38074.43992096609,38199.586603793476,189.8426281811079,2971.4331262869537,20422.829255647914,16559.38069111386,10640.186073375215,10621.420524442934,6
2025-02-08,M1,17022.492386667436,0.0,2644.106011414549,19666.598398081987,19666.598398081987,0.0,2132.905747212517,719.2164866661916,4291.61276337023,23958.21116145222,33907.2609964882,36040.16674370072,59.95924770087038,988.8823666666668,21393.8244752907,17260.445575957994,10621.420524442934,10697.589690029023,6
2025-02-09,M1,48971.057950697344,0.0,4575.566319087725,53546.624269785076,53546.624269785076,0.0,3628.962235205807,1181.3832901518635,6115.182093925464,59661.80636371054,79489.56415573572,83118.52639094152,239.35447964459922,0.0,23977.651589366415,19472.51235458429,10697.589690029023,10641.351282031814,14
2025-02-10,M1,50455.113432661885,0.0,597.6269016046172,51052.74033426648,51052.74033426648,0.0,396.25207535737536,290.60019932341453,1617.7861943804166,52670.52652864689,81445.96740197093,81842.2194773283,3455.6391596599115,193.20466666666675,22283.36146819586,18126.02320120406,10641.351282031814,10556.35082429247,9
2025-02-11,M1,49625.47285642449,0.0,350.36796384435,49975.84082026885,49975.84082026885,0.0,245.59969079136414,1089.7257143605937,5908.972000162532,55884.81282043138,80481.42023622585,80727.0199270172,1886.0454347897628,0.0,24014.926023196866,19304.822949942158,10556.35082429247,10719.980967456146,14
2025-02-12,M1,50374.610242302064,0.0,724.7846574821158,51099.39489978418,51099.39489978418,0.0,377.85059130149733,255.069928874344,1486.0066139889366,52585.40151377312,81319.20452891075,81697.05512021224,2229.8061020613504,84.31429590992047,22930.485502100648,18559.216984318664,10719.980967456146,10736.065714548213,9
2025-02-13,M1,50291.32165913238,0.0,212.5323432000577,50503.854002332446,50503.854002332446,0.0,151.24933296378788,84.24179068559677,521.5434102856693,51025.39741261811,81204.2050542785,81355.45438724228,5615.006007001311,360.1708882040491,21460.52320604869,17325.482939992835,10736.065714548213,10800.0,2
2025-02-14,M1,18283.44723624266,0.0,626.4803310239407,18909.9275672666,18909.9275672666,0.0,411.74468821917316,174.6194196474089,980.6496172786724,19890.577184545273,35582.15228302152,35993.89697124069,160.6956170607557,2140.63365,21582.129745522347,17516.74443836167,10800.0,10760.867395012698,3
2025-02-15,M1,18111.72940438027,0.0,624.0520078834938,18735.78141226376,18735.78141226376,0.0,486.0069946858085,302.2781373029294,1506.7244630781236,20242.505875341885,35196.34154971034,35682.348544396154,79.12115275907183,2689.1358666666683,21406.492920291275,17470.21435801793,10760.867395012698,10615.36173658826,9
2025-02-16,M1,50563.952818091224,0.0,268.6948612403561,50832.64767933158,50832.64767933158,0.0,139.91507641140743,96.19886418501702,530.7436623347929,51363.39134166637,81734.56196962985,81874.47704604127,2045.444593952123,30.539166666666688,23325.900087627837,18808.58703802034,10615.36173658826,10710.241773208498,4
2025-02-17,M1,50109.72713812802,0.0,0.0,50109.72713812802,50109.72713812802,0.0,0.0,143.01901016140482,959.4367901208522,51069.163928248876,81441.27233101655,81441.27233101655,5560.0981913721835,794.4812,21081.579858803212,17035.731075664098,10710.241773208498,10755.073562060164,2
2025-02-18,M1,47331.952647466256,0.0,733.5045766819643,48065.45722414823,48065.45722414823,0.0,521.1361993375332,46.13879046719762,209.97113122346866,48275.4283553717,76981.56349422697,77502.6996935645,1008.4505568418874,38.890194032921045,22998.29555619845,18588.185606374893,10755.073562060164,10800.0,3
2025-02-19,M1,46878.93246500021,0.0,866.5278480373647,47745.46031303756,47745.46031303756,0.0,635.354428784128,1184.4960304337333,5707.182916325965,53452.64322936353,76421.93527770703,77057.28970649115,1056.67840141638,0.0,23716.925196206168,19411.145244030988,10800.0,10577.293516551113,16
2025-02-20,M1,48019.435910728236,0.0,171.62589096695135,48191.061801695185,48191.061801695185,0.0,88.82638043989925,68.45143864037993,314.6744172954167,48505.7362189906,78335.11838239111,78423.94476283102,2927.47661284998,0.0,23007.105369389974,18435.319514101888,10577.293516551113,10800.0,2
2025-02-21,M1,18034.807017212563,0.0,52.054533848738764,18086.861551061298,18086.861551061298,0.0,40.25796557213951,0.0,0.0,18086.861551061298,35106.89802677906,35147.155992351196,233.69930220195647,5249.080210669668,21600.60234813812,17496.487901991877,10800.0,10800.0,0
2025-02-22,M1,18050.17891204541,0.0,420.92442315158803,18471.103335196996,18471.103335196996,0.0,262.0924895625325,43.7175949388877,240.74296586051247,18711.84630105751,35074.26372357739,35336.35621313992,341.94094435327014,3123.2051499999975,21421.920159959,17351.75532956679,10800.0,10800.0,2
