date,x_plan_kwh,C_plan_yuan,C_adjust_yuan,C_grid_yuan,e_emergency_kwh,C_emer_yuan,C_total_yuan,r_purchase_waste_kwh,w_pv_waste_kwh,u_charge_kwh,v_discharge_kwh,E_start_kwh,E_end_kwh,L_energy_kwh,P_act_energy_kwh
2025-02-01,42267.20400762825,17987.122708702045,0.0,17987.122708702045,0.0,0.0,17987.122708702045,1512.9730984424114,2728.66626054171,19196.7827121621,15549.3939968513,10800.0,10800.0,76305.20628333333,41927.03035
2025-02-02,89091.88894622425,62250.17430234254,0.0,62250.17430234254,0.0,0.0,62250.17430234254,6275.363686764681,59.174066666666704,23163.543383120596,18762.470140327678,10800.0,10800.0,121705.97265,43349.69469999999
2025-02-03,88423.71266864782,62780.03498732285,57.56486116142261,62837.599848484264,0.0,0.0,62837.599848484264,3987.7338261195996,0.0,22521.91638362136,18242.752270733305,10800.0,10800.0,122603.769,42386.85249999999
2025-02-04,88298.7535076712,62462.10129175522,89.89994091091195,62552.00123266613,0.0,0.0,62552.00123266613,2489.0443551892167,0.0,25016.326435961615,20354.614409941467,10800.0,10698.455559097161,121578.09884999998,40383.2349
2025-02-05,83686.57656710006,58350.95650616015,2173.8819691910203,60524.83847535119,968.1113138465378,5441.930306182966,65966.76878153416,800.939995588874,0.0,24397.64309397751,19781.819094733837,10698.455559097161,10676.535349528212,121991.08443333334,41242.65745
2025-02-06,85598.20394705333,60361.36578956009,422.705975644183,60784.0717652043,81.0540704574618,512.1001706377208,61296.17193584202,1461.0670931717868,0.0,24718.887883660987,20168.316663363883,10676.535349528212,10514.293707752118,122252.1627,41981.10548333333
2025-02-07,38149.92760570819,15914.642331208219,182.002556698008,16096.644887906226,200.04847886168167,828.2338933268215,16924.87878123305,305.32762752502447,2868.5019326065785,20188.014169328595,16674.22621514772,10514.293707752118,10156.588443317054,76168.59693333332,44362.91726666666
2025-02-08,34732.604943280356,13964.661442994788,2391.7720845730296,16356.433527567819,323.8895976966757,1607.4640733686015,17963.89760093642,42.94300139581094,1199.1951601615278,21746.033032298106,17283.599572779734,10156.588443317054,10524.018647074538,75746.78751666666,44169.6248
2025-02-09,79671.01120983412,55001.35474146097,5421.779392669982,60423.13413413095,394.75621101682503,1990.574092649015,62413.70822677997,237.69050435132462,0.0,24911.096697271096,20330.256059286407,10524.018647074538,10354.832275411412,121547.90356666666,41992.48759999999
2025-02-10,81366.68730491347,55648.999982483874,974.1844960238344,56623.18447850772,0.0,0.0,56623.18447850772,3216.7672035304086,328.1247000000001,20973.138822823286,16698.173035997326,10354.832275411412,10677.131620399783,121477.56451666665,47150.92693333333
2025-02-11,80170.88998013506,54998.23429465846,1011.0217827875874,56009.25607744605,271.64065043822245,1405.4343456310755,57414.690423077125,1545.4489491734607,0.0,23301.167950822288,18964.77155447837,10677.131620399783,10576.214382274988,121441.28161666667,46220.68448333333
2025-02-12,81374.10201750233,55672.135003578536,576.8962597836156,56249.03126336214,10.432783395604702,56.5874171377599,56305.6186804999,2213.405719607048,163.38428333333331,22688.648879475633,18497.79194687592,10576.214382274988,10442.896210607585,121363.85288333334,46097.116749999994
2025-02-13,81313.39508404801,55067.91841042365,1035.6731720670552,56103.591582490706,0.0,0.0,56103.591582490706,6003.938928804361,401.75736666666694,20099.800000453048,15959.444589913805,10442.896210607585,10800.0,121310.28371666666,49980.80469999999
2025-02-14,36350.810817424885,15192.092953565803,1347.1515327469185,16539.244486312724,0.0,0.0,16539.244486312724,423.5666041117574,3231.04783279171,20747.656277968876,16805.601585154793,10800.0,10800.0,75872.63794999999,46070.83613333333
2025-02-15,35608.96838321406,15207.732127995345,1915.1431911142236,17122.875319109567,0.0,0.0,17122.875319109567,130.72896588289996,4033.903830319601,19278.716939363374,15627.45074116512,10800.0,10787.011088576905,76054.55225,46774.46115
2025-02-16,81423.78082459397,55778.33408680428,1555.7706892039143,57334.104776008186,14.050303401570659,75.07779622629282,57409.18257223448,2809.1667395181157,17.206249999999955,21486.630263031984,17392.48049277512,10787.011088576905,10800.0,121276.97728333331,45899.59818333333
2025-02-17,81320.4119823843,55041.35444295243,1287.3507446046349,56328.705187557076,16.694513422821956,89.08192362417795,56417.78711118126,6051.242427292115,882.1082833333332,20427.21404465674,16546.043376171958,10800.0,10800.0,120960.37281666666,49776.50964999999
2025-02-18,76546.68123413419,51157.48868031714,3071.5203886383943,54229.009068955536,6.867537074033976,34.996968929277145,54264.006037884814,2338.3996660616313,241.45472736625413,19619.62509149471,15891.896324110712,10800.0,10800.0,121331.27123333333,49239.883449999994
2025-02-19,76052.2195951163,50407.665507171354,3521.534457206323,53929.19996437769,38.99495424988097,206.30049924963663,54135.50046362732,1325.7503224453008,0.0,21952.36576564538,17781.416270172755,10800.0,10800.0,121866.79411666666,48987.466733333335
2025-02-20,77819.09381797971,52218.32883973223,1310.0717923533005,53528.40063208552,48.93628684981297,274.5570373708757,53802.957669456395,3298.772511186383,391.814483333333,20692.67993102834,16761.070744132958,10800.0,10800.0,121105.25703333333,50112.12329999999
2025-02-21,35498.67159810696,15065.470805729237,1757.0935027313008,16822.56430846054,0.0,0.0,16822.56430846054,1005.6220318275515,6705.071269087332,18702.56594657221,15149.078416723492,10800.0,10800.0,75802.00203333332,50241.74
2025-02-22,35555.71950048784,15208.992518585786,1870.1478916729352,17079.140410258722,0.0,0.0,17079.140410258722,959.3892231920897,4507.743536098407,19345.782464571905,15670.083796303237,10800.0,10800.0,75682.24226666667,47837.47938333333
2025-02-23,77668.67455117835,51722.411912293035,2238.60512435201,53961.01703664504,22.13503095425881,114.43811003351804,54075.455146678556,3085.122038733001,417.62383333333355,20866.70841254046,16902.033814157774,10800.0,10800.0,121142.14093333333,49610.287249999994
2025-02-24,75147.29174653895,49817.51979089758,1385.2702012989641,51202.78999219654,41.82843512260297,213.72238925893987,51416.51238145548,2952.0877697982664,969.0918530326775,20547.659481664898,16643.604180148566,10800.0,10800.0,120628.98854999998,52425.954933333334
