quantile,split,evaluation_start,evaluation_end,n_days,planned_purchase_kwh,planned_cost_yuan,adjust_cost_yuan,grid_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,curtailed_pv_kwh,days_with_emergency,daily_cost_p95_yuan,daily_cost_cvar95_yuan,final_soc_kwh
0.6,开发期(2-8月),2025-02-01,2025-08-31,212,12523808.695166413,8000169.901838763,433707.0955274068,8433876.99736617,55275.14795578789,315925.86093518,8749802.858301349,322623.421832846,811418.7338503735,148,65355.718134250346,68914.14497933301,10800.0
0.6,留出期(9-12月),2025-09-01,2025-12-31,122,7810821.9234233815,5051324.961662344,199519.93843899222,5250844.900101336,25644.193749098562,147281.55491861026,5398126.455019945,174732.50828938678,329406.3872333345,79,74064.4849851572,76901.14841678207,10280.598872759632
0.6,全年正式期,2025-02-01,2025-12-31,334,20334630.618589796,13051494.863501105,633227.033966399,13684721.897467505,80919.34170488644,463207.4158537902,14147929.313321296,497355.9301222329,1140825.121083708,227,71708.5389974813,74511.21149170246,10280.598872759632
0.7,开发期(2-8月),2025-02-01,2025-08-31,212,12533687.579102479,8075310.008885035,443690.63411702984,8519000.643002067,33189.69095714042,196409.38675431767,8715410.029756386,327206.2768926796,847484.4079480222,110,65403.08889902674,68761.7677063584,10800.0
0.7,留出期(9-12月),2025-09-01,2025-12-31,122,7806411.527510255,5131137.084335075,176983.7083783666,5308120.792713442,10329.129477927883,60968.80529481515,5369089.598008256,167425.60270895672,345937.94860433403,54,74091.44609866745,76675.25601036231,10055.461818307906
0.7,全年正式期,2025-02-01,2025-12-31,334,20340099.106612734,13206447.093220111,620674.3424953965,13827121.435715508,43518.8204350683,257378.19204913283,14084499.627764639,494631.87960163644,1193422.3565523564,164,71316.29580973167,74050.35815362891,10055.461818307906
0.8,开发期(2-8月),2025-02-01,2025-08-31,212,12542844.012197353,8209909.033690538,411598.7160537522,8621507.749744289,17971.06014699959,109870.62611581941,8731378.375860108,313440.4453954272,895411.5198200294,92,64569.21240304093,68647.93313336707,10800.0
0.8,留出期(9-12月),2025-09-01,2025-12-31,122,7806373.184278512,5214017.982990664,173573.19487022012,5387591.177860884,3365.790992552206,19489.420520711672,5407080.598381596,163543.05068452662,371347.1550596717,43,74972.64610844225,76734.65986643822,9716.064587910823
0.8,全年正式期,2025-02-01,2025-12-31,334,20349217.196475863,13423927.0166812,585171.9109239724,14009098.927605174,21336.851139551796,129360.04663653107,14138458.974241704,476983.49607995385,1266758.6748797009,135,71472.77208083113,74301.86016393731,9716.064587910823
0.9,开发期(2-8月),2025-02-01,2025-08-31,212,12581712.139654692,8640609.827816334,275521.5114004512,8916131.339216784,6192.079629271211,42354.87770035968,8958486.216917142,267810.67785585433,1043158.8708826691,68,66324.07615624799,69570.18023657535,10800.0
0.9,留出期(9-12月),2025-09-01,2025-12-31,122,7804942.69896223,5455115.013178961,129292.08148469114,5584407.094663652,1164.630088712597,7835.874460445775,5592242.969124098,151727.97752330167,436533.6338378845,34,76523.45413479985,78261.16181254284,9576.48599367198
0.9,全年正式期,2025-02-01,2025-12-31,334,20386654.838616922,14095724.840995295,404813.59288514225,14500538.433880437,7356.709717983808,50190.75216080545,14550729.186041243,419538.655379156,1479692.5047205535,102,73351.64627649063,76071.33262122051,9576.48599367198
