date,soc_min_kwh,soc_max_kwh,start_soc_kwh,end_soc_kwh,reserve_kwh,E_min_kwh,E_max_kwh
2025-02-01,1476.69229605,10800,10045.2541983,9790.25442561,567.2974874,1200,10800
2025-02-02,1878.01111311,10800,9790.25442561,10049.67006,549.32117844,1200,10800
2025-02-03,1296.26061324,10800,10049.67006,9998.32536615,531.344869479,1200,10800
2025-02-04,1306.56575647,10800,9998.32536615,9807.83343552,513.368560519,1200,10800
2025-02-05,1200,10800,9807.83343552,9487.96628942,495.392251558,1200,10800
2025-02-06,1220.20632097,10792.0814151,9487.96628942,9760.76884508,567.2974874,1200,10800
2025-02-07,1332.7009269,10800,9760.76884508,9158.46604539,549.32117844,1200,10800
2025-02-08,1200,10800,9158.46604539,9609.52591474,531.344869479,1200,10800
2025-02-09,1441.39742043,10671.0605286,9609.52591474,9439.88020638,663.894033032,1200,10800
2025-02-10,1595.45051512,10616.2134122,9439.88020638,9500.85261775,955.889939713,1200,10800
2025-02-11,1416.93032748,10454.9929263,9500.85261775,9493.36582564,808.788851481,1200,10800
2025-02-12,1200,10800,9493.36582564,9739.8133942,760.490578665,1200,10800
2025-02-13,1919.85215885,10800,9739.8133942,9858.93215396,712.192305849,1200,10800
2025-02-14,2083.01422833,10800,9858.93215396,9997.55781706,663.894033032,1200,10800
2025-02-15,1886.29354894,10800,9997.55781706,9588.77066584,615.595760216,1200,10800
2025-02-16,1403.8907668,10799.3546594,9588.77066584,9911.00439589,567.2974874,1200,10800
2025-02-17,1395.18692536,10800,9911.00439589,9812.21889683,549.32117844,1200,10800
2025-02-18,1530.60986002,10695.1657443,9812.21889683,10131.7478514,531.344869479,1200,10800
2025-02-19,1936.98623681,10800,10131.7478514,9751.79041081,513.368560519,1200,10800
2025-02-20,1858.49212163,10800,9751.79041081,10071.5274311,495.392251558,1200,10800
2025-02-21,2429.12080515,10800,10071.5274311,10097.131435,477.415942598,1200,10800
2025-02-22,2306.13103739,10800,10097.131435,10125.1829873,472.290044723,1200,10800
2025-02-23,1917.76900947,10800,10125.1829873,9902.19409685,467.164146847,1200,10800
2025-02-24,1773.74684993,10800,9902.19409685,10139.6332151,462.038248972,1200,10800
2025-02-25,2057.8448737,10800,10139.6332151,9931.59857101,456.912351097,1200,10800
2025-02-26,1943.42378246,10800,9931.59857101,10288.8582228,451.786453222,1200,10800
2025-02-27,1343.56363466,10800,10288.8582228,9957.32683488,472.290044723,1200,10800
2025-02-28,1870.06494265,10800,9957.32683488,9843.67384662,467.164146847,1200,10800
2025-03-01,1601.88535683,10800,9843.67384662,9486.72499528,513.368560519,1200,10800
2025-03-02,1200,10800,9486.72499528,9680.95769316,495.392251558,1200,10800
2025-03-03,1200,10800,9680.95769316,9619.66197124,567.2974874,1200,10800
2025-03-04,1200,10800,9619.66197124,9539.16258985,549.32117844,1200,10800
2025-03-05,1200,10800,9539.16258985,9555.65454614,531.344869479,1200,10800
2025-03-06,1277.88931176,10670.7447214,9555.65454614,9434.22734318,513.368560519,1200,10800
2025-03-07,1831.43999504,10800,9434.22734318,9586.31384718,615.595760216,1200,10800
2025-03-08,2333.69951396,10800,9586.31384718,9758.03068479,567.2974874,1200,10800
2025-03-09,1662.16367855,10681.3894121,9758.03068479,9579.91958314,760.490578665,1200,10800
2025-03-10,1749.27067131,10311.0914434,9579.91958314,9671.72887814,712.192305849,1200,10800
2025-03-11,2081.02654317,10753.7440394,9671.72887814,9901.46740963,835.753029342,1200,10800
2025-03-12,1711.88271469,10682.064178,9901.46740963,9684.74259318,881.015902828,1200,10800
2025-03-13,1820.65745516,10701.5701647,9684.74259318,9705.02342699,876.199296134,1200,10800
2025-03-14,2584.04910965,10800,9705.02342699,10272.7783236,895.46572291,1200,10800
2025-03-15,2477.85619211,10800,10272.7783236,9847.06799808,890.649116216,1200,10800
