date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,planned_purchase_kwh,planned_cost_yuan,decision_day_planned_purchase_kwh,final_commitment_kwh,reserve_kwh,reserve_effective_kwh,reserve_00_kwh,window_residual_00_kwh,reserve_06_kwh,window_residual_06_kwh,reserve_12_kwh,window_residual_12_kwh,reserve_18_kwh,window_residual_18_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,emergency_slots,reversal_slots,down_slots,below_min_kwh,chain_misprice_yuan,cost_identity_residual_yuan
2025-02-01,21765.9572135,20683.6326314,792.856748103,289.467834008,0,21765.9572135,0,10045.2541983,9790.25442561,865.652508394,1451.43581337,19345.6702596,15899.4927057,42224.2118957,22268.7985414,42279.0995228,40141.441809,567.2974874,567.2974874,567.2974874,-4105.361557,479.951819733,1132.09424843,443.7564176,-538.866017757,175.299538382,108.583937787,298.908421757,2381.67850838,2680.58693014,0,19,37,2380.37377599,0,0
2025-02-02,55141.8358907,53020.3077499,1556.1310885,565.397052241,0,55141.8358907,0,9790.25442561,10049.67006,1706.95528613,0,22443.2499414,17945.5583816,88841.8114304,56132.5699269,89014.8466621,84560.9247959,549.32117844,549.32117844,549.32117844,-5730.8283377,950.96150613,-1107.45325742,436.148448914,-688.042961389,170.47743015,-200.063903622,488.856425502,4769.74305995,5258.59948546,0,13,74,4769.74305995,4.36557456851e-11,0
2025-02-03,55703.3456957,53097.1020112,1460.87460925,1145.36907527,0,55703.3456957,0,10049.67006,9998.32536615,1108.03031296,0,23722.7653671,19261.6501718,88815.5786517,56018.8512297,88792.4317887,85786.0620083,531.344869479,531.344869479,531.344869479,-4029.6895449,833.20908453,574.482099271,428.540480229,-93.4003755733,165.655321919,-239.589419798,1254.6013486,4284.11799204,5538.71934064,0,24,72,4284.11799204,0,0
2025-02-04,57013.0004411,53872.020872,1320.14236532,1820.8372038,0,57013.0004411,0,9998.32536615,9807.83343552,1626.10773335,0,23590.7501365,19279.9503482,89345.4063381,56512.3056026,89363.181319,87131.7714717,513.368560519,513.368560519,513.368560519,-3526.76027781,772.174830654,1028.78129089,420.932511543,858.712633777,160.833213687,48.4582229302,1567.76207946,3781.39694584,5349.15902529,0,27,72,3781.39694584,0,0
2025-02-05,55223.3380437,51570.1073489,392.694489575,3260.53620524,275.723550406,55499.0615941,59.4748454242,9807.83343552,9487.96628942,274.430104784,0,23226.3685866,19101.2389866,83865.8886844,52351.2107055,83813.033945,85088.5118427,495.392251558,495.392251558,495.392251558,1544.29429264,1036.76781826,287.88801759,460.081392121,753.600451444,156.011105455,456.176030125,2445.92070827,1223.29755003,3669.2182583,3,3,22,1219.88570178,1.45519152284e-11,0
2025-02-06,55703.0328894,52320.3162901,1173.50616097,2209.21043824,404.314703127,56107.3475925,73.2461903706,9487.96628942,9760.76884508,186.28736124,0,23723.3476146,18970.3892677,86949.6692479,54667.3286121,86942.6308148,85137.0567344,567.2974874,567.2974874,567.2974874,-1593.89860927,1028.78129089,246.082560998,525.381290205,1439.86491918,175.299538382,251.492608438,1801.70011635,3614.31262984,5416.01274618,3,24,61,3614.31262984,-2.18278728426e-11,9.66338120634e-12
2025-02-07,20513.4020932,19590.2674371,343.311252118,579.823403957,0,20513.4020932,0,9760.76884508,9158.46604539,276.759419569,3258.89609342,19511.4524926,16346.3490388,39241.5888606,20273.4103021,39107.0726423,38506.4386335,549.32117844,549.32117844,549.32117844,-3259.52859766,937.921452569,-2600.63426079,619.708567076,384.125509191,193.809279676,821.477941057,433.747969151,1168.89819622,1602.64616537,0,17,35,1164.17704033,3.63797880709e-12,0
2025-02-08,20925.437364,17459.3007221,82.2637142429,3383.87292765,1141.14239808,22066.5797621,186.674692962,9158.46604539,9609.52591474,64.7276582991,1550.6342449,20516.2435128,16212.203363,34647.9177683,17590.6460497,34630.0884266,37309.8900768,531.344869479,531.344869479,531.344869479,4705.44201874,847.061614244,1733.36971271,596.126747859,1598.14092807,200.68073663,569.490157542,2972.4197622,310.447453721,3282.86721592,1,3,3,266.404314661,0,-2.27373675443e-13
2025-02-09,54918.145473,49992.4218854,112.049941567,4813.67364602,0,54918.145473,0,9609.52591474,9439.88020638,199.755107644,0,23543.7387024,19223.1094865,80549.2940896,50202.4813509,80727.8848286,84075.8002903,663.894033032,663.894033032,663.894033032,3751.2991909,1044.75434563,1132.9696297,687.414412354,325.619113649,210.234353392,578.078385555,3943.01580507,416.509604467,4359.52540954,0,3,5,405.331817907,-1.45519152284e-11,0
2025-02-10,51640.0523571,48547.0153276,1366.49760607,1726.53942339,0,51640.0523571,0,9439.88020638,9500.85261775,219.254946896,0,21843.2536327,17638.1602723,81549.4123932,51271.4529382,81517.0338489,78750.9858907,955.889939713,955.889939713,955.889939713,-2344.90699665,1081.38999187,1484.33164265,665.352399324,452.27763843,228.155127212,484.916705031,1592.85358422,4391.28008676,5984.13367098,0,11,33,4384.46725219,1.45519152284e-11,0
