date,j,plan_slot0,period_start,period_end,x0_kwh,x1_kwh,x2_kwh,x3_kwh,execution_date
2025-02-01,1,0,00:10,00:20,431.20586709,431.20586709,431.20586709,431.20586709,2025-02-01
2025-02-01,2,1,00:20,00:30,428.617267962,428.617267962,428.617267962,428.617267962,2025-02-01
2025-02-01,3,2,00:30,00:40,448.535948782,448.535948782,448.535948782,448.535948782,2025-02-01
2025-02-01,4,3,00:40,00:50,470.56021447,470.56021447,470.56021447,470.56021447,2025-02-01
2025-02-01,5,4,00:50,01:00,476.300077336,476.300077336,476.300077336,476.300077336,2025-02-01
2025-02-01,6,5,01:00,01:10,464.541276858,464.541276858,464.541276858,464.541276858,2025-02-01
2025-02-01,7,6,01:10,01:20,445.477067831,445.477067831,445.477067831,445.477067831,2025-02-01
2025-02-01,8,7,01:20,01:30,438.893974659,438.893974659,438.893974659,438.893974659,2025-02-01
2025-02-01,9,8,01:30,01:40,461.202274625,461.202274625,461.202274625,461.202274625,2025-02-01
2025-02-01,10,9,01:40,01:50,485.462963312,485.462963312,485.462963312,485.462963312,2025-02-01
2025-02-01,11,10,01:50,02:00,490.745314728,490.745314728,490.745314728,490.745314728,2025-02-01
2025-02-01,12,11,02:00,02:10,479.796253671,479.796253671,479.796253671,479.796253671,2025-02-01
2025-02-01,13,12,02:10,02:20,480.721450723,480.721450723,480.721450723,480.721450723,2025-02-01
2025-02-01,14,13,02:20,02:30,491.207547766,491.207547766,491.207547766,491.207547766,2025-02-01
2025-02-01,15,14,02:30,02:40,485.457441407,485.457441407,485.457441407,485.457441407,2025-02-01
2025-02-01,16,15,02:40,02:50,485.458166519,485.458166519,485.458166519,485.458166519,2025-02-01
2025-02-01,17,16,02:50,03:00,497.967549935,497.967549935,497.967549935,497.967549935,2025-02-01
2025-02-01,18,17,03:00,03:10,503.914755574,503.914755574,503.914755574,503.914755574,2025-02-01
2025-02-01,19,18,03:10,03:20,496.272675787,496.272675787,496.272675787,496.272675787,2025-02-01
2025-02-01,20,19,03:20,03:30,483.23134889,483.23134889,483.23134889,483.23134889,2025-02-01
2025-02-01,21,20,03:30,03:40,482.993241674,482.993241674,482.993241674,482.993241674,2025-02-01
2025-02-01,22,21,03:40,03:50,507.846296528,507.846296528,507.846296528,507.846296528,2025-02-01
2025-02-01,23,22,03:50,04:00,533.239972548,533.239972548,533.239972548,533.239972548,2025-02-01
2025-02-01,24,23,04:00,04:10,519.290478187,519.290478187,519.290478187,519.290478187,2025-02-01
2025-02-01,25,24,04:10,04:20,505.979695566,505.979695566,505.979695566,505.979695566,2025-02-01
2025-02-01,26,25,04:20,04:30,517.446617721,517.446617721,517.446617721,517.446617721,2025-02-01
2025-02-01,27,26,04:30,04:40,539.194634591,539.194634591,539.194634591,539.194634591,2025-02-01
2025-02-01,28,27,04:40,04:50,546.183659718,546.183659718,546.183659718,546.183659718,2025-02-01
2025-02-01,29,28,04:50,05:00,538.032229994,538.032229994,538.032229994,538.032229994,2025-02-01
2025-02-01,30,29,05:00,05:10,535.167878059,535.167878059,535.167878059,535.167878059,2025-02-01
2025-02-01,31,30,05:10,05:20,535.143394653,535.143394653,535.143394653,535.143394653,2025-02-01
2025-02-01,32,31,05:20,05:30,538.76404673,538.76404673,538.76404673,538.76404673,2025-02-01
2025-02-01,33,32,05:30,05:40,610.111689826,610.111689826,610.111689826,610.111689826,2025-02-01
2025-02-01,34,33,05:40,05:50,0,0,0,0,2025-02-01
2025-02-01,35,34,05:50,06:00,0,0,0,0,2025-02-01
2025-02-01,36,35,06:00,06:10,0,0,0,0,2025-02-01
2025-02-01,37,36,06:10,06:20,0,0,0,0,2025-02-01
2025-02-01,38,37,06:20,06:30,0,0,0,0,2025-02-01
2025-02-01,39,38,06:30,06:40,0,0,0,0,2025-02-01
2025-02-01,40,39,06:40,06:50,0,0,0,0,2025-02-01
