date,soc_min_kwh,soc_max_kwh,start_soc_kwh,end_soc_kwh,reserve_kwh,E_min_kwh,E_max_kwh
2025-02-01,4041.33680758,10800,9829.42826737,10800,2727.22001183,1200,10800
2025-02-02,3861.57601476,10800,10800,10800,2570.36143874,1200,10800
2025-02-03,3370.35085228,10800,10800,10787.4712538,2413.50286565,1200,10800
2025-02-04,1531.33165371,10800,10787.4712538,8833.8167463,2256.64429256,1200,10800
2025-02-05,1200,10699.7964395,8833.8167463,8671.03867572,2099.78571947,1200,10800
2025-02-06,1594.37432688,10800,8671.03867572,8229.27109438,2053.28535173,1200,10800
2025-02-07,2351.20332961,10800,8229.27109438,9739.33563315,2031.21371066,1200,10800
2025-02-08,1945.37711812,10800,9739.33563315,8566.21947561,2009.14206959,1200,10800
2025-02-09,1200,10152.3886188,8566.21947561,8219.37908724,2322.85921577,1200,10800
2025-02-10,3457.46011916,10800,8219.37908724,10022.4909334,2776.99460276,1200,10800
2025-02-11,2693.92106435,10800,10022.4909334,8665.81841678,2727.22001183,1200,10800
2025-02-12,2639.67594158,10800,8665.81841678,9602.94589742,2592.43307981,1200,10800
2025-02-13,3467.30901536,10800,9602.94589742,10611.8319,2457.64614779,1200,10800
2025-02-14,3235.23888094,10800,10611.8319,10464.4650788,2322.85921577,1200,10800
2025-02-15,3414.5063378,10800,10464.4650788,10091.6569427,2696.18895046,1200,10800
2025-02-16,3542.73046315,10800,10091.6569427,9764.44324617,2688.43118512,1200,10800
2025-02-17,3563.94323477,10800,9764.44324617,9882.14520546,2561.40201844,1200,10800
2025-02-18,3170.38474801,10800,9882.14520546,9644.46469813,2434.37285176,1200,10800
2025-02-19,2074.92408353,10768.5969793,9644.46469813,8477.75405437,2307.34368509,1200,10800
2025-02-20,3018.56842317,10800,8477.75405437,10792.3138942,2180.31451841,1200,10800
2025-02-21,3398.86887185,10800,10792.3138942,10083.2149273,2053.28535173,1200,10800
2025-02-22,3163.42413482,10800,10083.2149273,9930.86963375,2031.21371066,1200,10800
2025-02-23,3242.36354854,10800,9930.86963375,9983.39912525,2077.98530914,1200,10800
2025-02-24,3061.16940844,10800,9983.39912525,9899.41826907,2069.75199,1200,10800
2025-02-25,3226.69242819,10800,9899.41826907,10627.1901416,2061.51867087,1200,10800
2025-02-26,1322.22883609,10800,10627.1901416,8222.99662966,2053.28535173,1200,10800
2025-02-27,1550.15576373,10800,8222.99662966,9449.37595884,2031.21371066,1200,10800
2025-02-28,3050.48434873,10800,9449.37595884,9932.84126782,2009.14206959,1200,10800
2025-03-01,2942.65119185,10800,9932.84126782,9839.81839302,1987.07042852,1200,10800
