date,j,plan_slot0,period_start,period_end,x0_kwh,x1_kwh,x2_kwh,x3_kwh,execution_date
2025-02-01,1,0,00:10,00:20,433.783567061,433.783567061,433.783567061,433.783567061,2025-02-01
2025-02-01,2,1,00:20,00:30,733.068429046,733.068429046,733.068429046,733.068429046,2025-02-01
2025-02-01,3,2,00:30,00:40,450.273439088,450.273439088,450.273439088,450.273439088,2025-02-01
2025-02-01,4,3,00:40,00:50,471.648136723,471.648136723,471.648136723,471.648136723,2025-02-01
2025-02-01,5,4,00:50,01:00,477.450805299,477.450805299,477.450805299,477.450805299,2025-02-01
2025-02-01,6,5,01:00,01:10,466.287208563,466.287208563,466.287208563,466.287208563,2025-02-01
2025-02-01,7,6,01:10,01:20,447.471672437,447.471672437,447.471672437,447.471672437,2025-02-01
2025-02-01,8,7,01:20,01:30,440.765821008,440.765821008,440.765821008,440.765821008,2025-02-01
2025-02-01,9,8,01:30,01:40,462.836831702,462.836831702,462.836831702,462.836831702,2025-02-01
2025-02-01,10,9,01:40,01:50,487.029721343,487.029721343,487.029721343,487.029721343,2025-02-01
2025-02-01,11,10,01:50,02:00,492.389423881,492.389423881,492.389423881,492.389423881,2025-02-01
2025-02-01,12,11,02:00,02:10,481.429433151,481.429433151,481.429433151,481.429433151,2025-02-01
2025-02-01,13,12,02:10,02:20,482.461735297,482.461735297,482.461735297,482.461735297,2025-02-01
2025-02-01,14,13,02:20,02:30,493.535563433,493.535563433,493.535563433,493.535563433,2025-02-01
2025-02-01,15,14,02:30,02:40,488.457690833,488.457690833,488.457690833,488.457690833,2025-02-01
2025-02-01,16,15,02:40,02:50,488.957254074,488.957254074,488.957254074,488.957254074,2025-02-01
2025-02-01,17,16,02:50,03:00,501.23069472,501.23069472,501.23069472,501.23069472,2025-02-01
2025-02-01,18,17,03:00,03:10,506.527524072,506.527524072,506.527524072,506.527524072,2025-02-01
2025-02-01,19,18,03:10,03:20,498.462903348,498.462903348,498.462903348,498.462903348,2025-02-01
2025-02-01,20,19,03:20,03:30,485.311644046,485.311644046,485.311644046,485.311644046,2025-02-01
2025-02-01,21,20,03:30,03:40,485.378949652,485.378949652,485.378949652,485.378949652,2025-02-01
2025-02-01,22,21,03:40,03:50,510.503431399,510.503431399,510.503431399,510.503431399,2025-02-01
2025-02-01,23,22,03:50,04:00,535.700143656,535.700143656,535.700143656,535.700143656,2025-02-01
2025-02-01,24,23,04:00,04:10,521.259263739,521.259263739,521.259263739,521.259263739,2025-02-01
2025-02-01,25,24,04:10,04:20,507.331489135,507.331489135,507.331489135,507.331489135,2025-02-01
2025-02-01,26,25,04:20,04:30,518.632505142,518.632505142,518.632505142,518.632505142,2025-02-01
2025-02-01,27,26,04:30,04:40,540.938316255,540.938316255,540.938316255,540.938316255,2025-02-01
2025-02-01,28,27,04:40,04:50,548.60410762,548.60410762,548.60410762,548.60410762,2025-02-01
2025-02-01,29,28,04:50,05:00,540.717623896,540.717623896,540.717623896,540.717623896,2025-02-01
2025-02-01,30,29,05:00,05:10,537.699506034,537.699506034,537.699506034,537.699506034,2025-02-01
