date,t,load_error_kw,pv_error_kw,net_error_kw,naive_load_error_kw,naive_pv_error_kw
2025-02-01,1,-97.3383645666,0,-97.3383645666,-113.9454,0
2025-02-01,2,-110.257502363,0,-110.257502363,-363.1065,0
2025-02-01,3,-120.694058674,0,-120.694058674,-528.46,0
2025-02-01,4,-119.871834529,0,-119.871834529,-144.4777,0
2025-02-01,5,-283.425320336,0,-283.425320336,-78.7589,0
2025-02-01,6,-428.394831792,0,-428.394831792,-345.79,0
2025-02-01,7,-177.222151376,0,-177.222151376,-116.6978,0
2025-02-01,8,25.9560653765,0,25.9560653765,76.4155,0
2025-02-01,9,31.8850739535,0,31.8850739535,-26.14,0
2025-02-01,10,53.5770097891,0,53.5770097891,-143.5179,0
2025-02-01,11,-234.022528058,0,-234.022528058,-322.576,0
2025-02-01,12,-569.916543288,0,-569.916543288,-400.74,0
2025-02-01,13,-284.032798904,0,-284.032798904,-100.7729,0
2025-02-01,14,48.5950882199,0,48.5950882199,136.723,0
2025-02-01,15,58.1066194011,0,58.1066194011,62.57,0
2025-02-01,16,-86.3092449981,0,-86.3092449981,-171.0567,0
2025-02-01,17,-165.437124442,0,-165.437124442,-314.499,0
2025-02-01,18,-145.734168317,0,-145.734168317,-354.61,0
2025-02-01,19,-138.767844433,0,-138.767844433,-442.3132,0
2025-02-01,20,-71.1659200899,0,-71.1659200899,-369.0243,0
2025-02-01,21,81.2201357242,0,81.2201357242,-90.4,0
2025-02-01,22,197.584702088,0,197.584702088,152.8241,0
2025-02-01,23,-8.21978839463,0,-8.21978839463,28.0738,0
2025-02-01,24,-312.500861933,0,-312.500861933,-346.07,0
2025-02-01,25,-180.434782437,0,-180.434782437,-482.9736,0
2025-02-01,26,-16.1172348129,0,-16.1172348129,-317.3271,0
2025-02-01,27,-78.3250308527,0,-78.3250308527,-84.69,0
2025-02-01,28,-226.244097532,0,-226.244097532,-76.7156,0
2025-02-01,29,-274.542745717,0.0014,-274.544145717,-64.1378,-0.0003
2025-02-01,30,-246.455743376,0,-246.455743376,-52.54,0
2025-02-01,31,-293.495536202,0,-293.495536202,-278.7113,0
2025-02-01,32,-230.654007861,0.0199,-230.673907861,-445.0704,-0.0039
2025-02-01,33,-63.4992148414,0,-63.4992148414,-332.35,0
2025-02-01,34,-21.618830109,0,-21.618830109,-27.311,0
2025-02-01,35,-117.30303007,0.2774,-117.58043007,44.4561,-0.0542
2025-02-01,36,-189.892335422,0,-189.892335422,-135.54,0
2025-02-01,37,-77.9611408158,0,-77.9611408158,-213.6467,0
2025-02-01,38,-63.3108899896,3.8641,-67.1749899896,-294.7118,-0.7542
2025-02-01,39,-175.17494658,0,-175.17494658,-361.14,0
2025-02-01,40,-169.471739564,0,-169.471739564,-249.4967,0
2025-02-01,41,-159.483221577,33.5572278879,-193.040449465,-173.5844,10.0544
2025-02-01,42,-170.780833696,74.9322062969,-245.713039993,-235.03,4.875
2025-02-01,43,-125.973320443,89.9598255494,-215.933145992,-330.2056,-3.9449
2025-02-01,44,-241.301332812,87.0637308741,-328.365063686,-373.5428,-17.8483
2025-02-01,45,-381.79373809,62.4778449525,-444.271583042,-342.7,-41.475
2025-02-01,46,-165.872308611,27.1421399573,-193.014448569,-253.5947,-63.7153
2025-02-01,47,77.8402208481,36.8998435424,40.9403773057,-62.7233,-9.9697
2025-02-01,48,61.6553132453,81.5802123945,-19.9248991492,-11.19,76.425
2025-02-01,49,-200.452673488,96.1901845821,-296.64285807,-389.4553,69.1137
2025-02-01,50,-393.201530414,103.759724365,-496.96125478,-520.6014,41.1444
