date,soc_min_kwh,soc_max_kwh,start_soc_kwh,end_soc_kwh,reserve_kwh,E_min_kwh,E_max_kwh
2025-02-01,1476.72561473,10800,10046.802493,9765.76967692,567.2974874,1200,10800
2025-02-02,1877.57587986,10800,9765.76967692,10141.1832247,549.32117844,1200,10800
2025-02-03,1297.36173559,10800,10141.1832247,10106.8661477,531.344869479,1200,10800
2025-02-04,1306.56575647,10800,10106.8661477,10576.8966362,513.368560519,1200,10800
2025-02-05,1200,10800,10576.8966362,9493.00741633,495.392251558,1200,10800
2025-02-06,1220.20632097,10782.2444908,9493.00741633,9735.91734689,567.2974874,1200,10800
2025-02-07,1332.66782552,10800,9735.91734689,9904.88769353,549.32117844,1200,10800
2025-02-08,1200,10800,9904.88769353,9627.08017342,531.344869479,1200,10800
2025-02-09,1441.1205293,10675.662282,9627.08017342,10190.3875065,663.894033032,1200,10800
2025-02-10,1614.02951442,10785.547838,10190.3875065,9547.78931738,955.889939713,1200,10800
2025-02-11,1497.50882094,10800,9547.78931738,9450.84982813,808.788851481,1200,10800
2025-02-12,1200,10800,9450.84982813,10117.7818179,760.490578665,1200,10800
2025-02-13,1924.89783998,10800,10117.7818179,9825.19419745,712.192305849,1200,10800
2025-02-14,2083.01422833,10800,9825.19419745,10747.9093016,663.894033032,1200,10800
2025-02-15,1886.26282498,10800,10747.9093016,9913.39776157,615.595760216,1200,10800
2025-02-16,1404.80086439,10800,9913.39776157,9911.91449348,567.2974874,1200,10800
2025-02-17,1408.62802774,10800,9911.91449348,9836.21783465,549.32117844,1200,10800
2025-02-18,1522.68813599,10800,9836.21783465,10124.322137,531.344869479,1200,10800
2025-02-19,1900.5510259,10800,10124.322137,9801.57068637,513.368560519,1200,10800
2025-02-20,1858.8730908,10800,9801.57068637,10440.4221728,495.392251558,1200,10800
2025-02-21,2429.15179584,10800,10440.4221728,10095.6050634,477.415942598,1200,10800
2025-02-22,2310.74205989,10800,10095.6050634,10119.1004894,472.290044723,1200,10800
2025-02-23,1916.35816018,10800,10119.1004894,9910.59773316,467.164146847,1200,10800
2025-02-24,1775.29645214,10800,9910.59773316,10158.6477027,462.038248972,1200,10800
2025-02-25,2040.56977071,10800,10158.6477027,9962.29526289,456.912351097,1200,10800
2025-02-26,1952.10744544,10800,9962.29526289,10267.6081799,451.786453222,1200,10800
2025-02-27,1351.94079304,10800,10267.6081799,10690.1982021,472.290044723,1200,10800
2025-02-28,1870.131753,10800,10690.1982021,9913.70490229,467.164146847,1200,10800
2025-03-01,1601.88535683,10800,9913.70490229,9487.34996439,513.368560519,1200,10800
2025-03-02,1200,10800,9487.34996439,9687.843661,495.392251558,1200,10800
2025-03-03,1200,10800,9687.843661,9638.92609052,567.2974874,1200,10800
2025-03-04,1200,10800,9638.92609052,10289.1625899,549.32117844,1200,10800
2025-03-05,1200,10800,10289.1625899,9567.64599439,531.344869479,1200,10800
2025-03-06,1280.35299418,10714.2483195,9567.64599439,9432.56029351,513.368560519,1200,10800
2025-03-07,1828.54950043,10800,9432.56029351,9634.13823188,615.595760216,1200,10800
2025-03-08,2333.48277845,10800,9634.13823188,9773.10467646,567.2974874,1200,10800
2025-03-09,1685.5222672,10758.5094826,9773.10467646,9586.14178648,760.490578665,1200,10800
2025-03-10,1749.24770942,10317.3136468,9586.14178648,9657.36073017,712.192305849,1200,10800
2025-03-11,2082.38163196,10800,9657.36073017,10640.5390852,835.753029342,1200,10800
2025-03-12,1739.30544844,10800,10640.5390852,9686.80968393,881.015902828,1200,10800
2025-03-13,1821.55332934,10781.7056107,9686.80968393,9720.20220664,876.199296134,1200,10800
2025-03-14,2585.58689935,10800,9720.20220664,10800,895.46572291,1200,10800
2025-03-15,2480.12423092,10800,10800,9756.86731336,890.649116216,1200,10800
2025-03-16,2573.4565536,10800,9756.86731336,10800,885.832509522,1200,10800
2025-03-17,2278.43218604,10800,10800,10449.8027969,881.015902828,1200,10800
2025-03-18,2163.96312069,10800,10449.8027969,10800,876.199296134,1200,10800
2025-03-19,2479.46252301,10800,10800,10439.7231156,862.717207203,1200,10800
2025-03-20,1693.58832618,10800,10439.7231156,10153.7855112,890.649116216,1200,10800
2025-03-21,2405.33283152,10800,10153.7855112,9961.63710842,885.832509522,1200,10800
2025-03-22,2685.09049884,10800,9961.63710842,10771.1115418,881.015902828,1200,10800
2025-03-23,2593.77567116,10800,10771.1115418,10800,876.199296134,1200,10800
2025-03-24,2038.32546479,10800,10800,10306.7965078,863.519344643,1200,10800
2025-03-25,1842.71410313,10800,10306.7965078,10040.9026968,850.839393151,1200,10800
2025-03-26,2618.46433542,10800,10040.9026968,10229.2943131,838.15944166,1200,10800
2025-03-27,2281.23897391,10800,10229.2943131,10800,825.479490169,1200,10800
2025-03-28,2620.05774771,10800,10800,10120.0202641,812.799538677,1200,10800
2025-03-29,2642.86803397,10800,10120.0202641,10141.5599911,811.997401238,1200,10800
2025-03-30,1985.17835921,10800,10141.5599911,10237.813227,811.195263799,1200,10800
2025-03-31,2459.20692241,10800,10237.813227,10305.3280326,810.393126359,1200,10800
2025-04-01,2553.18261175,10800,10305.3280326,10208.4877983,825.479490169,1200,10800
2025-04-02,2457.70799338,10800,10208.4877983,10726.6741685,812.799538677,1200,10800
2025-04-03,2254.12490317,10800,10726.6741685,10130.238177,863.519344643,1200,10800
2025-04-04,2439.47795139,10800,10130.238177,10147.4913734,850.839393151,1200,10800
2025-04-05,2365.37917977,10800,10147.4913734,10038.1138493,838.15944166,1200,10800
2025-04-06,1856.16469551,10800,10038.1138493,10085.35439,881.015902828,1200,10800
2025-04-07,2381.75876865,10800,10085.35439,10109.468999,876.199296134,1200,10800
2025-04-08,2287.06922352,10800,10109.468999,9926.57199239,863.519344643,1200,10800
2025-04-09,1882.39731698,10782.4189352,9926.57199239,10735.0777643,850.839393151,1200,10800
2025-04-10,2219.07485139,10800,10735.0777643,10086.7152672,885.832509522,1200,10800
2025-04-11,2458.26750262,10800,10086.7152672,10052.8917669,881.015902828,1200,10800
2025-04-12,2490.34323847,10800,10052.8917669,10211.899309,876.199296134,1200,10800
2025-04-13,1513.85203306,10800,10211.899309,10800,863.519344643,1200,10800
2025-04-14,1538.72804957,10800,10800,9992.11884282,850.839393151,1200,10800
2025-04-15,2150.36595749,10800,9992.11884282,10405.528349,838.15944166,1200,10800
2025-04-16,2405.61062339,10800,10405.528349,10079.8657072,825.479490169,1200,10800
2025-04-17,2307.1629526,10800,10079.8657072,10164.0286489,876.199296134,1200,10800
2025-04-18,2501.38714165,10800,10164.0286489,10800,895.46572291,1200,10800
2025-04-19,1995.93118208,10800,10800,10073.0102667,890.649116216,1200,10800
2025-04-20,1970.83967086,10800,10073.0102667,10800,885.832509522,1200,10800
2025-04-21,2224.20192058,10800,10800,10063.5075187,881.015902828,1200,10800
2025-04-22,2432.15904487,10800,10063.5075187,10800,876.199296134,1200,10800
2025-04-23,2553.00663443,10800,10800,10338.2148811,895.46572291,1200,10800
2025-04-24,1808.93186663,10800,10338.2148811,10796.6126324,971.847681428,1200,10800
2025-04-25,2191.05103844,10800,10796.6126324,10580.7184301,947.992564153,1200,10800
2025-04-26,1907.78631669,10800,10580.7184301,9792.99253755,924.137446879,1200,10800
2025-04-27,1359.87052869,10800,9792.99253755,10241.3212486,900.282329604,1200,10800
2025-04-28,1829.9073382,10772.0998539,10241.3212486,10772.0998539,995.702798702,1200,10800
2025-04-29,1601.04845647,10800,10772.0998539,10063.5067596,1202.18534069,1200,10800
2025-04-30,1818.93335537,10800,10063.5067596,10646.3740714,1141.30953245,1200,10800
2025-05-01,1200,10800,10646.3740714,9405.4329107,1303.74496313,1200,10800
2025-05-02,1200,10800,9405.4329107,9255.72474858,1323.93695717,1200,10800
