date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,x_plan_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh,physical_slot0,decision_date,plan_slot0,price_actual,total_cost_yuan,period_start,period_end,L_commit_fc_kw,P_commit_fc_kw,forecast_issue_hour,x0_kwh,x3_kwh,price_fc,E_start_kwh
2025-01-01,1,00:10,3529.7296,0,3439.8466,0,0,0,0,0,588.288266667,0,0,0,5346.34637037,0,2024-12-31,143,0.4248,0,00:00,00:10,3439.8466,0,0,0,0,0.4248,6000
2025-01-01,2,00:20,3609.5287,0,3437.9792,0,1406.32986667,1406.32986667,0,804.74175,0,0,0,0,6070.61394537,1,2025-01-01,0,0.4245,596.9870284,00:10,00:20,3437.9792,0,0,1406.32986667,1406.32986667,0.4245,5346.34637037
2025-01-01,3,00:30,3726.56,0,3444.3031,0,1407.38385,1407.38385,0,786.290516667,0,0,0,0,6778.27541037,2,2025-01-01,1,0.4269,600.812165565,00:20,00:30,3444.3031,0,0,1407.38385,1407.38385,0.4269,6070.61394537
2025-01-01,4,00:40,3510.6311,0,3454.4437,0,1409.07395,1409.07395,0,823.968766667,0,0,0,0,7519.84730037,3,2025-01-01,2,0.4272,601.95639144,00:30,00:40,3454.4437,0,0,1409.07395,1409.07395,0.4272,6778.27541037
2025-01-01,5,00:50,3502.5625,0,3458.8273,0,1409.80455,1409.80455,0,826.044133333,0,0,0,0,8263.28702037,4,2025-01-01,3,0.4271,602.127523305,00:40,00:50,3458.8273,0,0,1409.80455,1409.80455,0.4271,7519.84730037
2025-01-01,6,01:00,3787.01,0,3459.8401,0,1409.97335,1409.97335,0,778.805016667,0,0,0,0,8964.21153537,5,2025-01-01,4,0.4285,604.173580475,00:50,01:00,3459.8401,0,0,1409.97335,1409.97335,0.4285,8263.28702037
2025-01-01,7,01:10,3900.3205,0,3467.1582,0,577.8597,577.8597,0,0,72.1937166667,0,0,0,8883.99629463,6,2025-01-01,5,0.4311,249.11531667,01:00,01:10,3467.1582,0,0,577.8597,577.8597,0.4311,8964.21153537
2025-01-01,8,01:20,3916.8376,0,3467.9632,0,577.993866667,577.993866667,0,0,74.8124,0,0,0,8800.87140574,7,2025-01-01,6,0.4302,248.65296144,01:10,01:20,3467.9632,0,0,577.993866667,577.993866667,0.4302,8883.99629463
2025-01-01,9,01:30,3817.28,0,3466.9683,0,1411.16138333,1411.16138333,0,774.94805,0,0,0,0,9498.32465074,8,2025-01-01,7,0.4279,603.835955928,01:20,01:30,3466.9683,0,0,1411.16138333,1411.16138333,0.4279,8800.87140574
2025-01-01,10,01:40,3533.0136,0,3482.4927,0,580.41545,580.41545,0,0,8.42015,0,0,0,9488.96892852,9,2025-01-01,8,0.4312,250.27514204,01:30,01:40,3482.4927,0,0,580.41545,580.41545,0.4312,9498.32465074
2025-01-01,11,01:50,3694.6613,0,3495.0841,0,582.514016667,582.514016667,0,0,33.2628666667,0,0,0,9452.01018778,10,2025-01-01,9,0.4333,252.403323422,01:40,01:50,3495.0841,0,0,582.514016667,582.514016667,0.4333,9488.96892852
2025-01-01,12,02:00,4064.73,0,3498.4443,0,583.07405,583.07405,0,0,94.38095,0,0,0,9347.14246556,11,2025-01-01,10,0.4311,251.363222955,01:50,02:00,3498.4443,0,0,583.07405,583.07405,0.4311,9452.01018778
2025-01-01,13,02:10,3810.671,0,3505.2295,0,791.992282922,791.992282922,0,156.880449588,0,0,0,0,9488.33487019,12,2025-01-01,11,0.4293,340.002287058,02:00,02:10,3505.2295,0,0,791.992282922,791.992282922,0.4293,9347.14246556
2025-01-01,14,02:20,3844.9495,0,3512.6387,0,585.439783333,585.439783333,0,0,55.3851333333,0,0,0,9426.79583315,13,2025-01-01,12,0.4324,253.144162313,02:10,02:20,3512.6387,0,0,585.439783333,585.439783333,0.4324,9488.33487019
2025-01-01,15,02:30,4234.62,0,3516.8685,0,586.14475,586.14475,0,0,119.62525,0,0,0,9293.8788887,14,2025-01-01,13,0.4367,255.969412325,02:20,02:30,3516.8685,0,0,586.14475,586.14475,0.4367,9426.79583315
2025-01-01,16,02:40,4109.9755,0,3517.9246,0,586.320766667,586.320766667,0,0,66.4014498333,32.2737001667,0,0,9220.0995,15,2025-01-01,14,0.4348,325.095293509,02:30,02:40,3517.9246,0,0,586.320766667,586.320766667,0.4348,9293.8788887
2025-01-01,17,02:50,3996.8945,0,3518.5518,0,586.4253,586.4253,0,0,0,79.7237833333,0,0,9220.0995,16,2025-01-01,15,0.4335,427.016667925,02:40,02:50,3518.5518,0,0,586.4253,586.4253,0.4335,9220.0995
2025-01-01,18,03:00,4102.19,0,3521.0976,0,586.8496,586.8496,0,0,0,96.8487333333,0,0,9220.0995,17,2025-01-01,16,0.4357,466.675336287,02:50,03:00,3521.0976,0,0,586.8496,586.8496,0.4357,9220.0995
2025-01-01,19,03:10,4086.0577,0,3526.9261,0,587.821016667,587.821016667,0,0,0,93.1886,0,0,9220.0995,18,2025-01-01,17,0.4374,460.91638089,03:00,03:10,3526.9261,0,0,587.821016667,587.821016667,0.4374,9220.0995
2025-01-01,20,03:20,4133.7626,0,3537.2854,0,589.547566667,589.547566667,0,0,0,99.4128666667,0,0,9220.0995,19,2025-01-01,18,0.4371,474.95806149,03:10,03:20,3537.2854,0,0,589.547566667,589.547566667,0.4371,9220.0995
2025-01-01,21,03:30,4179.18,0,3544.8808,0,590.813466667,590.813466667,0,0,0,105.716533333,0,0,9220.0995,20,2025-01-01,19,0.4356,487.60895568,03:20,03:30,3544.8808,0,0,590.813466667,590.813466667,0.4356,9220.0995
2025-01-01,22,03:40,3953.3711,0,3541.2787,0,590.213116667,590.213116667,0,0,0,68.6820666667,0,0,9220.0995,21,2025-01-01,20,0.4353,406.406287785,03:30,03:40,3541.2787,0,0,590.213116667,590.213116667,0.4353,9220.0995
2025-01-01,23,03:50,3910.7496,0,3546.3976,0,591.066266667,591.066266667,0,0,0,60.7253333333,0,0,9220.0995,22,2025-01-01,21,0.436,390.086118933,03:40,03:50,3546.3976,0,0,591.066266667,591.066266667,0.436,9220.0995
2025-01-01,24,04:00,4099.31,0,3560.207,0,593.367833333,593.367833333,0,0,0,89.8505,0,0,9220.0995,23,2025-01-01,22,0.4378,456.459181933,03:50,04:00,3560.207,0,0,593.367833333,593.367833333,0.4378,9220.0995
2025-01-01,25,04:10,4123.8623,0,3561.9581,0,593.659683333,593.659683333,0,0,0,93.6507,0,0,9220.0995,24,2025-01-01,23,0.4401,467.347991985,04:00,04:10,3561.9581,0,0,593.659683333,593.659683333,0.4401,9220.0995
2025-01-01,26,04:20,4169.0068,0,3556.7183,0,592.786383333,592.786383333,0,0,0,102.048083333,0,0,9220.0995,25,2025-01-01,24,0.4389,484.11846252,04:10,04:20,3556.7183,0,0,592.786383333,592.786383333,0.4389,9220.0995
2025-01-01,27,04:30,4260.24,0,3560.0272,0,593.337866667,593.337866667,0,0,0,116.702133333,0,0,9220.0995,26,2025-01-01,25,0.4364,513.576699947,04:20,04:30,3560.0272,0,0,593.337866667,593.337866667,0.4364,9220.0995
2025-01-01,28,04:40,4217.2222,0,3580.654,0,596.775666667,596.775666667,0,0,0,106.0947,0,0,9220.0995,27,2025-01-01,26,0.4393,495.200558917,04:30,04:40,3580.654,0,0,596.775666667,596.775666667,0.4393,9220.0995
2025-01-01,29,04:50,4261.857,0,3586.916,0,597.819333333,597.819333333,0,0,0,112.490166667,0,0,9220.0995,28,2025-01-01,27,0.4422,513.0714677,04:40,04:50,3586.916,0,0,597.819333333,597.819333333,0.4422,9220.0995
2025-01-01,30,05:00,4341.9,0,3571.2635,0,595.210583333,595.210583333,0,0,0,128.439416667,0,0,9220.0995,29,2025-01-01,28,0.4395,543.8406695,04:50,05:00,3571.2635,0,0,595.210583333,595.210583333,0.4395,9220.0995
2025-01-01,31,05:10,4208.2208,0.0021,3562.3171,0,593.719516667,593.719516667,0,0,0,107.650266667,0,0.00035,9220.0995,30,2025-01-01,29,0.4333,490.482969305,05:00,05:10,3562.3171,0,0,593.719516667,593.719516667,0.4333,9220.0995
2025-01-01,32,05:20,4302.1233,0,3591.3809,0,598.563483333,598.563483333,0,0,0,118.457066667,0,0,9220.0995,31,2025-01-01,30,0.4439,528.617789718,05:10,05:20,3591.3809,0,0,598.563483333,598.563483333,0.4439,9220.0995
2025-01-01,33,05:30,4456.59,0,3579.7045,0,596.617416667,596.617416667,0,0,0,146.147583333,0,0,9220.0995,32,2025-01-01,31,0.4301,570.895528867,05:20,05:30,3579.7045,0,0,596.617416667,596.617416667,0.4301,9220.0995
2025-01-01,34,05:40,4148.637,0.0299,3486.119,0,1414.35316667,1414.35316667,0,722.91865,0,0,0,0.00498333333333,9870.726285,33,2025-01-01,32,0.3713,525.149330783,05:30,05:40,3486.119,0,0,1414.35316667,1414.35316667,0.3713,9220.0995
2025-01-01,35,05:50,4498.1333,0,3823.8994,0,637.316566667,637.316566667,0,0,0,112.372316667,0,0,9870.726285,34,2025-01-01,33,0.5708,684.49088802,05:40,05:50,3823.8994,0,0,637.316566667,637.316566667,0.5708,9870.726285
2025-01-01,36,06:00,5369.38,0,4398.0727,0,0,0,0,0,833.333333333,61.5633333333,0,0,8944.80035907,35,2025-01-01,34,0.9099,280.082385,05:50,06:00,4398.0727,0,0,0,0,0.9099,9870.726285
2025-01-01,37,06:10,5440.8991,0.4169,4454.0123,0,0,0,0,0,833.333333333,73.4137,0,0.0694833333333,8018.87443315,36,2025-01-01,35,0.9368,343.8697708,06:00,06:10,4454.0123,0,0,0,0,0.9368,8944.80035907
2025-01-01,38,06:20,5316.893,0,4371.7919,0,0,0,0,0,833.333333333,52.8155,0,0,7092.94850722,37,2025-01-01,36,0.8758,231.2790745,06:10,06:20,4371.7919,0,0,0,0,0.8758,8018.87443315
2025-01-01,39,06:30,5399.82,0,4392.953,0,0,0,0,0,833.333333333,66.6366666667,0,0,6167.0225813,38,2025-01-01,37,0.8759,291.835281667,06:20,06:30,4392.953,0,0,0,0,0.8759,7092.94850722
2025-01-01,40,06:40,5447.4007,5.8062,4384.5956,0,0,0,0,0,833.333333333,73.5990833333,0,0.9677,5241.09665537,39,2025-01-01,38,0.8601,316.512857875,06:30,06:40,4384.5956,0,0,0,0,0.8601,6167.0225813
2025-01-01,41,06:50,5444.401,0,4434.7757,0,0,0,0,0,833.333333333,74.0668333333,0,0,4315.17072944,40,2025-01-01,39,0.8442,312.6361035,06:40,06:50,4434.7757,0,0,0,0,0.8442,5241.09665537
2025-01-01,42,07:00,5433.63,3.075,4523.4561,1508.6318,0,0,0,0,361.5511065,543.5413935,0,0.5125,3913.44727778,41,2025-01-01,40,0.8334,2264.93698671,06:50,07:00,4523.4561,1508.6318,0,0,0,0.8334,4315.17072944
2025-01-01,43,07:10,5449.2818,175.7953,4524.0721,1791.4107,0,0,0,0,-0,878.914416667,0,29.2992166667,3913.44727778,42,2025-01-01,41,0.8092,3556.08772983,07:00,07:10,4524.0721,1791.4107,0,0,0,0.8092,3913.44727778
2025-01-01,44,07:20,5510.0042,421.496,4545.8867,2085.4865,0,0,0,0,-0,848.0847,0,70.2493333333,3913.44727778,43,2025-01-01,42,0.7972,3380.4656142,07:10,07:20,4545.8867,2085.4865,0,0,0,0.7972,3913.44727778
2025-01-01,45,07:30,5476,677.1,4523.2418,2381.2611,0,0,0,0,-0,799.816666667,0,112.85,3913.44727778,44,2025-01-01,43,0.7644,3056.8993,07:20,07:30,4523.2418,2381.2611,0,0,0,0.7644,3913.44727778
2025-01-01,46,07:40,5329.4215,950.8112,4383.3566,2683.1752,216.477416667,216.477416667,0,0,-0,513.290966667,0,158.468533333,3913.44727778,45,2025-01-01,44,0.6899,1919.94495927,07:30,07:40,4383.3566,2683.1752,0,216.477416667,216.477416667,0.6899,3913.44727778
2025-01-01,47,07:50,6084.1163,1255.5705,4910.4599,2986.3552,0,0,0,0,320.684116667,484.073516667,0,209.26175,3557.13159259,46,2025-01-01,45,0.86,2081.51612167,07:40,07:50,4910.4599,2986.3552,0,0,0,0.86,3913.44727778
2025-01-01,48,08:00,7316,1592.2875,5799.7327,3289.204,0,0,0,0,833.333333333,120.61875,0,265.38125,2631.20566667,47,2025-01-01,46,1.1617,700.614009375,07:50,08:00,5799.7327,3289.204,0,0,0,1.1617,3557.13159259
2025-01-01,49,08:10,7469.4947,1937.5212,5884.826,3593.3613,0,0,0,0,833.333333333,88.66225,0,322.9202,1705.27974074,48,2025-01-01,47,1.1683,517.920533375,08:00,08:10,5884.826,3593.3613,0,0,0,1.1683,2631.20566667
2025-01-01,50,08:20,7225.691,2225.1261,5748.0713,3890.7332,0,0,0,0,454.751766667,378.675716667,0,370.85435,1200,49,2025-01-01,48,1.0956,2074.3855759,08:10,08:20,5748.0713,3890.7332,0,0,0,1.0956,1705.27974074
2025-01-01,51,08:30,7216.13,2490.1125,5769.0581,4181.3417,0,0,0,0,0,787.669583333,0,415.01875,1200,50,2025-01-01,49,1.0849,4272.71365479,08:20,08:30,5769.0581,4181.3417,0,0,0,1.0849,1200
