date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,planned_purchase_kwh,planned_cost_yuan,decision_day_planned_purchase_kwh,final_commitment_kwh,reserve_kwh,reserve_effective_kwh,reserve_00_kwh,window_residual_00_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,emergency_slots,reversal_slots,down_slots,below_min_kwh,chain_misprice_yuan,cost_identity_residual_yuan
2025-01-01,37658.0617962,37658.0617962,0,0,166246.569078,203904.630874,33602.2074305,6000,9756.28985426,21.2173,0,17493.2061663,10788.8361258,65158.5499265,37658.0617962,66565.1910265,65158.5499265,0,0,0,35570.8219833,0,0,0,103,0,0,0,-1.45519152284e-11,0
2025-01-02,67998.3293109,67998.3293109,0,0,344.227550825,68342.5568617,68.6742374892,9756.28985426,10627.0215805,6717.53367238,0,24755.7771164,19268.5209107,105021.354907,67998.3293109,105057.876444,105021.354907,0,0,0,-6927.03354714,0,0,0,3,0,0,0,-1.45519152284e-11,-3.52429196937e-12
2025-01-03,66914.7199355,66914.7199355,0,0,0,66914.7199355,0,10627.0215805,10800,50835.0934195,5170.7846,9146.51203202,7252.99416838,103404.33725,66914.7199355,103409.768021,103404.33725,0,0,0,-52905.2917294,0,0,0,0,0,0,0,-2.91038304567e-11,0
2025-01-04,37557.5538943,37557.5538943,0,0,19.7173158298,37577.2712102,9.10099969065,10800,10800,14357.5240806,3595.65468333,15849.7088166,12838.2641414,65721.124806,37557.5538943,65616.1718179,65721.124806,0,0,0,-16481.4166719,0,0,0,1,0,0,0,0,-2.08189021578e-12
2025-01-05,25691.403091,25691.403091,0,0,205192.341068,230883.744159,42723.530381,10800,8150.4714138,718.788169689,0,11701.9738888,11863.1745775,48869.7674,25691.403091,48804.2484309,48869.7674,0,0,0,46124.0596398,0,0,0,105,0,0,0,3.63797880709e-12,0
2025-01-06,49796.7332144,49796.7332144,0,0,69683.2376215,119479.970836,13794.8443914,8150.4714138,9541.34113934,10.9147654138,0,23140.3526641,17491.902905,82497.0012332,49796.7332144,82623.4238775,82497.0012332,0,0,0,14759.3746419,0,0,0,69,0,0,0,7.27595761418e-12,-1.45519152284e-11
2025-01-07,62272.9913219,62272.9913219,0,0,7262.01892622,69535.0102481,1373.89326454,9541.34113934,10182.8308869,1060.05674148,0,25218.7359951,19849.8353832,97621.9650388,62272.9913219,97672.988926,97621.9650388,0,0,0,292.980508693,0,0,0,12,0,0,0,-7.27595761418e-12,-9.09494701773e-13
2025-01-08,66859.8127866,66859.8127866,0,0,246.896728709,67106.7095153,66.3057282169,10182.8308869,10800,8560.41560315,0,24266.5588903,19100.4604993,103186.209583,66859.8127866,103176.081823,103186.209583,0,0,0,-8795.42073365,0,0,0,3,0,0,0,1.45519152284e-11,5.76960701437e-12
2025-01-09,65631.2181505,65631.2181505,0,0,324.753680892,65955.9718314,86.4963595624,10800,10731.0233323,5956.95216331,0,23780.9952897,19324.6851855,101418.322025,65631.2181505,101430.009044,101418.322025,0,0,0,-5431.62525137,0,0,0,4,0,0,0,0,2.67164068646e-12
2025-01-10,27597.7371771,27597.7371771,0,0,288.134204039,27885.8713812,127.29383713,10731.0233323,10366.6139444,2661.64141468,783.865948797,20257.1134025,16736.2303051,52329.7633404,27597.7371771,52211.7971478,52329.7633404,0,0,0,-2554.81222742,0,0,0,7,0,0,0,-7.27595761418e-12,1.02318153949e-12
