date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,planned_purchase_kwh,planned_cost_yuan,decision_day_planned_purchase_kwh,final_commitment_kwh,reserve_kwh,reserve_effective_kwh,reserve_00_kwh,window_residual_00_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,emergency_slots,reversal_slots,down_slots,below_min_kwh,chain_misprice_yuan,cost_identity_residual_yuan
2025-01-01,42456.75972,42456.75972,0,0,202442.128986,244898.888706,33602.2074305,6000,9756.28985426,21.2173,0,17493.2061663,10788.8361258,65158.5499265,42456.75972,66565.1910265,65158.5499265,0,0,0,35570.8219833,0,0,0,103,0,0,0,0,2.91038304567e-11
2025-01-02,81439.6925644,81439.6925644,0,0,390.463669641,81830.156234,68.6742374892,9756.28985426,10515.6867476,6842.57271843,0,23791.719065,18587.8352386,104863.021574,81439.6925644,104899.543111,104863.021574,0,0,0,-6927.03354714,0,0,0,3,0,0,0,0,-5.68434188608e-14
2025-01-03,62057.5105429,62057.5105429,0,0,0,62057.5105429,0,10515.6867476,10800,50502.0399215,5406.18670786,8612.34276825,6720.11571512,103305.395049,62057.5105429,103310.82582,103305.395049,0,0,0,-52905.2917294,0,0,0,0,0,0,0,7.27595761418e-12,0
2025-01-04,34074.1406052,34074.1406052,0,0,0,34074.1406052,0,10800,10800,15179.8610841,3595.65468333,15625.6848229,12656.8047066,66509.9982505,34074.1406052,65571.711929,66509.9982505,0,0,0,-16481.4166719,0,0,0,0,0,0,0,-7.27595761418e-12,0
2025-01-05,29339.8446919,29339.8446919,0,0,246005.478346,275345.323038,42838.0755446,10800,8160.71983145,3.41060513165e-13,0,11653.4287526,11814.6294413,48036.4340666,29339.8446919,48804.2484309,48036.4340666,0,0,0,46124.0596398,0,0,0,105,0,0,0,0,2.91038304567e-11
2025-01-06,59126.2934507,59126.2934507,0,0,85380.4878742,144506.781325,13792.7959495,8160.71983145,9701.82785749,10.9147654138,0,22260.1915205,16643.7579082,82467.0335282,59126.2934507,82426.7895059,82467.0335282,0,0,0,14759.3746419,0,0,0,70,0,0,0,-1.45519152284e-11,0
2025-01-07,74444.2529936,74444.2529936,0,0,8796.77580484,83241.0287984,1417.11569442,9701.82785749,10191.5206827,1112.03048085,0,24478.3526206,19386.74208,97353.426277,74444.2529936,97571.1168309,97353.426277,0,0,0,292.980508693,0,0,0,19,0,0,0,0,-3.63797880709e-12
2025-01-08,79086.967922,79086.967922,0,0,314.476857012,79401.444779,69.3560642265,10191.5206827,10800,8550.11267347,0,23544.6680933,18523.54977,103027.876249,79086.967922,103017.74849,103027.876249,0,0,0,-8795.42073365,0,0,0,4,0,0,0,0,-2.84217094304e-12
2025-01-09,77646.5234739,77646.5234739,0,0,389.959859185,78036.4833331,83.1791633189,10800,10585.7717853,6139.22031218,0,24430.2368653,19981.2972541,101596.536877,77646.5234739,101608.223896,101596.536877,0,0,0,-5431.62525137,0,0,0,3,0,0,0,-1.45519152284e-11,5.45696821064e-12
2025-01-10,24288.9377822,24288.9377822,0,0,264.149716197,24553.0874984,127.29383713,10585.7717853,10800,2866.84603005,800.590931271,23026.5812348,18458.725407,53598.6656687,24288.9377822,52647.3661428,53598.6656687,0,0,0,-2554.81222742,0,0,0,7,0,0,0,-7.27595761418e-12,-1.5916157281e-12
2025-01-11,23731.654453,23731.654453,0,0,386.583981278,24118.2384343,112.182090309,10800,10372.2875963,1941.37621703,997.830348627,22040.6601694,18237.8759005,51495.6953609,23731.654453,52282.7499784,51495.6953609,0,0,0,-3029.21480904,0,0,0,6,0,0,0,7.27595761418e-12,-1.42108547152e-12
2025-01-12,76142.5749658,76142.5749658,0,0,377.587797784,76520.1627636,60.6552127896,10372.2875963,10800,3458.49289591,0,25638.0944109,20381.9153095,99519.9051845,76142.5749658,98863.5038673,99519.9051845,0,0,0,-2984.08230018,0,0,0,5,0,0,0,-2.91038304567e-11,-5.05906427861e-12
2025-01-13,73879.309192,73879.309192,0,0,647.951356815,74527.2605488,153.807506842,10800,10046.573601,5160.56235304,0,22892.8735822,19221.3113607,96952.2740344,73879.309192,97765.4479337,96952.2740344,0,0,0,-4664.48928765,0,0,0,11,0,0,0,2.91038304567e-11,1.81898940355e-12
