date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,planned_purchase_kwh,planned_cost_yuan,decision_day_planned_purchase_kwh,final_commitment_kwh,reserve_kwh,reserve_effective_kwh,reserve_00_kwh,window_residual_00_kwh,reserve_06_kwh,window_residual_06_kwh,reserve_12_kwh,window_residual_12_kwh,reserve_18_kwh,window_residual_18_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,emergency_slots,reversal_slots,down_slots,below_min_kwh,chain_misprice_yuan,cost_identity_residual_yuan
2025-01-01,85573.7592209,50493.1903546,0,35080.5688663,46034.2874594,131608.04668,7093.21285928,6000,10605.7313922,365.613326103,0,26483.5281818,17306.4995743,73898.8908055,50493.1903546,75305.5319055,94484.5990911,0,0,0,26957.83605,0,16809.9409267,0,5979.2977478,0,-884.629083849,20585.7082856,0,20585.7082856,20,0,0,0,0,-7.27595761418e-12
2025-01-02,79240.9585402,77482.8481135,1673.74611577,84.3643109772,0,79240.9585402,0,10605.7313922,10264.3938575,3656.81945601,0,23544.7023075,19378.4126504,103959.829417,80830.340345,103996.350954,100708.34838,0,0,0,-6398.32523975,0,-2672.52280809,0,-1937.16325696,0,-558.950660423,48.3041218605,3299.78515905,3348.08928091,0,13,83,3299.78515905,0,0
2025-01-03,53560.5620051,46248.1722487,7312.38975642,5.85449129176e-12,0,53560.5620051,0,10264.3938575,10800,29029.9813377,4358.06745,11317.9310889,8685.4786537,101462.175181,60872.9517615,101467.605952,81525.4425895,0,0,0,-51153.357163,0,-31561.4362896,0,-18281.6495779,0,-5373.2934524,8.4128259914e-12,19936.7325915,19936.7325915,0,0,82,19936.7325915,-2.18278728426e-11,0
2025-01-04,30815.084216,28721.9804867,2093.10372932,1.726557457e-11,0,30815.084216,0,10800,10800,6644.90276045,2952.15577711,17776.7542026,14399.1709041,64803.559391,32908.1879453,63865.2730695,57740.2442027,0,0,0,-14699.7925078,0,-10631.3114553,0,-4568.1268278,0,-473.255094237,1.59730006999e-11,7063.31518823,7063.31518823,0,0,54,7063.31518823,7.27595761418e-12,0
2025-01-05,74484.0516364,28646.6084971,5.51835910301e-14,45837.4431392,115662.138344,190146.189981,17901.7593101,10800,8919.55836795,5.68434188608e-13,0,18030.3643322,16296.992578,47271.1471005,28646.6084971,48038.9614648,74867.3227442,0,0,0,46838.0933634,0,30374.5190576,0,18672.8368504,0,5920.09442995,27596.1756437,2.27373675443e-13,27596.1756437,48,0,0,0,2.91038304567e-11,1.45519152284e-11
2025-01-06,77891.805546,58555.4955656,44.2226147961,19292.0873656,25930.2855936,103822.09114,3687.03752176,8919.55836795,10090.5214066,63.9621369437,0,24980.3816477,19180.2423998,81574.3033858,58643.9407952,81534.0593635,92809.5449631,0,0,0,14791.9611411,0,10179.7762613,0,4624.60004802,0,1093.8354433,11334.9216227,99.6800454063,11434.6016681,21,2,2,99.6800454063,0,-1.45519152284e-11
2025-01-07,78025.9165246,71589.6436727,79.5483987058,6356.72445316,175.220662846,78201.1371874,25.248725795,10090.5214066,10306.2181319,1032.86421586,0,24965.275932,20027.7464522,94469.2967526,71748.7404701,94686.9873065,98512.0459199,0,0,0,2621.15897575,0,479.951819733,0,-31.0778977201,0,-420.559494693,4261.06047268,218.311305435,4479.37177812,3,19,25,218.311305435,0,-6.48014975013e-12
2025-01-08,77405.3791987,73831.0538362,3574.32536253,9.84496750789e-12,0,77405.3791987,0,10306.2181319,10554.3808604,3081.10413678,0,24512.2162305,19631.548691,104942.90201,80979.7045613,104932.774251,97487.772993,0,0,0,-10710.4464947,0,-3968.48514276,0,-1989.5326084,0,-1088.53426593,6.70752342558e-12,7455.12901732,7455.12901732,0,0,83,7455.12901732,0,0
2025-01-09,76433.1808369,74779.0841556,986.824093519,667.272587853,71.0757737088,76504.2566107,9.59381436307,10554.3808604,10321.7456115,3356.02155541,0,25140.1805544,20572.9179731,100689.740314,76752.7323426,100701.427334,99005.246439,0,0,0,-4577.1742378,0,-1797.52590656,0,-2017.2613552,0,-806.477918765,476.177712489,2160.6715877,2636.84930019,1,9,70,2160.6715877,-2.91038304567e-11,-1.62003743753e-12
2025-01-10,25755.2216013,22188.4673629,1580.62273428,1986.13150415,459.228201525,26214.4498028,94.5469666667,10321.7456115,10800,1644.55039079,0,24007.5310801,19015.6712252,55273.4421149,25349.7128314,54322.142589,52032.5299956,0,0,0,-4203.69272775,0,1580.18674327,0,405.716574173,0,-274.669596618,1744.27439705,4985.18651635,6729.4609134,2,32,51,4985.18651635,0,3.35376171279e-12
2025-01-11,23750.2687154,22151.9187533,654.627578985,943.722383121,359.903940621,24110.172656,74.5428265509,10800,10181.8323576,1138.22327009,0,22105.8416384,18462.0826053,50928.3333007,23461.1739112,51715.3879182,49573.3260933,0,0,0,-2503.02954365,0,-2411.75384472,0,-641.707942764,0,-379.404151518,1013.41752817,2368.42473554,3381.84226371,2,0,42,2368.42473554,-3.63797880709e-12,4.54747350886e-12
2025-01-12,78167.9546627,73660.4293631,1193.0725185,3314.45278109,0,78167.9546627,0,10181.8323576,10800,2951.91853835,0,26060.6280122,20552.7578117,99583.0321798,75993.0702413,98926.6308625,99325.6771389,0,0,0,-3022.54348418,0,-4140.7532433,0,-905.929525817,0,-368.374668343,2229.19371593,2486.54875682,4715.74247275,0,26,52,2414.84658752,0,0
2025-01-13,72517.1646585,70603.9319741,1625.47469712,287.757987282,55.2605247675,72572.4251832,7.56061359523,10800,9919.13292539,1831.63158957,0,23956.9795369,20197.933792,96988.2761443,73854.8813683,97801.4500436,93857.0736875,0,0,0,-4674.70593087,0,-3063.03214495,0,-795.991619094,0,-88.5715749989,186.278399001,3317.48085582,3503.75925482,1,36,72,3317.48085582,-2.91038304567e-11,-3.15480974677e-12
2025-01-14,73791.83308,71725.5606964,533.287233851,1532.98514974,274.057260809,74065.8903408,42.5430954973,9919.13292539,9917.51919818,2322.82635513,0,25761.4383695,20868.2174338,96590.5713961,72781.9778935,96605.6873315,96453.8171287,0,0,0,-2326.89541571,0,-2936.96043708,0,-1632.37816378,0,175.299538382,1043.82665889,1180.58092633,2224.40758522,2,14,31,1164.58080588,0,5.96855898038e-12
2025-01-15,74463.2175131,71304.2887955,276.792611592,2882.13610599,1473.46280069,75936.6803138,193.444828908,9917.51919818,10685.4328721,1258.64096608,0,26306.3704032,20617.0377201,95631.499714,71850.5295442,94805.7328009,96824.8717536,0,0,0,143.047154294,0,-311.986180712,0,643.290386294,0,151.188997224,1743.44514124,550.073101663,2293.51824291,3,27,50,539.371497098,1.45519152284e-11,3.18323145621e-12
2025-01-16,71920.3903025,69087.7478031,895.610747853,1937.03175159,2012.33884315,73932.7291456,277.726615492,10685.4328721,9961.50420071,871.116415255,0,25624.3260297,21407.2398883,94764.7224092,70878.9692988,95557.3886402,93884.6273912,0,0,0,-1259.75284578,0,-815.81236729,0,443.7564176,0,25.1333082937,1022.94818793,1903.04320592,2925.99139385,6,25,59,1903.04320592,2.91038304567e-11,-5.68434188608e-12
