t,time_end,price_yuan_per_kwh
1,00:10,0.4248
2,00:20,0.4245
3,00:30,0.4269
4,00:40,0.4272
5,00:50,0.4271
6,01:00,0.4285
7,01:10,0.4311
8,01:20,0.4302
9,01:30,0.4279
10,01:40,0.4312
11,01:50,0.4333
12,02:00,0.4311
13,02:10,0.4293
14,02:20,0.4324
15,02:30,0.4367
16,02:40,0.4348
17,02:50,0.4335
18,03:00,0.4357
19,03:10,0.4374
20,03:20,0.4371
21,03:30,0.4356
22,03:40,0.4353
23,03:50,0.436
24,04:00,0.4378
25,04:10,0.4401
26,04:20,0.4389
27,04:30,0.4364
28,04:40,0.4393
29,04:50,0.4422
30,05:00,0.4395
31,05:10,0.4333
32,05:20,0.4439
33,05:30,0.4301
34,05:40,0.3713
35,05:50,0.5708
36,06:00,0.9099
37,06:10,0.9368
38,06:20,0.8758
39,06:30,0.8759
40,06:40,0.8601
41,06:50,0.8442
42,07:00,0.8334
43,07:10,0.8092
44,07:20,0.7972
45,07:30,0.7644
46,07:40,0.6899
47,07:50,0.86
48,08:00,1.1617
49,08:10,1.1683
50,08:20,1.0956
51,08:30,1.0849
52,08:40,1.061
53,08:50,1.043
54,09:00,1.036
55,09:10,1.0147
56,09:20,0.9922
57,09:30,0.97
58,09:40,0.9422
59,09:50,0.9569
60,10:00,0.9977
61,10:10,0.9919
62,10:20,0.9588
63,10:30,0.9549
64,10:40,0.9839
65,10:50,0.799
66,11:00,0.5025
67,11:10,0.4662
68,11:20,0.5007
69,11:30,0.4827
70,11:40,0.4785
71,11:50,0.4662
72,12:00,0.4432
73,12:10,0.4411
74,12:20,0.4551
75,12:30,0.4463
76,12:40,0.4113
77,12:50,0.5682
78,13:00,0.8279
79,13:10,0.8636
80,13:20,0.8416
81,13:30,0.8618
82,13:40,0.8623
83,13:50,0.9026
84,14:00,0.9754
85,14:10,1.0002
86,14:20,0.9978
87,14:30,1.0271
88,14:40,1.0906
89,14:50,0.9376
90,15:00,0.6694
91,15:10,0.66
92,15:20,0.7217
93,15:30,0.7308
94,15:40,0.7534
95,15:50,0.7823
96,16:00,0.8055
97,16:10,0.8271
98,16:20,0.8519
99,16:30,0.8791
100,16:40,0.9024
101,16:50,0.9163
102,17:00,0.9264
103,17:10,0.9462
104,17:20,0.9742
105,17:30,0.9862
106,17:40,0.976
107,17:50,1.0742
108,18:00,1.2313
109,18:10,1.2561
110,18:20,1.2447
111,18:30,1.2545
112,18:40,1.2522
113,18:50,1.2881
114,19:00,1.3466
115,19:10,1.3523
116,19:20,1.3445
117,19:30,1.3483
118,19:40,1.349
119,19:50,1.3473
120,20:00,1.3482
121,20:10,1.3513
122,20:20,1.34
123,20:30,1.3489
124,20:40,1.3952
125,20:50,1.2226
126,21:00,0.9332
127,21:10,0.9068
128,21:20,0.9371
129,21:30,0.9371
130,21:40,0.9871
131,21:50,0.7764
132,22:00,0.4209
133,22:10,0.3859
134,22:20,0.4368
135,22:30,0.4198
136,22:40,0.4186
137,22:50,0.4241
138,23:00,0.4237
139,23:10,0.4248
140,23:20,0.424
141,23:30,0.422
142,23:40,0.424
143,23:50,0.4271
144,00:00+1,0.4276
