price,purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,emergency_kwh,discarded_kwh
0.3281,422.030366667,0,-0,10800,0,0
0.3257,415.407316667,0,0,10800,0,0
0.3041,410.716666667,0,0,10800,0,0
0.3126,430.2948,0,0,10800,0,0
0.3286,424.410583333,0,-0,10800,0,0
0.3438,406.051666667,0,-0,10800,0,0
0.3704,213.547866667,0,223.202316667,10551.9974259,0,0
0.3746,0,0,451.797683333,10050,0,0
0.3606,446.08,0,0,10050,0,0
0.3582,471.766333333,0,0,10050,0,0
0.3041,448.025966667,0,0,10050,0,0
0.2537,1230.73666667,833.333333333,0,10800,0,0
0.3346,434.090633333,0,0,10800,0,0
0.3971,0,0,490.560916667,10254.9323148,0,0
0.367,503.22,0,0,10254.9323148,0,0
0.3185,862.232384568,388.159567901,0,10604.2759259,0,0
0.3285,461.3844,0,0,10604.2759259,0,0
0.3772,476.941666667,0,0,10604.2759259,0,0
0.3815,483.39955,0,0,10604.2759259,0,0
0.3822,486.601916667,0,0,10604.2759259,0,0
0.3962,0,0,498.848333333,10050,0,0
0.3879,518.309733333,0,0,10050,0,0
0.3405,509.133466667,0,0,10050,0,0
0.3164,1316.95,833.333333333,0,10800,0,0
0.3916,491.1868,0,0,10800,0,0
0.4109,0,0,504.645283333,10239.2830185,0,0
0.361,505.578333333,0,0,10239.2830185,0,0
0.3799,503.230966667,0,0,10239.2830185,0,0
0.4094,0,0,502.84675,9680.56440741,0,0
0.4052,173.792216667,0,325.84945,9318.50946296,0,0
0.3896,488.783583333,0,0,9318.50946296,0,0
0.3908,498.515433333,0,0,9318.50946296,0,0
0.3821,529.223333333,0,0,9318.50946296,0,0
0.3475,547.410316667,0,0,9318.50946296,0,0
0.5182,0,0,531.181166667,8728.30816667,0,0
0.8102,0,0,510.983333333,8160.54890741,0,0
0.8756,0,0,535.187183333,7565.89648148,0,0
0.818,0,0,533.355333333,6973.27944444,0,0
0.7708,0,0,504.52,6412.70166667,0,0
0.7715,0,0,519.553683333,5835.4197963,0,0
0.8181,0,0,551.480083333,5222.66414815,0,0
0.8678,0,0,552.041666667,4609.28451852,0,0
0.864,0,0,514.55805,4037.55335185,0,0
0.8237,0,0,447.90855,3539.87718519,0,0
0.7654,0,0,389.424166667,3107.18366667,0,0
0.7258,0,0,377.65375,2687.56838889,0,0
0.8697,0,0,361.16135,2286.278,0,0
1.0783,0,0,299.922916667,1953.03031481,0,0
1.0448,0,0,202.226233333,1728.3345,0,0
0.9667,0,0,129.7926,1584.1205,0,0
0.9429,0,0,86.2845833333,1488.24874074,0,0
0.893,0,0,35.96915,1448.28301852,0,0
0.9266,0,0,62.4539333333,1378.88975926,0,0
0.9995,0,0,115.176666667,1250.91568519,0,0
0.9415,0,0,45.8241166667,1200,0,0
0.8825,0,31.3605,0,1228.22445,0,0
0.8929,0,61.7008333333,0,1283.7552,0,0
0.9059,0,105.108116667,0,1378.352505,0,0
0.8581,0,170.19725,0,1531.53003,0,0
0.8084,0,215.430416667,0,1725.417405,0,0
0.8605,0,200.417633333,0,1905.793275,0,0
0.8292,0,226.920183333,0,2110.02144,0,0
0.7446,0,292.225416667,0,2373.024315,0,0
0.7982,0,301.087733333,0,2644.003275,0,0
0.6917,0,343.2174,0,2952.898935,0,0
0.438,0,407.35,0,3319.513935,0,0
0.3671,0,388.483466667,0,3669.149055,0,0
0.3419,0,395.240066667,0,4024.865115,0,0
0.308,0,444.5275,0,4424.939865,0,0
0.3563,0,444.1071,0,4824.636255,0,0
0.3499,0,448.267333333,0,5228.076855,0,0
0.2979,194.664783333,655.2877,0,5817.835785,0,0
0.3528,0,428.641816667,0,6203.61342,0,0
0.4214,0,426.387266667,0,6587.36196,0,0
0.4077,0,458.390833333,0,6999.91371,0,0
0.3359,0,450.9836,0,7405.79895,0,0
0.4541,0,425.654383333,0,7788.887895,0,0
0.6884,0,413.543333333,0,8161.076895,0,0
0.7168,0,421.648683333,0,8540.56071,0,0
0.7194,0,422.724433333,0,8921.0127,0,0
0.7375,0,410.267916667,0,9290.253825,0,0
0.6413,0,392.475716667,0,9643.48197,0,0
0.6761,0,323.707133333,0,9934.81839,0,0
0.8225,0,233.5425,0,10145.00664,0,0
0.8111,0,202.900033333,0,10327.61667,0,0
0.8061,0,166.268816667,0,10477.258605,0,0
0.8727,0,116.588333333,0,10582.188105,0,0
0.8717,0,112.444316667,0,10683.38799,0,0
0.7054,0,93.7672333333,0,10767.7785,0,0
0.5147,0,35.8016666667,0,10800,0,0
0.5575,28.42915,0,-0,10800,0,0
0.6606,97.9340666667,0,-0,10800,0,0
0.688,158.0175,0,-0,10800,0,0
0.6617,183.16035,0,0,10800,0,0
0.6465,194.13805,0,0,10800,0,0
0.6667,219.81875,0,0,10800,0,0
0.6956,272.90835,0,-0,10800,0,0
0.7032,318.59455,0,-0,10800,0,0
0.7041,360.744166667,0,-0,10800,0,0
0.7357,424.767266667,0,-0,10800,0,0
0.7466,426.10655,0,-0,10800,0,0
0.7383,387.07375,0,0,10800,0,0
0.7642,417.646083333,0,-0,10800,0,0
0.787,439.7808,0,-0,10800,0,0
0.775,436.136666667,0,0,10800,0,0
0.7557,445.305716667,0,0,10800,0,0
0.8692,0,0,439.892633333,10311.2304074,0,0
1.0662,0,0,428.47,9835.15262963,0,0
1.1465,0,0,454.13505,9330.55812963,0,0
1.1653,0,0,472.265316667,8805.81888889,0,0
1.1644,0,0,454.168333333,8301.18740741,0,0
1.1265,0,0,418.372633333,7836.32892593,0,0
1.1134,0,0,414.082233333,7376.23755556,0,0
1.1312,0,0,432.138333333,6896.08385185,0,0
1.1292,0,0,424.014116667,6424.95705556,0,0
1.133,0,0,442.412466667,5933.38764815,0,0
1.1382,0,0,483.746666667,5395.89135185,0,0
1.1103,0,0,481.184466667,4861.24194444,0,0
1.0929,0,0,444.765933333,4367.05757407,0,0
1.1041,0,0,418.095,3902.50757407,0,0
1.1204,0,0,436.740516667,3417.24033333,0,0
1.1344,0,0,452.69785,2914.24272222,0,0
1.1597,0,0,449.968333333,2414.27790741,0,0
1.1766,0,0,455.0667,1908.64824074,0,0
0.9864,0,0,454.012366667,1404.19005556,0,0
0.724,459.405,0,0,1404.19005556,0,0
0.7481,497.420766667,0,0,1404.19005556,0,0
0.8129,503.283133333,0,0,1404.19005556,0,0
0.8144,477.556666667,0,0,1404.19005556,0,0
0.8497,295.3649,0,183.77105,1200,0,0
0.6531,450.2041,0,-0,1200,0,0
0.3205,1225.41833333,833.333333333,0,1950,0,0
0.2542,1205.10315,833.333333333,0,2700,0,0
0.273,1196.91155,833.333333333,0,3450,0,0
0.2774,1192.49,833.333333333,0,4200,0,0
0.3501,1215.38405,833.333333333,0,4950,0,0
0.378,1250.50175,833.333333333,0,5700,0,0
0.3465,1265.13,833.333333333,0,6450,0,0
