date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh
2025-01-01,63756.216975499505,63756.216975499505,0.0,0.0,0.0,63756.216975499505,0.0,6000.0,10050.000000000002
2025-01-02,62554.45410136665,62554.45410136665,0.0,0.0,2.7964119908574504e-13,62554.45410136665,5.684341886080802e-14,10050.000000000002,10050.000000000002
2025-01-03,25902.835141369247,25902.835141369247,0.0,0.0,0.0,25902.835141369247,0.0,10050.000000000002,10050.000000000002
2025-01-04,25680.190469312653,25680.190469312653,0.0,0.0,0.0,25680.190469312653,0.0,10050.000000000002,10050.000000000002
2025-01-05,61306.1767417706,61306.1767417706,0.0,0.0,2.7964119908574504e-13,61306.1767417706,5.684341886080802e-14,10050.000000000002,10050.000000000002
2025-01-06,60993.47574734163,60993.47574734163,0.0,0.0,0.0,60993.47574734163,0.0,10050.000000000002,10050.0
2025-01-07,62222.92023466999,62222.92023466999,0.0,0.0,0.0,62222.92023466999,0.0,10050.0,10050.0
2025-01-08,60245.91898648425,60245.91898648425,0.0,0.0,0.0,60245.91898648425,0.0,10050.0,10050.000000000004
2025-01-09,61303.131983245345,61303.131983245345,0.0,0.0,0.0,61303.131983245345,0.0,10050.000000000004,10050.0
2025-01-10,25887.095952424505,25887.095952424505,0.0,0.0,0.0,25887.095952424505,0.0,10050.0,10050.0
2025-01-11,25550.41327171297,25550.41327171297,0.0,0.0,0.0,25550.41327171297,0.0,10050.0,10050.000000000002
2025-01-12,60954.45724816424,60954.45724816424,0.0,0.0,4.758476279675961e-12,60954.457248164246,6.821210263296962e-13,10050.000000000002,10050.0
2025-01-13,58976.14402411914,58976.14402411914,0.0,0.0,0.0,58976.14402411914,0.0,10050.0,10050.0
2025-01-14,59862.1106231714,59862.1106231714,0.0,0.0,0.0,59862.1106231714,0.0,10050.0,10050.000000000004
2025-01-15,60694.7889255807,60694.7889255807,0.0,0.0,2.5167707917717053e-12,60694.7889255807,5.115907697472721e-13,10050.000000000004,10050.0
2025-01-16,59938.231309402785,59938.231309402785,0.0,0.0,0.0,59938.231309402785,0.0,10050.0,10050.0
2025-01-17,24191.743733189436,24191.743733189436,0.0,0.0,0.0,24191.743733189436,0.0,10050.0,10050.0
2025-01-18,24540.251073580188,24540.251073580188,0.0,0.0,9.034579306899104e-12,24540.251073580195,1.4779288903810084e-12,10050.0,10050.0
2025-01-19,59605.12031768006,59605.12031768006,0.0,0.0,0.0,59605.12031768006,0.0,10050.0,10050.0
2025-01-20,59117.454355389906,59117.454355389906,0.0,0.0,0.0,59117.454355389906,0.0,10050.0,10050.0
2025-01-21,55649.99277701406,55649.99277701406,0.0,0.0,0.0,55649.99277701406,0.0,10050.0,10050.0
2025-01-22,59585.92223148796,59585.92223148796,0.0,0.0,0.0,59585.92223148796,0.0,10050.0,10050.0
2025-01-23,59904.5907795754,59904.5907795754,0.0,0.0,3.9653968997299674e-12,59904.59077957541,5.684341886080801e-13,10050.0,10050.0
2025-01-24,22660.688093758337,22660.688093758337,0.0,0.0,0.0,22660.688093758337,0.0,10050.0,10050.0
2025-01-25,22066.65686662251,22066.65686662251,0.0,0.0,0.0,22066.65686662251,0.0,10050.0,10050.0
2025-01-26,58367.45034663314,58367.45034663314,0.0,0.0,0.0,58367.45034663314,0.0,10050.0,10050.0
2025-01-27,55797.403408809965,55797.403408809965,0.0,0.0,6.062705892873055e-12,55797.40340880997,9.947598300641403e-13,10050.0,10050.0
2025-01-28,57926.024200104985,57926.024200104985,0.0,0.0,3.1723175197839737e-12,57926.024200104985,4.547473508864641e-13,10050.0,10050.0
2025-01-29,53521.25870395764,53521.25870395764,0.0,0.0,0.0,53521.25870395764,0.0,10050.0,10050.000000000002
2025-01-30,55816.5613031257,55816.5613031257,0.0,0.0,0.0,55816.5613031257,0.0,10050.000000000002,10050.0
2025-01-31,21960.8152748629,21960.8152748629,0.0,0.0,0.0,21960.8152748629,0.0,10050.0,10050.000000000004
2025-02-01,19902.211886599118,19902.211886599118,0.0,0.0,0.0,19902.211886599118,0.0,10050.000000000004,10050.0
2025-02-02,51664.26832828158,51664.26832828158,0.0,0.0,0.0,51664.26832828158,0.0,10050.0,10050.000000000002
2025-02-03,52953.78627099336,52953.78627099336,0.0,0.0,3.9653968997299674e-12,52953.78627099337,5.684341886080801e-13,10050.000000000002,10050.0
2025-02-04,53902.739084772955,53902.739084772955,0.0,0.0,2.3792381398379804e-12,53902.739084772955,3.410605131648481e-13,10050.0,10050.0
2025-02-05,53266.77674413055,53266.77674413055,0.0,0.0,9.787441968001077e-13,53266.77674413055,1.9895196601282805e-13,10050.0,10050.0
2025-02-06,52961.19319153668,52961.19319153668,0.0,0.0,2.376950192228833e-12,52961.19319153668,4.831690603168681e-13,10050.0,10050.0
2025-02-07,19427.379720463337,19427.379720463337,0.0,0.0,1.326760923348047e-12,19427.379720463337,2.7355895326763857e-13,10050.0,10050.000000000002
2025-02-08,18929.25816646,18929.25816646,0.0,0.0,0.0,18929.25816646,0.0,10050.000000000002,10050.000000000002
2025-02-09,52362.165247367775,52362.165247367775,0.0,0.0,7.930793799459934e-13,52362.165247367775,1.1368683772161603e-13,10050.000000000002,10050.0
2025-02-10,48620.744667272455,48620.744667272455,0.0,0.0,3.1723175197839737e-12,48620.744667272455,4.547473508864641e-13,10050.0,10050.0
2025-02-11,49441.05670551664,49441.05670551664,0.0,0.0,2.3792381398379804e-12,49441.05670551664,3.410605131648481e-13,10050.0,10050.0
2025-02-12,49620.19905048483,49620.19905048483,0.0,0.0,4.758476279675961e-12,49620.199050484836,6.821210263296962e-13,10050.0,10050.0
2025-02-13,46499.217525079504,46499.217525079504,0.0,0.0,0.0,46499.217525079504,0.0,10050.0,10050.0
2025-02-14,18590.82846291,18590.82846291,0.0,0.0,0.0,18590.82846291,0.0,10050.0,10050.000000000002
2025-02-15,18657.529668204996,18657.529668204996,0.0,0.0,0.0,18657.529668204996,0.0,10050.000000000002,10050.0
2025-02-16,49296.039592920824,49296.039592920824,0.0,0.0,2.7964119908574503e-12,49296.039592920824,5.684341886080801e-13,10050.0,10050.000000000002
2025-02-17,46205.739866869306,46205.739866869306,0.0,0.0,0.0,46205.739866869306,0.0,10050.000000000002,10050.0
2025-02-18,46912.8693440239,46912.8693440239,0.0,0.0,3.9653968997299674e-12,46912.86934402391,5.684341886080801e-13,10050.0,10050.0
2025-02-19,47788.01473692809,47788.01473692809,0.0,0.0,0.0,47788.01473692809,0.0,10050.0,10050.0
2025-02-20,46180.6836796355,46180.6836796355,0.0,0.0,0.0,46180.6836796355,0.0,10050.0,10050.0
2025-02-21,17737.763786615003,17737.763786615003,0.0,0.0,1.4027534689375898e-13,17737.763786615003,2.842170943040401e-14,10050.0,10050.0
2025-02-22,17973.907058475,17973.907058475,0.0,0.0,0.0,17973.907058475,0.0,10050.0,10050.0
2025-02-23,46387.381929852905,46387.381929852905,0.0,0.0,2.684992450596724e-12,46387.381929852905,5.45785638905727e-13,10050.0,10050.0
