date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh
2025-01-01,76144.05391801045,76144.05391801045,0.0,0.0,0.0,76144.05391801045,0.0,6000.0,10050.0
2025-01-02,74384.999243725,74384.999243725,0.0,0.0,0.0,74384.999243725,0.0,10050.0,10050.0
2025-01-03,22819.138433229138,22819.138433229138,0.0,0.0,0.0,22819.138433229138,0.0,10050.0,10050.000000000002
2025-01-04,22803.496905105916,22803.496905105916,0.0,0.0,0.0,22803.496905105916,0.0,10050.000000000002,10800.0
2025-01-05,72432.81602154998,72432.81602154998,0.0,0.0,0.0,72432.81602154998,0.0,10800.0,10050.000000000002
2025-01-06,72673.39489002168,72673.39489002168,0.0,0.0,0.0,72673.39489002168,0.0,10050.000000000002,10050.0
2025-01-07,74720.55904777705,74720.55904777705,0.0,0.0,0.0,74720.55904777705,0.0,10050.0,10050.0
2025-01-08,70838.19840822693,70838.19840822693,0.0,0.0,0.0,70838.19840822693,0.0,10050.0,10050.0
2025-01-09,72217.47133911497,72217.47133911497,0.0,0.0,0.0,72217.47133911497,0.0,10050.0,10050.0
2025-01-10,22222.19762296444,22222.19762296444,0.0,0.0,0.0,22222.19762296444,0.0,10050.0,10050.0
2025-01-11,22063.291296132393,22063.291296132393,0.0,0.0,4.818510035420331e-13,22063.291296132393,9.237055564881302e-14,10050.0,10050.000000000002
2025-01-12,72889.38094837406,72889.38094837406,0.0,0.0,0.0,72889.38094837406,0.0,10050.000000000002,10800.0
2025-01-13,68861.3686966054,68861.3686966054,0.0,0.0,0.0,68861.3686966054,0.0,10800.0,10050.0
2025-01-14,70152.43911975669,70152.43911975669,0.0,0.0,0.0,70152.43911975669,0.0,10050.0,10050.000000000004
2025-01-15,71733.72833280063,71733.72833280063,0.0,0.0,0.0,71733.72833280063,0.0,10050.000000000004,10050.000000000002
2025-01-16,69947.50696052852,69947.50696052852,0.0,0.0,0.0,69947.50696052852,0.0,10050.000000000002,10050.0
2025-01-17,21013.49865909739,21013.49865909739,0.0,0.0,0.0,21013.49865909739,0.0,10050.0,10050.0
2025-01-18,21432.85512930311,21432.85512930311,0.0,0.0,8.864617484505289e-12,21432.855129303116,1.4779288903810084e-12,10050.0,10200.0
2025-01-19,70452.56563165835,70452.56563165835,0.0,0.0,0.0,70452.56563165835,0.0,10200.0,10800.0
2025-01-20,68685.19717990948,68685.19717990948,0.0,0.0,1.4071872556087329e-12,68685.19717990948,1.9895196601282805e-13,10800.0,10050.0
2025-01-21,63496.505941054456,63496.505941054456,0.0,0.0,0.0,63496.505941054456,0.0,10050.0,10050.0
2025-01-22,69532.62399551405,69532.62399551405,0.0,0.0,0.0,69532.62399551405,0.0,10050.0,10050.0
2025-01-23,71128.51542344669,71128.51542344669,0.0,0.0,4.661444563680561e-12,71128.51542344669,5.684341886080801e-13,10050.0,10050.0
2025-01-24,19077.401332937286,19077.401332937286,0.0,0.0,0.0,19077.401332937286,0.0,10050.0,10050.0
2025-01-25,18801.491416240617,18801.491416240617,0.0,0.0,4.677097820149357e-12,18801.49141624062,9.556799795973347e-13,10050.0,10800.0
2025-01-26,68135.47006328411,68135.47006328411,0.0,0.0,0.0,68135.47006328411,0.0,10800.0,10050.0
2025-01-27,64530.75304852333,64530.75304852333,0.0,0.0,0.0,64530.75304852333,0.0,10050.0,10800.0
2025-01-28,66172.7881325348,66172.7881325348,0.0,0.0,3.5083758120890706e-12,66172.7881325348,4.547473508864641e-13,10800.0,10050.0
2025-01-29,60493.57621704771,60493.57621704771,0.0,0.0,5.521911816686042e-13,60493.57621704771,9.947598300641403e-14,10050.0,10050.000000000004
2025-01-30,63676.89142275485,63676.89142275485,0.0,0.0,0.0,63676.89142275485,0.0,10050.000000000004,10050.0
2025-01-31,18303.48029169313,18303.48029169313,0.0,0.0,0.0,18303.48029169313,0.0,10050.0,10050.000000000004
2025-02-01,16401.852649639877,16401.852649639877,0.0,0.0,0.0,16401.852649639877,0.0,10050.000000000004,10800.0
2025-02-02,56314.587302833854,56314.587302833854,0.0,0.0,0.0,56314.587302833854,0.0,10800.0,10050.0
2025-02-03,59312.21571329373,59312.21571329373,0.0,0.0,0.0,59312.21571329373,0.0,10050.0,10050.0
2025-02-04,60974.771607856026,60974.771607856026,0.0,0.0,0.0,60974.771607856026,0.0,10050.0,10800.0
2025-02-05,59349.72993221796,59349.72993221796,0.0,0.0,5.957645043963567e-12,59349.72993221797,9.094947017729282e-13,10800.0,10050.0
2025-02-06,59043.81742010167,59043.81742010167,0.0,0.0,2.5344633058921315e-12,59043.81742010167,4.831690603168681e-13,10050.0,10050.000000000004
2025-02-07,15939.609888291665,15939.609888291665,0.0,0.0,1.2334773202837825e-12,15939.609888291667,2.7355895326763857e-13,10050.000000000004,10800.0
2025-02-08,14996.766827668334,14996.766827668334,0.0,0.0,0.0,14996.766827668334,0.0,10800.0,10800.0
2025-02-09,57646.50140757999,57646.50140757999,0.0,0.0,7.531752999057062e-13,57646.50140757999,1.1368683772161603e-13,10800.0,10050.0
2025-02-10,52299.45888248602,52299.45888248602,0.0,0.0,0.0,52299.45888248602,0.0,10050.0,10050.000000000002
2025-02-11,53683.70054487859,53683.70054487859,0.0,0.0,0.0,53683.70054487859,0.0,10050.000000000002,10050.0
2025-02-12,53727.30865237512,53727.30865237512,0.0,0.0,0.0,53727.30865237512,0.0,10050.0,10200.000000000002
2025-02-13,49624.41123606018,49624.41123606018,0.0,0.0,3.0054252420086414e-12,49624.41123606018,4.547473508864641e-13,10200.000000000002,10050.0
2025-02-14,14598.435422051667,14598.435422051667,0.0,0.0,0.0,14598.435422051667,0.0,10050.0,10050.000000000002
2025-02-15,15119.242904858722,15119.242904858722,0.0,0.0,0.0,15119.242904858722,0.0,10050.000000000002,10200.0
2025-02-16,53663.82397156034,53663.82397156034,0.0,0.0,3.0507862902595654e-12,53663.82397156034,5.684341886080801e-13,10200.0,10050.0
2025-02-17,49706.5917185462,49706.5917185462,0.0,0.0,0.0,49706.5917185462,0.0,10050.0,10050.0
2025-02-18,50027.41089407409,50027.41089407409,0.0,0.0,0.0,50027.41089407409,0.0,10050.0,10050.0
2025-02-19,50904.65019520219,50904.65019520219,0.0,0.0,0.0,50904.65019520219,0.0,10050.0,10200.000000000002
2025-02-20,49483.99121601963,49483.99121601963,0.0,0.0,3.0452156352112067e-12,49483.99121601963,4.547473508864641e-13,10200.000000000002,10050.0
2025-02-21,14276.403434009997,14276.403434009997,0.0,0.0,1.3868711734588145e-12,14276.403434009999,3.013145288832675e-13,10050.0,10050.0
2025-02-22,14852.861028334997,14852.861028334997,0.0,0.0,0.0,14852.861028334997,0.0,10050.0,10800.0
2025-02-23,49272.13687326791,49272.13687326791,0.0,0.0,0.0,49272.13687326791,0.0,10800.0,10200.0
2025-02-24,47402.28801027297,47402.28801027297,0.0,0.0,0.0,47402.28801027297,0.0,10200.0,10800.0
2025-02-25,44337.51428100812,44337.51428100812,0.0,0.0,0.0,44337.51428100812,0.0,10800.0,10050.0
2025-02-26,47172.56455547749,47172.56455547749,0.0,0.0,0.0,47172.56455547749,0.0,10050.0,10050.0
2025-02-27,45374.03340680214,45374.03340680214,0.0,0.0,0.0,45374.03340680214,0.0,10050.0,10050.0
2025-02-28,13295.620201844997,13295.620201844997,0.0,0.0,0.0,13295.620201844997,0.0,10050.0,10050.0
2025-03-01,13543.102248805,13543.102248805,0.0,0.0,0.0,13543.102248805,0.0,10050.0,10800.0
2025-03-02,49861.12028197195,49861.12028197195,0.0,0.0,9.310213044955163e-12,49861.120281971955,1.4779288903810084e-12,10800.0,10050.0
2025-03-03,50205.451742233476,50205.451742233476,0.0,0.0,0.0,50205.451742233476,0.0,10050.0,10800.0
2025-03-04,46829.391531700494,46829.391531700494,0.0,0.0,0.0,46829.391531700494,0.0,10800.0,10050.0
2025-03-05,44198.53980658574,44198.53980658574,0.0,0.0,1.5126033758861012e-12,44198.53980658574,2.2737367544323206e-13,10050.0,10050.0
2025-03-06,44126.48519280848,44126.48519280848,0.0,0.0,0.0,44126.48519280848,0.0,10050.0,10050.000000000002
2025-03-07,12386.173271009999,12386.173271009999,0.0,0.0,6.039186928319396e-13,12386.173271009999,1.8474111129762605e-13,10050.000000000002,10200.0
2025-03-08,12521.62903279286,12521.62903279286,0.0,0.0,0.0,12521.62903279286,0.0,10200.0,10200.000000000004
2025-03-09,41638.219629933665,41638.219629933665,0.0,0.0,0.0,41638.219629933665,0.0,10200.000000000004,10050.0
2025-03-10,46442.84819758419,46442.84819758419,0.0,0.0,0.0,46442.84819758419,0.0,10050.0,10200.0
2025-03-11,42510.25764904268,42510.25764904268,0.0,0.0,0.0,42510.25764904268,0.0,10200.0,10050.0
2025-03-12,41224.42715939313,41224.42715939313,0.0,0.0,1.31182531504237e-12,41224.42715939313,2.7000623958883807e-13,10050.0,10050.0
2025-03-13,45565.89370530916,45565.89370530916,0.0,0.0,0.0,45565.89370530916,0.0,10050.0,10050.000000000002
2025-03-14,12017.269987933723,12017.269987933723,0.0,0.0,0.0,12017.269987933723,0.0,10050.000000000002,10800.0
2025-03-15,12383.434777796663,12383.434777796663,0.0,0.0,4.7513992740277895e-14,12383.434777796663,1.4210854715202004e-14,10800.0,10200.0
2025-03-16,41703.29859423164,41703.29859423164,0.0,0.0,0.0,41703.29859423164,0.0,10200.0,10050.0
2025-03-17,37463.02443624797,37463.02443624797,0.0,0.0,7.497078513551969e-13,37463.02443624797,1.1368683772161603e-13,10050.0,10050.0
2025-03-18,39920.67881522704,39920.67881522704,0.0,0.0,0.0,39920.67881522704,0.0,10050.0,10050.0
2025-03-19,38681.03303319136,38681.03303319136,0.0,0.0,7.670450941077433e-13,38681.03303319136,1.1368683772161603e-13,10050.0,10200.0
2025-03-20,40624.034191714716,40624.034191714716,0.0,0.0,0.0,40624.034191714716,0.0,10200.0,10050.000000000002
2025-03-21,11356.580092831664,11356.580092831664,0.0,0.0,5.081119525129907e-12,11356.58009283167,1.0231815394945443e-12,10050.000000000002,10050.0
2025-03-22,11918.30496528957,11918.30496528957,0.0,0.0,0.0,11918.30496528957,0.0,10050.0,10800.0
2025-03-23,37467.47187550311,37467.47187550311,0.0,0.0,0.0,37467.47187550311,0.0,10800.0,10050.0
2025-03-24,37736.03828193371,37736.03828193371,0.0,0.0,0.0,37736.03828193371,0.0,10050.0,10050.000000000004
2025-03-25,39609.21970057932,39609.21970057932,0.0,0.0,8.167866383246292e-13,39609.21970057932,1.5987211554602254e-13,10050.000000000004,10050.0
2025-03-26,35995.54432599833,35995.54432599833,0.0,0.0,7.319727046706248e-13,35995.54432599833,1.1368683772161603e-13,10050.0,10050.0
2025-03-27,37695.31731412969,37695.31731412969,0.0,0.0,0.0,37695.31731412969,0.0,10050.0,10050.000000000002
2025-03-28,11113.330295301665,11113.330295301665,0.0,0.0,2.0001920120193973e-12,11113.330295301666,5.542233338928781e-13,10050.000000000002,10050.0
2025-03-29,11591.172509281667,11591.172509281667,0.0,0.0,0.0,11591.172509281667,0.0,10050.0,10800.0
2025-03-30,34542.50515962215,34542.50515962215,0.0,0.0,2.4794255537585745e-12,34542.50515962215,5.240252676230739e-13,10800.0,10050.000000000002
2025-03-31,36543.946235942174,36543.946235942174,0.0,0.0,0.0,36543.946235942174,0.0,10050.000000000002,10050.0
2025-04-01,39026.0715235836,39026.0715235836,0.0,0.0,0.0,39026.0715235836,0.0,10050.0,10050.0
2025-04-02,38527.04780729802,38527.04780729802,0.0,0.0,3.2274556360789578e-12,38527.04780729802,6.821210263296962e-13,10050.0,10050.0
2025-04-03,36411.977939675664,36411.977939675664,0.0,0.0,0.0,36411.977939675664,0.0,10050.0,10050.000000000002
