date,physical_slot0,decision_date,plan_slot0,load_kw,pv_kw,price_actual,commitment_kwh,total_cost_yuan,charge,discharge,emergency,unused_plan,curtailment,pv_used,plan_used,soc
2025-01-01,0,2024-12-31,143,3529.7296,0.0,0.4527,0.0,0.0,0.0,588.2882666666667,0.0,0.0,0.0,0.0,0.0,5346.34637037037
2025-01-01,1,2025-01-01,0,3609.5287,0.0,0.4733,601.5881166666666,284.73165561833326,0.0,0.0,0.0,0.0,0.0,0.0,601.5881166666666,5346.34637037037
2025-01-01,2,2025-01-01,1,3726.56,0.0,0.4843,621.0933333333332,300.7955013333333,0.0,0.0,0.0,0.0,0.0,0.0,621.0933333333332,5346.34637037037
2025-01-01,3,2025-01-01,2,3510.6311,0.0,0.4541,811.3869940329221,368.4508339903499,226.28181069958873,0.0,0.0,0.0,0.0,0.0,811.3869940329221,5550.0
2025-01-01,4,2025-01-01,3,3502.5625,0.0,0.4266,1417.09375,604.5321937499999,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1417.09375,6300.0
2025-01-01,5,2025-01-01,4,3787.01,0.0,0.4311,1464.5016666666666,631.3466685,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1464.5016666666666,7050.0
2025-01-01,6,2025-01-01,5,3900.3205,0.0,0.4544,650.0534166666666,295.38427253333333,0.0,0.0,0.0,0.0,0.0,0.0,650.0534166666666,7050.0
2025-01-01,7,2025-01-01,6,3916.8376,0.0,0.4483,1486.1396,666.2363826799999,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1486.1396,7800.0
2025-01-01,8,2025-01-01,7,3817.28,0.0,0.4251,1469.5466666666666,624.7042879999999,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1469.5466666666666,8550.0
2025-01-01,9,2025-01-01,8,3533.0136,0.0,0.444,1422.1689333333334,631.4430064000001,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1422.1689333333334,9300.0
2025-01-01,10,2025-01-01,9,3694.6613,0.0,0.478,615.7768833333333,294.34135023333334,0.0,0.0,0.0,0.0,0.0,0.0,615.7768833333333,9300.0
