date,soc_min_kwh,soc_max_kwh,start_soc_kwh,end_soc_kwh,reserve_kwh,E_min_kwh,E_max_kwh
2025-02-01,4035.26417017,10800,10489.6842938,10784.2738539,2727.22001183,1200,10800
2025-02-02,3856.75243068,10800,10784.2738539,10799.7417055,2570.36143874,1200,10800
2025-02-03,3369.40609518,10800,10799.7417055,10242.5133319,2413.50286565,1200,10800
2025-02-04,1547.94974446,10800,10242.5133319,8216.03645069,2256.64429256,1200,10800
2025-02-05,1200,10667.491032,8216.03645069,7915.50848384,2099.78571947,1200,10800
2025-02-06,1627.95762347,10800,7915.50848384,8271.41312693,2053.28535173,1200,10800
2025-02-07,2351.20332961,10800,8271.41312693,9002.37126152,2031.21371066,1200,10800
2025-02-08,1945.37711812,10800,9002.37126152,8552.93018262,2009.14206959,1200,10800
2025-02-09,1200,10144.5308714,8552.93018262,7679.4575992,2322.85921577,1200,10800
2025-02-10,3455.56373527,10800,7679.4575992,9923.60625616,2776.99460276,1200,10800
2025-02-11,2739.74812069,10501.038004,9923.60625616,9371.21558268,2727.22001183,1200,10800
2025-02-12,2641.05665763,10800,9371.21558268,9346.75969327,2592.43307981,1200,10800
2025-02-13,3421.31595441,10800,9346.75969327,10210.3059315,2457.64614779,1200,10800
2025-02-14,3235.23888094,10800,10210.3059315,9935.18558967,2322.85921577,1200,10800
2025-02-15,3414.08158956,10800,9935.18558967,9953.5314034,2696.18895046,1200,10800
2025-02-16,3543.11453297,10800,9953.5314034,10300.2925376,2688.43118512,1200,10800
2025-02-17,3563.94323477,10800,10300.2925376,10290.5135579,2561.40201844,1200,10800
2025-02-18,3179.01296068,10800,10290.5135579,9961.71109043,2434.37285176,1200,10800
2025-02-19,2077.34824907,10764.057362,9961.71109043,8601.6178451,2307.34368509,1200,10800
2025-02-20,2991.99330278,10800,8601.6178451,10103.1236744,2180.31451841,1200,10800
2025-02-21,3403.88593251,10800,10103.1236744,10086.7540255,2053.28535173,1200,10800
2025-02-22,3160.04807649,10800,10086.7540255,9918.37509969,2031.21371066,1200,10800
2025-02-23,3229.08545472,10800,9918.37509969,9913.19574063,2077.98530914,1200,10800
2025-02-24,3068.31149183,10800,9913.19574063,9889.36608615,2069.75199,1200,10800
2025-02-25,3210.99652698,10800,9889.36608615,9879.05461049,2061.51867087,1200,10800
2025-02-26,1326.54443657,10800,9879.05461049,8230.19722105,2053.28535173,1200,10800
2025-02-27,1550.15576373,10800,8230.19722105,8651.15128783,2031.21371066,1200,10800
2025-02-28,3050.48434873,10800,8651.15128783,9864.32604393,2009.14206959,1200,10800
2025-03-01,2929.30471938,10800,9864.32604393,9826.47192055,1987.07042852,1200,10800
2025-03-02,1200,10800,9826.47192055,7995.28176547,1964.99878745,1200,10800
2025-03-03,1200,10800,7995.28176547,7855.78991351,2053.28535173,1200,10800
2025-03-04,2775.56986757,10800,7855.78991351,9340.25886625,2031.21371066,1200,10800
2025-03-05,2555.38135218,10800,9340.25886625,9221.87773967,2009.14206959,1200,10800
2025-03-06,1386.69665796,10800,9221.87773967,7915.21759509,1987.07042852,1200,10800
2025-03-07,2779.06098247,10800,7915.21759509,9610.68866462,1964.99878745,1200,10800
2025-03-08,2373.19054628,10800,9610.68866462,9455.33965144,1942.92714638,1200,10800
2025-03-09,2529.65358135,10800,9455.33965144,9308.6688662,1910.67675546,1200,10800
2025-03-10,1200,10297.6449776,9308.6688662,7973.07731454,1878.42636453,1200,10800
2025-03-11,1795.82926345,10800,7973.07731454,8615.48208827,1987.07042852,1200,10800
2025-03-12,2539.07272081,10800,8615.48208827,9188.97285031,1964.99878745,1200,10800
2025-03-13,1200,10795.141259,9188.97285031,7955.59889317,1942.92714638,1200,10800
2025-03-14,3237.94114965,10800,7955.59889317,10291.3126345,2031.21371066,1200,10800
2025-03-15,2945.1227434,10800,10291.3126345,9693.49698073,2009.14206959,1200,10800
2025-03-16,3275.52601569,10800,9693.49698073,10158.875252,2069.75199,1200,10800
2025-03-17,3353.83576089,10800,10158.875252,10315.9685259,2061.51867087,1200,10800
2025-03-18,1653.71637029,10800,10315.9685259,8679.91867452,2053.28535173,1200,10800
2025-03-19,2257.68097313,10800,8679.91867452,9827.10643494,2031.21371066,1200,10800
2025-03-20,1305.72623064,10609.032184,9827.10643494,8158.03568312,2009.14206959,1200,10800
2025-03-21,2666.73389378,10800,8158.03568312,9903.27895121,1987.07042852,1200,10800
2025-03-22,3239.11472059,10800,9903.27895121,10309.6384043,1964.99878745,1200,10800
2025-03-23,2184.91822894,10800,10309.6384043,9926.7162701,1942.92714638,1200,10800
2025-03-24,2336.90411272,10800,9926.7162701,9363.97961265,1910.67675546,1200,10800
2025-03-25,1200,10554.9654513,9363.97961265,8095.03877629,1878.42636453,1200,10800
2025-03-26,2886.70366175,10800,8095.03877629,10009.6757314,1987.07042852,1200,10800
2025-03-27,1690.06121311,10800,10009.6757314,8541.73644016,1964.99878745,1200,10800
2025-03-28,2980.34656943,10800,8541.73644016,10203.9518341,1942.92714638,1200,10800
2025-03-29,3005.7762662,10800,10203.9518341,10000.1514305,1910.67675546,1200,10800
2025-03-30,1913.76524543,10718.5685996,10000.1514305,8913.81839612,1878.42636453,1200,10800
2025-03-31,1238.10036911,10777.1020291,8913.81839612,8353.96676943,1846.1759736,1200,10800
2025-04-01,1200,10216.6048987,8353.96676943,8119.38867055,1964.99878745,1200,10800
2025-04-02,1200,10320.1861911,8119.38867055,7973.25087183,2053.28535173,1200,10800
2025-04-03,2659.36515712,10800,7973.25087183,9852.09013457,2086.21862827,1200,10800
2025-04-04,3349.48786794,10800,9852.09013457,10222.8287273,2077.98530914,1200,10800
2025-04-05,3090.53005755,10800,10222.8287273,9825.18642524,2069.75199,1200,10800
2025-04-06,3119.75929571,10800,9825.18642524,9910.83084964,2131.91140061,1200,10800
2025-04-07,3407.79474432,10800,9910.83084964,10078.207939,2094.45194741,1200,10800
2025-04-08,1918.87894278,10800,10078.207939,9369.0659314,2086.21862827,1200,10800
