date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,x_plan_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh,physical_slot0,decision_date,plan_slot0,price_actual,total_cost_yuan,period_start,period_end,L_commit_fc_kw,P_commit_fc_kw,forecast_issue_hour,x0_kwh,x3_kwh,price_fc,E_start_kwh
2025-03-20,1,00:10,3299.0689,0,3531.2899584,0,1398.83204132,1383.17815,15.6538913153,833.333333333,0,0,0,0,10577.1064349,0,2025-03-19,143,0.4248,594.223851151,00:00,00:10,3392.99224789,0,0,1398.83204132,1398.83204132,0.4248,9827.10643494
2025-03-20,2,00:20,3421.881,0,3499.93466464,0,583.322444106,583.322444106,0,13.0089441062,0,0,0,0,10588.8144846,1,2025-03-20,0,0.4245,247.620377523,00:10,00:20,3499.93466464,0,0,583.322444106,583.322444106,0.4245,10577.1064349
2025-03-20,3,00:30,3683.11,0,3498.80959298,0,583.134932164,583.134932164,0,0,30.7167345031,0,0,0,10554.6847796,2,2025-03-20,1,0.4269,248.940302541,00:20,00:30,3498.80959298,0,0,583.134932164,583.134932164,0.4269,10588.8144846
2025-03-20,4,00:40,3476.737,0,3518.74917571,0,586.458195952,586.458195952,0,7.00202928557,0,0,0,0,10560.986606,3,2025-03-20,2,0.4272,250.534941311,00:30,00:40,3518.74917571,0,0,586.458195952,586.458195952,0.4272,10554.6847796
2025-03-20,5,00:50,3302.6695,0,3494.03860249,0,582.339767082,582.339767082,0,31.8948504153,0,0,0,0,10589.6919714,4,2025-03-20,3,0.4271,248.717314521,00:40,00:50,3494.03860249,0,0,582.339767082,582.339767082,0.4271,10560.986606
2025-03-20,6,01:00,3426.94,0,3451.38307907,0,575.230513178,575.230513178,0,4.07384651125,0,0,0,0,10593.3584332,5,2025-03-20,4,0.4285,246.486274897,00:50,01:00,3451.38307907,0,0,575.230513178,575.230513178,0.4285,10589.6919714
2025-03-20,7,01:10,3609.5343,0,3429.27421883,0,571.545703139,571.545703139,0,0,30.0433468613,0,0,0,10559.9769367,6,2025-03-20,5,0.4311,246.393352623,01:00,01:10,3429.27421883,0,0,571.545703139,571.545703139,0.4311,10593.3584332
2025-03-20,8,01:20,3668.9025,0,3401.49505007,0,566.915841678,566.915841678,0,0,44.5679083219,0,0,0,10510.4570386,7,2025-03-20,6,0.4302,243.88719509,01:10,01:20,3401.49505007,0,0,566.915841678,566.915841678,0.4302,10559.9769367
2025-03-20,9,01:30,3589.3,0,3348.13056414,0,558.021760689,558.021760689,0,0,40.1949059774,0,0,0,10465.7960319,8,2025-03-20,7,0.4279,238.777511399,01:20,01:30,3348.13056414,0,0,558.021760689,558.021760689,0.4279,10510.4570386
2025-03-20,10,01:40,3503.6157,0,3398.26597779,0,566.377662965,566.377662965,0,0,17.5582870351,0,0,0,10446.2868241,9,2025-03-20,8,0.4312,244.22204827,01:30,01:40,3398.26597779,0,0,566.377662965,566.377662965,0.4312,10465.7960319
2025-03-20,11,01:50,3545.9703,0,3511.69760686,0,585.282934477,585.282934477,0,0,5.71211552256,0,0,0,10439.9400291,10,2025-03-20,9,0.4333,253.603095509,01:40,01:50,3511.69760686,0,0,585.282934477,585.282934477,0.4333,10446.2868241
2025-03-20,12,02:00,3590.66,0,3584.16323018,0,597.360538363,597.360538363,0,0,1.08279497046,0,0,0,10438.7369236,11,2025-03-20,10,0.4311,257.522128088,01:50,02:00,3584.16323018,0,0,597.360538363,597.360538363,0.4311,10439.9400291
2025-03-20,13,02:10,3395.9017,0,3515.21549748,0,585.869249581,585.869249581,0,19.8856329141,0,0,0,0,10456.6339932,12,2025-03-20,11,0.4293,251.513668845,02:00,02:10,3515.21549748,0,0,585.869249581,585.869249581,0.4293,10438.7369236
2025-03-20,14,02:20,3276.7246,0,3444.50718088,0,574.084530147,574.084530147,0,27.9637634799,0,0,0,0,10481.8013803,13,2025-03-20,12,0.4324,248.234150835,02:10,02:20,3444.50718088,0,0,574.084530147,574.084530147,0.4324,10456.6339932
2025-03-20,15,02:30,3394.28,0,3468.70453682,0,578.117422803,578.117422803,0,12.4040894698,0,0,0,0,10492.9650608,14,2025-03-20,13,0.4367,252.463878538,02:20,02:30,3468.70453682,0,0,578.117422803,578.117422803,0.4367,10481.8013803
2025-03-20,16,02:40,3587.5594,0,3563.78515039,0,593.964191732,593.964191732,0,0,3.96237493436,0,0,0,10488.562422,15,2025-03-20,14,0.4348,258.255630565,02:30,02:40,3563.78515039,0,0,593.964191732,593.964191732,0.4348,10492.9650608
2025-03-20,17,02:50,3605.7268,0,3636.29688806,0,606.049481344,606.049481344,0,5.0950146773,0,0,0,0,10493.1479352,16,2025-03-20,15,0.4335,262.722450163,02:40,02:50,3636.29688806,0,0,606.049481344,606.049481344,0.4335,10488.562422
2025-03-20,18,03:00,3522.79,0,3606.6133392,0,601.102223201,601.102223201,0,13.970556534,0,0,0,0,10505.7214361,17,2025-03-20,16,0.4357,261.900238649,02:50,03:00,3606.6133392,0,0,601.102223201,601.102223201,0.4357,10493.1479352
2025-03-20,19,03:10,3631.2618,0,3509.34930979,0,584.891551632,584.891551632,0,0,20.3187483679,0,0,0,10483.145049,18,2025-03-20,17,0.4374,255.831564684,03:00,03:10,3509.34930979,0,0,584.891551632,584.891551632,0.4374,10505.7214361
2025-03-20,20,03:20,3731.3543,0,3461.59895263,0,576.933158772,576.933158772,0,0,44.9592245612,0,0,0,10433.1903551,19,2025-03-20,18,0.4371,252.177483699,03:10,03:20,3461.59895263,0,0,576.933158772,576.933158772,0.4371,10483.145049
2025-03-20,21,03:30,3721.01,0,3518.8772618,0,586.479543633,586.479543633,0,0,33.6887897008,0,0,0,10395.7583665,20,2025-03-20,19,0.4356,255.470489206,03:20,03:30,3518.8772618,0,0,586.479543633,586.479543633,0.4356,10433.1903551
2025-03-20,22,03:40,3699.7385,0,3633.24467403,0,605.540779006,605.540779006,0,0,11.0823043276,0,0,0,10383.4446951,21,2025-03-20,20,0.4353,263.591901101,03:30,03:40,3633.24467403,0,0,605.540779006,605.540779006,0.4353,10395.7583665
2025-03-20,23,03:50,3674.7825,0,3581.69805416,0,596.949675694,596.949675694,0,0,15.5140743059,0,0,0,10366.2068347,22,2025-03-20,21,0.436,260.270058603,03:40,03:50,3581.69805416,0,0,596.949675694,596.949675694,0.436,10383.4446951
2025-03-20,24,04:00,3623.58,0,3506.88798184,0,584.481330306,584.481330306,0,0,19.4486696938,0,0,0,10344.5972017,23,2025-03-20,22,0.4378,255.885926408,03:50,04:00,3506.88798184,0,0,584.481330306,584.481330306,0.4378,10366.2068347
2025-03-20,25,04:10,3538.7697,0.0019,3644.44570593,0,607.407617655,607.407617655,0,17.6129843222,0,0,0,0.000316666666667,10360.4488876,24,2025-03-20,23,0.4401,267.32009253,04:00,04:10,3644.44570593,0,0,607.407617655,607.407617655,0.4401,10344.5972017
2025-03-20,26,04:20,3488.7843,0,3669.27613974,0,611.54602329,611.54602329,0,30.0819732904,0,0,0,0,10387.5226636,25,2025-03-20,24,0.4389,268.407549622,04:10,04:20,3669.27613974,0,0,611.54602329,611.54602329,0.4389,10360.4488876
2025-03-20,27,04:30,3513.51,0,3535.67713268,0,589.279522113,589.279522113,0,3.69452211258,0,0,0,0,10390.8477335,26,2025-03-20,25,0.4364,257.16158345,04:20,04:30,3535.67713268,0,0,589.279522113,589.279522113,0.4364,10387.5226636
2025-03-20,28,04:40,3598.3779,0.0271,3594.46381983,0,599.077303305,599.077303305,0,0,0.647830028003,0,0,0.00451666666667,10390.1279223,27,2025-03-20,26,0.4393,263.174659342,04:30,04:40,3594.46381983,0,0,599.077303305,599.077303305,0.4393,10390.8477335
2025-03-20,29,04:50,3700.4359,0,3666.64673291,0,611.107788819,611.107788819,0,0,5.63152784772,0,0,0,10383.8706692,28,2025-03-20,27,0.4422,270.231864216,04:40,04:50,3666.64673291,0,0,611.107788819,611.107788819,0.4422,10390.1279223
2025-03-20,30,05:00,3753.57,0,3653.615477,0,608.935912833,608.935912833,0,0,16.6590871666,0,0,0,10365.3605723,29,2025-03-20,28,0.4395,267.62733369,04:50,05:00,3653.615477,0,0,608.935912833,608.935912833,0.4395,10383.8706692
2025-03-20,31,05:10,3716.9811,0.3776,3597.90613459,0,599.651022431,599.651022431,0,0,19.7828942352,0,0,0.0629333333333,10343.3795787,30,2025-03-20,29,0.4333,259.82878802,05:00,05:10,3597.90613459,0,0,599.651022431,599.651022431,0.4333,10365.3605723
2025-03-20,32,05:20,3707.0664,0,3600.12087494,0,600.020145823,600.020145823,0,0,17.8242541767,0,0,0,10323.5748519,31,2025-03-20,30,0.4439,266.348942731,05:10,05:20,3600.12087494,0,0,600.020145823,600.020145823,0.4439,10343.3795787
2025-03-20,33,05:30,3642.69,0,3637.29678099,0,606.216130165,606.216130165,0,0,0.898869835381,0,0,0,10322.5761076,32,2025-03-20,31,0.4301,260.733557584,05:20,05:30,3637.29678099,0,0,606.216130165,606.216130165,0.4301,10323.5748519
2025-03-20,34,05:40,3457.8398,5.2594,3626.20425582,0,875.076511127,875.076511127,0,299.64644446,0,0,0,0.876566666667,10592.2579076,33,2025-03-20,32,0.3713,324.915908581,05:30,05:40,3626.20425582,0,0,875.076511127,875.076511127,0.3713,10322.5761076
2025-03-20,35,05:50,4028.7787,0,4140.60720903,0,690.101201505,690.101201505,0,18.6380848383,0,0,0,0,10609.032184,34,2025-03-20,33,0.5708,393.909765819,05:40,05:50,4140.60720903,0,0,690.101201505,690.101201505,0.5708,10592.2579076
2025-03-20,36,06:00,4962.09,0,4775.18290744,0,0,0,0,0,827.015,0,0,0,9690.12662841,35,2025-03-20,34,0.9099,0,05:50,06:00,4775.18290744,0,0,0,0,0.9099,10609.032184
2025-03-20,37,06:10,4905.1198,153.4202,4755.62913143,141.635860783,0,0,0,0,791.949933333,0,0,25.5700333333,8810.18225804,36,2025-03-20,35,0.9368,0,06:00,06:10,4755.62913143,141.635860783,0,0,0,0.9368,9690.12662841
2025-03-20,38,06:20,4660.8239,401.044,4644.19477836,379.936305042,0,0,0,0,709.963316667,0,0,66.8406666667,8021.33412841,37,2025-03-20,36,0.8758,0,06:10,06:20,4644.19477836,379.936305042,0,0,0,0.8758,8810.18225804
2025-03-20,39,06:30,4703.75,675.525,4913.27112376,665.245130246,0,0,0,0,671.370833333,0,0,112.5875,7275.36653581,38,2025-03-20,37,0.8759,0,06:20,06:30,4913.27112376,665.245130246,0,0,0,0.8759,8021.33412841
2025-03-20,40,06:40,4726.9008,952.6316,4661.04411014,981.590869702,0,0,0,0,629.044866667,0,0,158.771933333,6576.42779507,39,2025-03-20,38,0.8601,0,06:30,06:40,4661.04411014,981.590869702,0,0,0,0.8601,7275.36653581
2025-03-20,41,06:50,4819.4733,1302.5378,4758.25805745,1307.71768727,575.090061695,575.090061695,0,0,11.0658549713,0,0,217.089633333,6564.13240066,40,2025-03-20,39,0.8442,485.491030083,06:40,06:50,4758.25805745,1307.71768727,0,575.090061695,575.090061695,0.8442,6576.42779507
2025-03-20,42,07:00,4880.33,1693.2375,4853.86734735,1642.14202755,535.2875533,535.2875533,0,4.10546996654,0,0,0,282.20625,6567.82732363,41,2025-03-20,40,0.8334,446.10864692,06:50,07:00,4853.86734735,1642.14202755,0,535.2875533,535.2875533,0.8334,6564.13240066
2025-03-20,43,07:10,4689.3761,2009.9231,4793.86850461,1990.49189073,467.229435646,467.229435646,0,20.6539356456,0,0,0,334.987183333,6586.41586571,42,2025-03-20,41,0.8092,378.082059324,07:00,07:10,4793.86850461,1990.49189073,0,467.229435646,467.229435646,0.8092,6567.82732363
2025-03-20,44,07:20,4713.3646,2305.9149,4772.59909304,2287.83436202,414.12745517,414.12745517,5.68434188608e-14,12.8858385029,0,0,0,384.31915,6598.01312037,43,2025-03-20,42,0.7972,330.142407261,07:10,07:20,4772.59909304,2287.83436202,0,414.12745517,414.12745517,0.7972,6586.41586571
2025-03-20,45,07:30,4827.2,2609.7375,4754.17710454,2525.65820453,371.419816668,371.419816668,0,1.8427333342,0,0,0,434.95625,6599.67158037,44,2025-03-20,43,0.7644,283.913307861,07:20,07:30,4754.17710454,2525.65820453,0,371.419816668,371.419816668,0.7644,6598.01312037
2025-03-20,46,07:40,4578.156,2894.0148,4544.37161175,2830.40551079,421.189964067,421.189964067,5.68434188608e-14,140.499764067,0,0,0,482.3358,6726.12136803,45,2025-03-20,44,0.6899,290.57895621,07:30,07:40,4544.37161175,2830.40551079,0,421.189964067,421.189964067,0.6899,6599.67158037
2025-03-20,47,07:50,5187.0368,3179.5684,5418.2522003,3195.10630711,0,0,0,0,334.578066667,0,0,529.928066667,6354.36796062,46,2025-03-20,45,0.86,0,07:40,07:50,5418.2522003,3195.10630711,0,0,0,0.86,6726.12136803
2025-03-20,48,08:00,6405.59,3476.5125,6582.79571468,3485.59146742,0,0,0,0,488.179583333,0,0,579.41875,5811.94620136,47,2025-03-20,46,1.1617,0,07:50,08:00,6582.79571468,3485.59146742,0,0,0,1.1617,6354.36796062
2025-03-20,49,08:10,6658.0486,3761.2255,6539.40597822,3763.73529399,0,0,0,0,482.80385,0,0,626.870916667,5275.49747914,48,2025-03-20,47,1.1683,0,08:00,08:10,6539.40597822,3763.73529399,0,0,0,1.1683,5811.94620136
2025-03-20,50,08:20,6606.6001,3976.3717,6344.38183376,4056.28864337,0,0,0,0,438.3714,0,0,662.728616667,4788.4181458,49,2025-03-20,48,1.0956,0,08:10,08:20,6344.38183376,4056.28864337,0,0,0,1.0956,5275.49747914
2025-03-20,51,08:30,6687.27,4220.325,6491.45414372,4304.05242201,0,0,0,0,411.1575,0,0,703.3875,4331.57647914,50,2025-03-20,49,1.0849,0,08:20,08:30,6491.45414372,4304.05242201,0,0,0,1.0849,4788.4181458
2025-03-20,52,08:40,6649.776,4653.7429,6449.23341925,4522.89563019,0,0,0,0,332.672183333,0,0,775.623816667,3961.94071988,51,2025-03-20,50,1.061,0,08:30,08:40,6449.23341925,4522.89563019,0,0,0,1.061,4331.57647914
2025-03-20,53,08:50,6705.5335,5037.5027,6498.48262971,4801.16784617,0,0,0,0,278.005133333,0,0,839.583783333,3653.04612729,52,2025-03-20,51,1.043,0,08:40,08:50,6498.48262971,4801.16784617,0,0,0,1.043,3961.94071988
2025-03-20,54,09:00,6757.81,5180.8875,6631.13163485,5168.50966164,0,0,0,0,262.820416667,0,0,863.48125,3361.0234421,53,2025-03-20,52,1.036,0,08:50,09:00,6631.13163485,5168.50966164,0,0,0,1.036,3653.04612729
2025-03-20,55,09:10,6494.2004,5166.4978,6545.39528918,5440.99266287,0,0,0,0,221.283766667,0,0,861.082966667,3115.15259025,54,2025-03-20,53,1.0147,0,09:00,09:10,6545.39528918,5440.99266287,0,0,0,1.0147,3361.0234421
2025-03-20,56,09:20,6436.4392,5533.329,6454.2428252,5731.93226841,0,0,0,0,150.518366667,0,0,922.2215,2947.90996062,55,2025-03-20,54,0.9922,0,09:10,09:20,6454.2428252,5731.93226841,0,0,0,0.9922,3115.15259025
2025-03-20,57,09:30,6570.85,6107.7375,6458.68337907,6051.0513744,0,0,0,0,77.1854166667,0,0,1017.95625,2862.14838654,56,2025-03-20,55,0.97,0,09:20,09:30,6458.68337907,6051.0513744,0,0,0,0.97,2947.90996062
2025-03-20,58,09:40,6399.3635,6182.795,6467.96238359,6291.70823153,0,0,0,0,36.09475,0,0,1030.46583333,2822.04310877,57,2025-03-20,56,0.9422,0,09:30,09:40,6467.96238359,6291.70823153,0,0,0,0.9422,2862.14838654
2025-03-20,59,09:50,6445.9301,6198.386,6466.32539241,6498.26124101,0,0,0,0,41.25735,0,0,1033.06433333,2776.20160877,58,2025-03-20,57,0.9569,0,09:40,09:50,6466.32539241,6498.26124101,0,0,0,0.9569,2822.04310877
2025-03-20,60,10:00,6697.43,6426.1875,6464.86380847,6646.95762288,0,0,0,0,45.2070833333,0,0,1071.03125,2725.97151617,59,2025-03-20,58,0.9977,0,09:50,10:00,6464.86380847,6646.95762288,0,0,0,0.9977,2776.20160877
2025-03-20,61,10:10,6577.9956,6675.2481,6458.86727637,6827.70907636,0,0,0,16.20875,0,0,0,1112.54135,2740.55939117,60,2025-03-20,59,0.9919,0,10:00,10:10,6458.86727637,6827.70907636,0,0,0,0.9919,2725.97151617
2025-03-20,62,10:20,6445.2772,6774.004,6451.68741107,6972.09209024,0,0,0,54.7878,0,0,0,1129.00066667,2789.86841117,61,2025-03-20,60,0.9588,0,10:10,10:20,6451.68741107,6972.09209024,0,0,0,0.9588,2740.55939117
2025-03-20,63,10:30,6473.61,6879.075,6412.48828457,7076.79491748,0,0,0,67.5775,0,0,0,1146.5125,2850.68816117,62,2025-03-20,61,0.9549,0,10:20,10:30,6412.48828457,7076.79491748,0,0,0,0.9549,2789.86841117
2025-03-20,64,10:40,6454.2353,7268.5137,6341.24069731,7170.06521195,0,0,0,135.713066667,0,0,0,1211.41895,2972.82992117,63,2025-03-20,62,0.9839,0,10:30,10:40,6341.24069731,7170.06521195,0,0,0,0.9839,2850.68816117
2025-03-20,65,10:50,6352.336,7455.3554,6327.79742205,7367.23341313,0,0,0,183.836566667,0,0,0,1242.55923333,3138.28283117,64,2025-03-20,63,0.799,0,10:40,10:50,6327.79742205,7367.23341313,0,0,0,0.799,2972.82992117
2025-03-20,66,11:00,6279.9,7263,6400.2722595,7519.59328833,0,0,0,163.85,0,0,0,1210.5,3285.74783117,65,2025-03-20,64,0.5025,0,10:50,11:00,6400.2722595,7519.59328833,0,0,0,0.5025,3138.28283117
2025-03-20,67,11:10,6362.0436,7021.6679,6450.58758368,7544.283893,303.960228221,303.960228221,0,413.897611554,0,0,0,1170.27798333,3658.25568157,66,2025-03-20,65,0.4662,141.706258397,11:00,11:10,6450.58758368,7544.283893,0,303.960228221,303.960228221,0.4662,3285.74783117
2025-03-20,68,11:20,6393.8373,7052.8842,6403.64868193,7635.81342263,0,0,0,109.84115,0,0,0,1175.4807,3757.11271657,67,2025-03-20,66,0.5007,0,11:10,11:20,6403.64868193,7635.81342263,0,0,0,0.5007,3658.25568157
2025-03-20,69,11:30,6360.1,7317.5625,6339.7395738,7772.17700912,0,0,0,159.577083333,0,0,0,1219.59375,3900.73209157,68,2025-03-20,67,0.4827,0,11:20,11:30,6339.7395738,7772.17700912,0,0,0,0.4827,3757.11271657
2025-03-20,70,11:40,6424.0276,7505.6333,6388.17492169,7787.47122624,0,0,0,180.267616667,0,0,0,1250.93888333,4062.97294657,69,2025-03-20,68,0.4785,0,11:30,11:40,6388.17492169,7787.47122624,0,0,0,0.4785,3900.73209157
2025-03-20,71,11:50,6379.6216,7635.0323,6284.93684987,7762.52429834,587.068758589,587.068758589,0,796.303875256,0,0,0,1272.50538333,4779.6464343,70,2025-03-20,69,0.4662,273.691455254,11:40,11:50,6284.93684987,7762.52429834,0,587.068758589,587.068758589,0.4662,4062.97294657
2025-03-20,72,12:00,6168.32,7818.45,6065.31190161,7757.2725856,551.339886002,551.339886002,1.13686837722e-13,826.361552669,0,0,0,1303.075,5523.3718317,71,2025-03-20,70,0.4432,244.353837476,11:50,12:00,6065.31190161,7757.2725856,0,551.339886002,551.339886002,0.4432,4779.6464343
2025-03-20,73,12:10,5958.8116,8082.9395,6042.90603322,7775.52509355,544.563489945,479.312016667,65.2514732787,833.333333333,0,0,0,1347.15658333,6273.3718317,72,2025-03-20,71,0.4411,240.206955415,12:00,12:10,6042.90603322,7775.52509355,0,544.563489945,544.563489945,0.4411,5523.3718317
2025-03-20,74,12:20,5855.2299,8090.5707,6085.55798634,7875.57917661,534.996468288,460.776533333,74.2199349546,833.333333333,0,0,0,1348.42845,7023.3718317,73,2025-03-20,72,0.4551,243.476892718,12:10,12:20,6085.55798634,7875.57917661,0,534.996468288,534.996468288,0.4551,6273.3718317
2025-03-20,75,12:30,5883.66,7709.3625,6061.77155777,7957.80415808,517.32789995,517.32789995,0,821.61164995,0,0,0,1284.89375,7762.82231666,74,2025-03-20,73,0.4463,230.883441748,12:20,12:30,6061.77155777,7957.80415808,0,517.32789995,517.32789995,0.4463,7023.3718317
2025-03-20,76,12:40,6006.2794,7205.256,6032.34336491,7845.1066702,531.206115784,531.206115784,0,731.035549118,0,0,0,1200.876,8420.75431087,75,2025-03-20,74,0.4113,218.485075422,12:30,12:40,6032.34336491,7845.1066702,0,531.206115784,531.206115784,0.4113,7762.82231666
2025-03-20,77,12:50,6168.3548,7206.9442,6067.55437795,7728.4320479,0,0,0,173.098233333,0,0,0,1201.15736667,8576.54272087,76,2025-03-20,75,0.5682,0,12:40,12:50,6067.55437795,7728.4320479,0,0,0,0.5682,8420.75431087
2025-03-20,78,13:00,6351.38,7525.8,6209.54209604,7687.47267267,0,0,0,195.736666667,0,0,0,1254.3,8752.70572087,77,2025-03-20,76,0.8279,0,12:50,13:00,6209.54209604,7687.47267267,0,0,0,0.8279,8576.54272087
2025-03-20,79,13:10,6510.6216,7339.075,6329.96941772,7605.57522785,0,0,0,138.075566667,0,0,0,1223.17916667,8876.97373087,78,2025-03-20,77,0.8636,0,13:00,13:10,6329.96941772,7605.57522785,0,0,0,0.8636,8752.70572087
2025-03-20,80,13:20,6358.8315,6900.6338,6321.12150381,7402.28620856,0,0,0,90.3003833333,0,0,0,1150.10563333,8958.24407587,79,2025-03-20,78,0.8416,0,13:10,13:20,6321.12150381,7402.28620856,0,0,0,0.8416,8876.97373087
2025-03-20,81,13:30,6039.3,6610.0125,6262.20787193,7203.472671,0,0,0,95.11875,0,0,0,1101.66875,9043.85095087,80,2025-03-20,79,0.8618,0,13:20,13:30,6262.20787193,7203.472671,0,0,0,0.8618,8958.24407587
2025-03-20,82,13:40,6028.9848,6642.1795,6333.99305309,7145.50364283,0,0,0,102.199116667,0,0,0,1107.02991667,9135.83015587,81,2025-03-20,80,0.8623,0,13:30,13:40,6333.99305309,7145.50364283,0,0,0,0.8623,9043.85095087
2025-03-20,83,13:50,6177.7813,6806.5377,6291.65135061,7036.92290296,0,0,0,104.792733333,0,0,0,1134.42295,9230.14361587,82,2025-03-20,81,0.9026,0,13:40,13:50,6291.65135061,7036.92290296,0,0,0,0.9026,9135.83015587
2025-03-20,84,14:00,6280.02,6799.95,6166.16682715,6738.13315224,0,0,0,86.655,0,0,0,1133.325,9308.13311587,83,2025-03-20,82,0.9754,0,13:50,14:00,6166.16682715,6738.13315224,0,0,0,0.9754,9230.14361587
2025-03-20,85,14:10,6283.4823,6453.6137,6238.00021623,6483.11210005,0,0,0,28.3552333333,0,0,0,1075.60228333,9333.65282587,84,2025-03-20,83,1.0002,0,14:00,14:10,6238.00021623,6483.11210005,0,0,0,1.0002,9308.13311587
2025-03-20,86,14:20,6314.912,6203.5886,6246.21717643,6304.71233213,0,0,0,0,18.5539,0,0,1033.93143333,9313.03738142,85,2025-03-20,84,0.9978,0,14:10,14:20,6246.21717643,6304.71233213,0,0,0,0.9978,9333.65282587
2025-03-20,87,14:30,6352.79,6115.6875,6180.07711013,6035.96055714,0,0,0,0,39.5170833333,0,0,1019.28125,9269.12951105,86,2025-03-20,85,1.0271,0,14:20,14:30,6180.07711013,6035.96055714,0,0,0,1.0271,9313.03738142
