t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
1,load,-15.7026002421,-303.323238535,-129.522025839,-15.7113658703,109.345658489,249.385006173,334
1,pv,0,0,0,0,0,0,334
1,net,-15.7026002421,-303.323238535,-129.522025839,-15.7113658703,109.345658489,249.385006173,334
2,load,-13.3575874335,-328.253579684,-115.982974325,-12.7200858398,97.9933094058,309.109896139,334
2,pv,0,0,0,0,0,0,334
2,net,-13.3575874335,-328.253579684,-115.982974325,-12.7200858398,97.9933094058,309.109896139,334
3,load,-12.1371716497,-355.504837641,-134.314443248,-7.3313292583,104.745806938,288.593241229,334
3,pv,0,0,0,0,0,0,334
3,net,-12.1371716497,-355.504837641,-134.314443248,-7.3313292583,104.745806938,288.593241229,334
4,load,-11.7065297452,-270.46876408,-106.999130987,-14.4617073307,90.380941769,244.789220067,334
4,pv,0,0,0,0,0,0,334
4,net,-11.7065297452,-270.46876408,-106.999130987,-14.4617073307,90.380941769,244.789220067,334
5,load,-12.0791565062,-305.455297341,-122.299829426,-2.99163871314,95.0027251982,257.684956298,334
5,pv,0,0,0,0,0,0,334
5,net,-12.0791565062,-305.455297341,-122.299829426,-2.99163871314,95.0027251982,257.684956298,334
6,load,-14.6767351434,-369.708617086,-129.799587013,-20.9011580319,117.654757238,327.239845349,334
6,pv,0,0,0,0,0,0,334
6,net,-14.6767351434,-369.708617086,-129.799587013,-20.9011580319,117.654757238,327.239845349,334
7,load,-11.9892600365,-323.43525028,-123.718158323,-8.11368882082,96.1260889713,287.243037505,334
7,pv,0,0,0,0,0,0,334
7,net,-11.9892600365,-323.43525028,-123.718158323,-8.11368882082,96.1260889713,287.243037505,334
8,load,-11.0738762336,-330.154138774,-117.213323287,-10.1787430765,101.731455479,265.114585585,334
8,pv,0,0,0,0,0,0,334
8,net,-11.0738762336,-330.154138774,-117.213323287,-10.1787430765,101.731455479,265.114585585,334
9,load,-10.8307870623,-345.476774854,-130.180585084,-8.19451606387,103.976963215,291.907159343,334
9,pv,0,0,0,0,0,0,334
9,net,-10.8307870623,-345.476774854,-130.180585084,-8.19451606387,103.976963215,291.907159343,334
10,load,-10.3108326559,-277.211986292,-126.13238728,-6.60789071403,89.7073124201,286.114674154,334
10,pv,0,0,0,0,0,0,334
10,net,-10.3108326559,-277.211986292,-126.13238728,-6.60789071403,89.7073124201,286.114674154,334
11,load,-9.17160915286,-285.908304486,-126.276102291,-0.733651467225,94.0111293673,281.470980781,334
11,pv,0,0,0,0,0,0,334
11,net,-9.17160915286,-285.908304486,-126.276102291,-0.733651467225,94.0111293673,281.470980781,334
12,load,-10.2924722444,-333.665609965,-134.104095629,-15.6204057005,113.729107369,309.863167886,334
12,pv,0,0,0,0,0,0,334
12,net,-10.2924722444,-333.665609965,-134.104095629,-15.6204057005,113.729107369,309.863167886,334
13,load,-7.17073283593,-311.118130006,-126.176774849,10.2076362997,109.530841047,266.182445494,334
13,pv,0,0,0,0,0,0,334
13,net,-7.17073283593,-311.118130006,-126.176774849,10.2076362997,109.530841047,266.182445494,334
14,load,-6.48496018947,-299.991807871,-117.143544002,-3.38567112596,100.508557533,291.485582071,334
14,pv,0,0,0,0,0,0,334
14,net,-6.48496018947,-299.991807871,-117.143544002,-3.38567112596,100.508557533,291.485582071,334
15,load,-12.2039785785,-304.447022521,-113.531662967,-5.88858743474,83.6706821775,286.807594931,334
15,pv,0,0,0,0,0,0,334
15,net,-12.2039785785,-304.447022521,-113.531662967,-5.88858743474,83.6706821775,286.807594931,334
16,load,-10.2615504091,-297.215414802,-113.368141707,-2.48122182075,100.842076416,237.794464098,334
16,pv,0,0,0,0,0,0,334
16,net,-10.2615504091,-297.215414802,-113.368141707,-2.48122182075,100.842076416,237.794464098,334
17,load,-11.2551928636,-279.376459427,-115.917405627,-5.50154234197,89.7439571582,262.507112077,334
17,pv,0,0,0,0,0,0,334
17,net,-11.2551928636,-279.376459427,-115.917405627,-5.50154234197,89.7439571582,262.507112077,334
18,load,-15.4782300132,-331.637511144,-127.845464485,-25.534377957,109.564695017,292.07492151,334
18,pv,0,0,0,0,0,0,334
18,net,-15.4782300132,-331.637511144,-127.845464485,-25.534377957,109.564695017,292.07492151,334
19,load,-11.7288345965,-298.767084138,-117.350242149,-13.4884845948,91.5870495967,273.780668765,334
19,pv,0.000191616766467,0,0,0,0,0.001535,334
19,net,-11.7290262133,-298.767084138,-117.350542149,-13.4884845948,91.5870495967,273.780668765,334
20,load,-9.22286607153,-296.631220072,-100.898648854,-17.9933584801,99.6875742785,246.607031098,334
20,pv,4.34131736527e-05,0,0,0,0,0,334
20,net,-9.2229094847,-296.631220072,-100.898648854,-17.9933584801,99.6875742785,246.607031098,334
21,load,-9.32266757394,-290.140816175,-115.406065525,-15.2391930008,105.255145009,263.228124711,334
21,pv,0,0,0,0,0,0,334
21,net,-9.32266757394,-290.140816175,-115.406065525,-15.2391930008,105.255145009,263.228124711,334
22,load,-8.57134387628,-290.615981201,-125.342867314,-6.91947487171,105.533697489,295.999804817,334
22,pv,0.00334071856287,0,0,0,0.0012,0.02144,334
22,net,-8.57468459484,-290.616436201,-125.361042314,-6.91947487171,105.533697489,295.994064817,334
23,load,-7.99313979862,-294.78501212,-98.6991770721,-12.5009532709,86.8080727402,278.261791544,334
23,pv,0.00128622754491,0,0,0,0,0.0114,334
23,net,-7.99442602617,-294.78501212,-98.7000020721,-12.5009532709,86.8080727402,278.261791544,334
24,load,-9.63400750268,-313.188320699,-132.060636334,0.0514107816621,117.691516385,253.38199183,334
24,pv,0,0,0,0,0,0,334
24,net,-9.63400750268,-313.188320699,-132.060636334,0.0514107816621,117.691516385,253.38199183,334
25,load,-10.3933334912,-271.361336388,-106.966700756,-5.02367803935,90.4090144839,242.858145874,334
25,pv,0.0469991017964,0,0,0,0.016775,0.298555,334
25,net,-10.440332593,-271.365116388,-106.966700756,-5.02367803935,90.2383144839,242.858145874,334
26,load,-12.5311431752,-274.678559027,-101.685821272,-8.2837773459,85.3490912891,231.765329182,334
26,pv,0.0183646706587,0,0,0,0.000825,0.159045,334
26,net,-12.5495078459,-274.818504027,-101.685821272,-8.2837773459,85.3490912891,231.765329182,334
27,load,-13.1477282369,-331.545856103,-125.960993434,-9.44069595881,97.6851931566,288.558485844,334
27,pv,0,0,0,0,0,0,334
27,net,-13.1477282369,-331.545856103,-125.960993434,-9.44069595881,97.6851931566,288.558485844,334
28,load,-9.37528134128,-280.403570464,-116.887220769,-7.95188558421,109.322767566,253.307077069,334
28,pv,0.65498502994,0,0,0,0.2337,4.158315,334
28,net,-10.0302663712,-280.415435464,-117.665681262,-8.00933650907,109.321142566,252.436627069,334
29,load,-6.93754866554,-269.609907237,-138.771071808,5.98161530789,101.786776152,274.405700171,334
