month,total_cost_yuan,emergency_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,reversal_slots,down_slots,days,reversal_ratio_all_slots,reversal_ratio_down_slots
2025-02,1199868.17531,772.126186281,50114.2320847,80578.020426,130692.252511,346,1118,28,0.0858134920635,0.309481216458
2025-03,1143529.93875,775.075826962,85288.0753681,82062.3334866,167350.408855,304,733,31,0.0681003584229,0.414733969986
2025-04,939363.205799,0,67527.5291154,43499.1042609,111026.633376,247,567,30,0.0571759259259,0.435626102293
2025-05,959307.871634,4619.46759792,56845.1218059,23404.1640724,80249.2858783,199,516,31,0.0445788530466,0.385658914729
2025-06,1300380.41208,5447.08807046,85018.8014033,52305.0801544,137323.881558,272,661,30,0.062962962963,0.411497730711
2025-07,1476273.70201,2192.55580321,107130.247995,75122.0165854,182252.264581,326,807,31,0.0730286738351,0.403965303594
2025-08,1260046.803,2254.74804035,53080.0376176,32281.063818,85361.1014356,184,599,31,0.0412186379928,0.307178631052
2025-09,1109226.54392,1004.73147561,73810.1287901,39638.1940026,113448.322793,199,614,30,0.0460648148148,0.324104234528
2025-10,1119307.97018,871.401332484,47595.4292973,42987.5529185,90582.9822157,191,643,31,0.0427867383513,0.297045101089
2025-11,1254171.91284,57.8864166667,52262.5845946,19380.8664792,71643.4510737,215,613,30,0.0497685185185,0.350734094617
2025-12,1677567.83228,3546.55394946,87237.6502817,30861.5378079,118099.18809,174,816,31,0.0389784946237,0.213235294118
