date,t,time_end,L_actual_kw,P_act_kw,L_fc_kw,P_fc_kw,x_plan_kwh,y_used_kwh,r_purchase_waste_kwh,u_charge_kwh,v_discharge_kwh,e_emergency_kwh,w_pv_waste_kwh,g_pv_used_kwh,E_end_kwh,physical_slot0,decision_date,plan_slot0,price_actual,total_cost_yuan,period_start,period_end,L_commit_fc_kw,P_commit_fc_kw,forecast_issue_hour,x0_kwh,x3_kwh,price_fc,E_start_kwh
2025-03-20,1,00:10,3299.0689,0,3531.2899584,0,1398.83204132,1383.17815,15.6538913153,833.333333333,0,0,0,0,10630.4479097,0,2025-03-19,143,0.4487,627.655936938,00:00,00:10,3392.99224789,0,0,1398.83204132,1398.83204132,0.433934543876,9880.44790968
2025-03-20,2,00:20,3421.881,0,3499.93466464,0,583.322444106,583.322444106,0,13.0089441062,0,0,0,0,10642.1559594,1,2025-03-20,0,0.4373,255.086904808,00:10,00:20,3499.93466464,0,0,583.322444106,583.322444106,0.431182914792,10630.4479097
2025-03-20,3,00:30,3683.11,0,3498.80959298,0,583.134932164,583.134932164,0,0,30.7167345031,0,0,0,10608.0262544,2,2025-03-20,1,0.4311,251.389469256,00:20,00:30,3498.80959298,0,0,583.134932164,583.134932164,0.433714153598,10642.1559594
2025-03-20,4,00:40,3476.737,0,3518.74917571,0,586.458195952,586.458195952,0,7.00202928557,0,0,0,0,10614.3280807,3,2025-03-20,2,0.4344,254.757440322,00:30,00:40,3518.74917571,0,0,586.458195952,586.458195952,0.447398331519,10608.0262544
2025-03-20,5,00:50,3302.6695,0,3494.03860249,0,582.339767082,582.339767082,0,31.8948504153,0,0,0,0,10643.0334461,4,2025-03-20,3,0.4238,246.795593289,00:40,00:50,3494.03860249,0,0,582.339767082,582.339767082,0.44889126615,10614.3280807
2025-03-20,6,01:00,3426.94,0,3451.38307907,0,575.230513178,575.230513178,0,4.07384651125,0,0,0,0,10646.699908,5,2025-03-20,4,0.4296,247.119028461,00:50,01:00,3451.38307907,0,0,575.230513178,575.230513178,0.438201434776,10643.0334461
2025-03-20,7,01:10,3609.5343,0,3429.27421883,0,571.545703139,571.545703139,0,0,30.0433468613,0,0,0,10613.3184115,6,2025-03-20,5,0.4989,285.144151296,01:00,01:10,3429.27421883,0,0,571.545703139,571.545703139,0.424185577165,10646.699908
2025-03-20,8,01:20,3668.9025,0,3401.49505007,0,566.915841678,566.915841678,0,0,44.5679083219,0,0,0,10563.7985133,7,2025-03-20,6,0.5083,288.163322325,01:10,01:20,3401.49505007,0,0,566.915841678,566.915841678,0.417647825252,10613.3184115
2025-03-20,9,01:30,3589.3,0,3348.13056414,0,558.021760689,558.021760689,0,0,40.1949059774,0,0,0,10519.1375067,8,2025-03-20,7,0.4468,249.324122676,01:20,01:30,3348.13056414,0,0,558.021760689,558.021760689,0.421745271103,10563.7985133
2025-03-20,10,01:40,3503.6157,0,3398.26597779,0,566.377662965,566.377662965,0,0,17.5582870351,0,0,0,10499.6282989,9,2025-03-20,8,0.4284,242.636190814,01:30,01:40,3398.26597779,0,0,566.377662965,566.377662965,0.428073336311,10519.1375067
2025-03-20,11,01:50,3545.9703,0,3511.69760686,0,585.282934477,585.282934477,0,0,5.71211552256,0,0,0,10493.2815038,10,2025-03-20,9,0.4436,259.631509734,01:40,01:50,3511.69760686,0,0,585.282934477,585.282934477,0.441832748981,10499.6282989
2025-03-20,12,02:00,3590.66,0,3584.16323018,0,597.360538363,597.360538363,0,0,1.08279497046,0,0,0,10492.0783983,11,2025-03-20,10,0.454,271.201684417,01:50,02:00,3584.16323018,0,0,597.360538363,597.360538363,0.439061272511,10493.2815038
2025-03-20,13,02:10,3395.9017,0,3515.21549748,0,797.310079462,797.310079462,0,231.326462796,0,0,0,0,10700.2722148,12,2025-03-20,11,0.4404,351.135358995,02:00,02:10,3515.21549748,0,0,797.310079462,797.310079462,0.40704326253,10492.0783983
2025-03-20,14,02:20,3276.7246,0,3444.50718088,0,574.084530147,574.084530147,0,27.9637634799,0,0,0,0,10725.439602,13,2025-03-20,12,0.4405,252.88423553,02:10,02:20,3444.50718088,0,0,574.084530147,574.084530147,0.419605884533,10700.2722148
2025-03-20,15,02:30,3394.28,0,3468.70453682,0,578.117422803,578.117422803,0,12.4040894698,0,0,0,0,10736.6032825,14,2025-03-20,13,0.4545,262.754368664,02:20,02:30,3468.70453682,0,0,578.117422803,578.117422803,0.459755444951,10725.439602
2025-03-20,16,02:40,3587.5594,0,3563.78515039,0,593.964191732,593.964191732,0,0,3.96237493436,0,0,0,10732.2006437,15,2025-03-20,14,0.4389,260.690883751,02:30,02:40,3563.78515039,0,0,593.964191732,593.964191732,0.44693858651,10736.6032825
2025-03-20,17,02:50,3605.7268,0,3636.29688806,0,606.049481344,606.049481344,0,5.0950146773,0,0,0,0,10736.7861569,16,2025-03-20,15,0.3868,234.419939384,02:40,02:50,3636.29688806,0,0,606.049481344,606.049481344,0.430574171584,10732.2006437
2025-03-20,18,03:00,3522.79,0,3606.6133392,0,601.102223201,601.102223201,0,13.970556534,0,0,0,0,10749.3596578,17,2025-03-20,16,0.3634,218.440547911,02:50,03:00,3606.6133392,0,0,601.102223201,601.102223201,0.43108129103,10736.7861569
2025-03-20,19,03:10,3631.2618,0,3509.34930979,0,584.891551632,584.891551632,0,0,20.3187483679,0,0,0,10726.7832707,18,2025-03-20,17,0.4416,258.288109201,03:00,03:10,3509.34930979,0,0,584.891551632,584.891551632,0.425178671696,10749.3596578
2025-03-20,20,03:20,3731.3543,0,3461.59895263,0,576.933158772,576.933158772,0,0,44.9592245612,0,0,0,10676.8285767,19,2025-03-20,18,0.4839,279.17795553,03:10,03:20,3461.59895263,0,0,576.933158772,576.933158772,0.446287643186,10726.7832707
2025-03-20,21,03:30,3721.01,0,3518.8772618,0,586.479543633,586.479543633,0,0,33.6887897008,0,0,0,10639.3965882,20,2025-03-20,19,0.4574,268.255743258,03:20,03:30,3518.8772618,0,0,586.479543633,586.479543633,0.480630264488,10676.8285767
2025-03-20,22,03:40,3699.7385,0,3633.24467403,0,605.540779006,605.540779006,0,0,11.0823043276,0,0,0,10627.0829167,21,2025-03-20,20,0.4575,277.034906395,03:30,03:40,3633.24467403,0,0,605.540779006,605.540779006,0.459338050143,10639.3965882
2025-03-20,23,03:50,3674.7825,0,3581.69805416,0,596.949675694,596.949675694,0,0,15.5140743059,0,0,0,10609.8450564,22,2025-03-20,21,0.4629,276.328004879,03:40,03:50,3581.69805416,0,0,596.949675694,596.949675694,0.438358605235,10627.0829167
2025-03-20,24,04:00,3623.58,0,3506.88798184,0,584.481330306,584.481330306,0,0,19.4486696938,0,0,0,10588.2354234,23,2025-03-20,22,0.4426,258.691436794,03:50,04:00,3506.88798184,0,0,584.481330306,584.481330306,0.444933184155,10609.8450564
2025-03-20,25,04:10,3538.7697,0.0019,3644.44570593,0,607.407617655,607.407617655,0,17.6129843222,0,0,0,0.000316666666667,10604.0871092,24,2025-03-20,23,0.4023,244.360084583,04:00,04:10,3644.44570593,0,0,607.407617655,607.407617655,0.474404462061,10588.2354234
2025-03-20,26,04:20,3488.7843,0,3669.27613974,0,611.54602329,611.54602329,0,30.0819732904,0,0,0,0,10631.1608852,25,2025-03-20,24,0.4075,249.205004491,04:10,04:20,3669.27613974,0,0,611.54602329,611.54602329,0.463401399757,10604.0871092
2025-03-20,27,04:30,3513.51,0,3535.67713268,0,589.279522113,589.279522113,0,3.69452211258,0,0,0,0,10634.4859551,26,2025-03-20,25,0.452,266.354343995,04:20,04:30,3535.67713268,0,0,589.279522113,589.279522113,0.423172496117,10631.1608852
2025-03-20,28,04:40,3598.3779,0.0271,3594.46381983,0,599.077303305,599.077303305,0,0,0.647830028003,0,0,0.00451666666667,10633.766144,27,2025-03-20,26,0.4646,278.331315116,04:30,04:40,3594.46381983,0,0,599.077303305,599.077303305,0.433181334041,10634.4859551
2025-03-20,29,04:50,3700.4359,0,3666.64673291,0,611.107788819,611.107788819,0,0,5.63152784772,0,0,0,10627.5088908,28,2025-03-20,27,0.4561,278.72626248,04:40,04:50,3666.64673291,0,0,611.107788819,611.107788819,0.443479456869,10633.766144
2025-03-20,30,05:00,3753.57,0,3653.615477,0,608.935912833,608.935912833,0,0,16.6590871666,0,0,0,10608.998794,29,2025-03-20,28,0.4379,266.65303623,04:50,05:00,3653.615477,0,0,608.935912833,608.935912833,0.433878039271,10627.5088908
2025-03-20,31,05:10,3716.9811,0.3776,3597.90613459,0,599.651022431,599.651022431,0,0,19.7828942352,0,0,0.0629333333333,10587.0178004,30,2025-03-20,29,0.4177,250.47423207,05:00,05:10,3597.90613459,0,0,599.651022431,599.651022431,0.430189764154,10608.998794
2025-03-20,32,05:20,3707.0664,0,3600.12087494,0,600.020145823,600.020145823,0,0,17.8242541767,0,0,0,10567.2130735,31,2025-03-20,30,0.464,278.409347662,05:10,05:20,3600.12087494,0,0,600.020145823,600.020145823,0.454121454199,10587.0178004
2025-03-20,33,05:30,3642.69,0,3637.29678099,0,606.216130165,606.216130165,0,0,0.898869835381,0,0,0,10566.2143292,32,2025-03-20,31,0.4802,291.104985705,05:20,05:30,3637.29678099,0,0,606.216130165,606.216130165,0.46550797937,10567.2130735
2025-03-20,34,05:40,3457.8398,5.2594,3626.20425582,0,604.367375971,604.367375971,0,28.9373093041,0,0,0,0.876566666667,10592.2579076,33,2025-03-20,32,0.352,212.737316342,05:30,05:40,3626.20425582,0,0,604.367375971,604.367375971,0.430600231463,10566.2143292
2025-03-20,35,05:50,4028.7787,0,4140.60720903,0,690.101201505,690.101201505,0,18.6380848383,0,0,0,0,10609.032184,34,2025-03-20,33,0.5794,399.844636152,05:40,05:50,4140.60720903,0,0,690.101201505,690.101201505,0.622012217043,10592.2579076
2025-03-20,36,06:00,4962.09,0,4775.18290744,0,0,0,0,0,827.015,0,0,0,9690.12662841,35,2025-03-20,34,1.0185,0,05:50,06:00,4775.18290744,0,0,0,0,0.961466832047,10609.032184
2025-03-20,37,06:10,4905.1198,153.4202,4755.62913143,141.635860783,0,0,0,0,791.949933333,0,0,25.5700333333,8810.18225804,36,2025-03-20,35,0.995,0,06:00,06:10,4755.62913143,141.635860783,0,0,0,0.995293236064,9690.12662841
