month,total_cost_yuan,emergency_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,reversal_slots,down_slots,days,reversal_ratio_all_slots,reversal_ratio_down_slots
2025-02,1275049.72476,4489.50938555,0,0,0,0,0,28,0,0
2025-03,1151833.08136,11986.0998256,0,0,0,0,0,31,0,0
2025-04,958199.866501,12367.5947108,0,0,0,0,0,30,0,0
2025-05,955111.825898,8006.18500342,0,0,0,0,0,31,0,0
2025-06,1519288.84618,36499.37064,0,0,0,0,0,30,0,0
2025-07,1731886.39593,17962.3536463,0,0,0,0,0,31,0,0
2025-08,1456559.22418,11867.3194575,0,0,0,0,0,31,0,0
2025-09,1169153.67653,14137.963005,0,0,0,0,0,30,0,0
2025-10,1125939.35967,1647.573093,0,0,0,0,0,31,0,0
2025-11,1303488.69211,766.769336098,0,0,0,0,0,30,0,0
2025-12,1948684.24802,16127.5293944,0,0,0,0,0,31,0,0
