month,total_cost_yuan,emergency_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,reversal_slots,down_slots,days,reversal_ratio_all_slots,reversal_ratio_down_slots
2025-02,1258805.43608,610.498651775,50132.4080072,80095.9442797,130228.352287,372,1096,28,0.0922619047619,0.339416058394
2025-03,1134679.82162,771.839229117,85316.5406767,82494.9882453,167811.528922,308,735,31,0.0689964157706,0.419047619048
2025-04,912506.598273,0,67359.8021336,44078.0144075,111437.816541,244,559,30,0.0564814814815,0.436493738819
2025-05,940392.739502,4505.62489706,56142.8082016,21172.7944715,77315.6026731,212,510,31,0.0474910394265,0.41568627451
2025-06,1380049.12286,5168.58193151,74939.6424614,49737.6783819,124677.320843,269,642,30,0.0622685185185,0.419003115265
2025-07,1692763.11911,1660.07523913,96067.814714,70384.4490421,166452.263756,331,809,31,0.0741487455197,0.409147095179
2025-08,1410174.42844,1915.53548788,48740.2096996,26997.5722978,75737.7819975,206,627,31,0.046146953405,0.328548644338
2025-09,1118912.54569,847.510153092,73327.313207,38446.9357385,111774.248946,213,617,30,0.0493055555556,0.345218800648
2025-10,1107519.3602,389.849979194,47775.9123307,42351.2467071,90127.1590378,199,646,31,0.0445788530466,0.308049535604
2025-11,1300403.28032,101.267916667,51622.7917174,19611.1351131,71233.9268306,213,651,30,0.0493055555556,0.327188940092
2025-12,1901919.28122,4977.70906725,88060.3943846,30638.1393345,118698.533719,176,791,31,0.0394265232975,0.222503160556
