problem,variant,issue_hours,passed,formal_period_cost_yuan,calendar_year_cost_yuan,final_soc_kwh,max_balance_error_kwh,negative_flow,seconds,note
Q3,base_0,0,True,13893004.628097568,15967411.400135264,6000.0,2.2737367544323206e-13,0,5.238936185836792,通过物理核验
Q3,only_6,0+6,True,13614459.436654327,15572997.124208402,6000.0,2.2737367544323206e-13,0,35.04230260848999,通过物理核验
Q3,only_12,0+12,True,13449334.135549508,15409257.259603512,6000.0,2.2737367544323206e-13,0,17.93976140022278,通过物理核验
Q3,only_18,0+18,True,13460892.180953555,15379314.69618335,6000.0,2.2737367544323206e-13,0,12.231088399887085,通过物理核验
Q3,full,0+6+12+18,True,13439044.36781069,15251117.16585094,6000.0,2.2737367544323206e-13,0,87.7065680027008,通过物理核验
Q3,cum_0612,0+6+12,True,13502211.170124501,15408119.529881304,6000.0,2.2737367544323206e-13,0,81.93272089958191,通过物理核验
Q3,drop_6,0+12+18,True,13371325.056370134,15236114.054522246,6000.0,2.2737367544323206e-13,0,27.295141220092773,通过物理核验
Q3,drop_12,0+6+18,True,13463094.719875094,15295011.3026122,6000.0,2.2737367544323206e-13,0,46.21080732345581,通过物理核验
Q4-3,base_0,0,True,14630594.79638686,16991396.58464127,6000.0,2.2737367544323206e-13,0,5.175776481628418,通过物理核验
Q4-3,only_6,0+6,True,14330087.449692339,16549046.87545968,6000.0,2.2737367544323206e-13,0,39.674519300460815,通过物理核验
Q4-3,only_12,0+12,True,14164446.47423735,16396428.44248485,6000.0,2.2737367544323206e-13,0,20.689862966537476,通过物理核验
Q4-3,only_18,0+18,True,14183662.90143197,16372976.73535523,6000.0,2.2737367544323206e-13,0,12.80208444595337,通过物理核验
Q4-3,full,0+6+12+18,True,14158125.73330921,16218310.911334768,6000.0,2.2737367544323206e-13,0,81.63011288642883,通过物理核验
Q4-3,cum_0612,0+6+12,True,14200388.314533925,16361806.200593226,6000.0,2.2737367544323206e-13,0,69.9210615158081,通过物理核验
Q4-3,drop_6,0+12+18,True,14098901.91671118,16228758.958030902,6000.0,2.2737367544323206e-13,0,26.562281131744385,通过物理核验
Q4-3,drop_12,0+6+18,True,14182371.247266915,16263512.777048707,6000.0,2.2737367544323206e-13,0,44.05811142921448,通过物理核验
