时间,时间标签,时段 t,时段区间,c_t (元/kWh),L_t (kW),P_t^fc (kW),净负荷 (kW),x_t (kW),u_t (kW),v_t (kW),w_t (kW),x_t·Δt (kWh),E_t (kWh)
0,00:00,1,00:00-00:10,0.4248,3439.8466,0.0,3439.8466,8439.8466,5000.0,0.0,0.0,1406.6411,6000.0
1,00:10,2,00:10-00:20,0.4245,3437.9792,0.0,3437.9792,8437.9792,5000.0,0.0,0.0,1406.3299,6750.0
2,00:20,3,00:20-00:30,0.4269,3444.3031,0.0,3444.3031,8444.3031,5000.0,0.0,0.0,1407.3839,7500.0
3,00:30,4,00:30-00:40,0.4272,3454.4437,0.0,3454.4437,8454.4437,5000.0,0.0,0.0,1409.074,8250.0
4,00:40,5,00:40-00:50,0.4271,3458.8273,0.0,3458.8273,8458.8273,5000.0,0.0,0.0,1409.8046,9000.0
5,00:50,6,00:50-01:00,0.4285,3459.8401,0.0,3459.8401,3459.8401,0.0,0.0,0.0,576.64,9750.0
6,01:00,7,01:00-01:10,0.4311,3467.1582,0.0,3467.1582,3467.1582,0.0,0.0,0.0,577.8597,9750.0
7,01:10,8,01:10-01:20,0.4302,3467.9632,0.0,3467.9632,3467.9632,0.0,0.0,0.0,577.9939,9750.0
8,01:20,9,01:20-01:30,0.4279,3466.9683,0.0,3466.9683,5466.9683,2000.0,0.0,0.0,911.1614,9750.0
9,01:30,10,01:30-01:40,0.4312,3482.4927,0.0,3482.4927,3482.4927,0.0,0.0,0.0,580.4154,10050.0
10,01:40,11,01:40-01:50,0.4333,3495.0841,0.0,3495.0841,3495.0841,0.0,0.0,0.0,582.514,10050.0
11,01:50,12,01:50-02:00,0.4311,3498.4443,0.0,3498.4443,3498.4443,0.0,0.0,0.0,583.074,10050.0
12,02:00,13,02:00-02:10,0.4293,3505.2295,0.0,3505.2295,3505.2295,0.0,0.0,0.0,584.2049,10050.0
13,02:10,14,02:10-02:20,0.4324,3512.6387,0.0,3512.6387,3512.6387,0.0,0.0,0.0,585.4398,10050.0
14,02:20,15,02:20-02:30,0.4367,3516.8685,0.0,3516.8685,3516.8685,0.0,0.0,0.0,586.1447,10050.0
15,02:30,16,02:30-02:40,0.4348,3517.9246,0.0,3517.9246,3517.9246,0.0,0.0,0.0,586.3208,10050.0
16,02:40,17,02:40-02:50,0.4335,3518.5518,0.0,3518.5518,3518.5518,0.0,0.0,0.0,586.4253,10050.0
17,02:50,18,02:50-03:00,0.4357,3521.0976,0.0,3521.0976,3521.0976,0.0,0.0,0.0,586.8496,10050.0
18,03:00,19,03:00-03:10,0.4374,3526.9261,0.0,3526.9261,3526.9261,0.0,0.0,0.0,587.821,10050.0
19,03:10,20,03:10-03:20,0.4371,3537.2854,0.0,3537.2854,3537.2854,0.0,0.0,0.0,589.5476,10050.0
20,03:20,21,03:20-03:30,0.4356,3544.8808,0.0,3544.8808,3544.8808,0.0,0.0,0.0,590.8135,10050.0
21,03:30,22,03:30-03:40,0.4353,3541.2787,0.0,3541.2787,3541.2787,0.0,0.0,0.0,590.2131,10050.0
22,03:40,23,03:40-03:50,0.436,3546.3976,0.0,3546.3976,3546.3976,0.0,0.0,0.0,591.0663,10050.0
23,03:50,24,03:50-04:00,0.4378,3560.207,0.0,3560.207,3560.207,0.0,0.0,0.0,593.3678,10050.0
24,04:00,25,04:00-04:10,0.4401,3561.9581,0.0,3561.9581,3561.9581,0.0,0.0,0.0,593.6597,10050.0
25,04:10,26,04:10-04:20,0.4389,3556.7183,0.0,3556.7183,3556.7183,0.0,0.0,0.0,592.7864,10050.0
26,04:20,27,04:20-04:30,0.4364,3560.0272,0.0,3560.0272,3560.0272,0.0,0.0,0.0,593.3379,10050.0
27,04:30,28,04:30-04:40,0.4393,3580.654,0.5994,3580.0546,3580.0546,0.0,0.0,0.0,596.6758,10050.0
28,04:40,29,04:40-04:50,0.4422,3586.916,0.2345,3586.6815,3586.6815,0.0,0.0,0.0,597.7802,10050.0
