date,t,time_end,actual_pv_kw
2025-01-12,41,06:50,2.2026
2025-01-12,103,17:10,0.7207
2025-01-13,38,06:20,0.0011
2025-01-13,106,17:40,0.1366
2025-01-13,109,18:10,0.0098
2025-01-15,32,05:20,0.0021
2025-01-15,35,05:50,0.0289
2025-01-15,112,18:40,0.002
2025-01-25,29,04:50,0.001
2025-01-25,115,19:10,0.0011
2025-02-07,31,05:10,0.0027
2025-02-11,28,04:40,0.001
2025-02-12,116,19:20,0.0011
2025-02-19,39,06:30,6.8625
2025-02-19,105,17:30,7.5
2025-03-03,26,04:20,0.0011
2025-03-03,118,19:40,0.0012
2025-03-16,119,19:50,0.001
2025-03-17,25,04:10,0.0015
2025-03-23,36,06:00,11.625
