problem,q,total_cost_yuan,relative_cost_change_pct,emergency_kwh
问题二,0.5,14854881.1064,7.142210594485836,498027.356131
问题二,0.55,14690525.2327,5.956778580168375,450455.318402
问题二,0.6,14419076.7643,3.9989312733775333,370474.977783
问题二,0.65,14202755.2663,2.438692364104467,305685.159382
问题二,0.7,14018732.6107,1.1114118574999974,239414.116783
问题二,0.75,13902564.3462,0.2735374531001875,183105.119811
问题二,0.8,13864639.3648,0.0,136727.006914
问题二,0.85,13910230.2626,0.32882858760644135,89217.1616149
问题二,0.9,14046611.4039,1.3124902445136462,66877.5190514
问题三,0.5,13533398.7856,0.7020917203463772,102006.794688
问题三,0.55,13514310.0487,0.5600523284255009,94396.1973377
问题三,0.6,13442476.527,0.025538714703740206,73013.5266728
问题三,0.65,13383133.1121,-0.4160359484634429,53095.3081947
问题三,0.7,13392369.5216,-0.3473077766737026,40241.0388266
问题三,0.75,13409394.3151,-0.22062619847465884,28996.5236337
问题三,0.8,13439044.3678,0.0,21541.6346994
问题三,0.85,13507627.8932,0.5103303741174331,13750.2058398
问题三,0.9,13747446.2835,2.294820280815009,10090.2694542
问题4-2,0.5,15641955.7492,7.171954964111693,494232.038703
问题4-2,0.55,15480583.3544,6.066300702889213,447653.001808
问题4-2,0.6,15189917.7843,4.074785198827755,365603.816026
问题4-2,0.65,14965418.5887,2.536613242194201,300965.721247
问题4-2,0.7,14767816.2306,1.1827268508343058,236034.146943
问题4-2,0.75,14642306.2344,0.32278632447269184,181337.293689
问题4-2,0.8,14595194.9411,0.0,135858.267498
问题4-2,0.85,14617099.1971,0.150078543578193,88352.1458666
问题4-2,0.9,14739256.3755,0.9870470040405104,66220.8774638
问题4-3,0.5,14280014.4104,0.860909695224108,100705.735562
问题4-3,0.55,14257985.9344,0.7053207676008091,93239.0067527
问题4-3,0.6,14182414.3001,0.17155213378896111,72529.9680669
问题4-3,0.65,14117475.6854,-0.2871146129490249,52232.5593837
问题4-3,0.7,14120154.8072,-0.26819175655922367,40058.3716065
问题4-3,0.75,14130866.9315,-0.19253114651953313,28766.6166641
问题4-3,0.8,14158125.7333,0.0,20948.4925527
问题4-3,0.85,14228123.4696,0.49439973636739176,13683.9370886
问题4-3,0.9,14458584.4542,2.1221645192295355,9518.16347407
