price,purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,emergency_kwh,discarded_kwh
0.4248,422.030366667,0,-0,10800,0,0
0.4245,415.407316667,0,0,10800,0,0
0.4269,410.716666667,0,-0,10800,0,0
0.4272,430.2948,0,-0,10800,0,0
0.4271,424.410583333,0,0,10800,0,0
0.4285,406.051666667,0,-0,10800,0,0
0.4311,436.750183333,0,-0,10800,0,0
0.4302,451.797683333,0,0,10800,0,0
0.4279,446.08,0,0,10800,0,0
0.4312,471.766333333,0,-0,10800,0,0
0.4333,448.025966667,0,-0,10800,0,0
0.4311,397.403333333,0,0,10800,0,0
0.4293,434.090633333,0,0,10800,0,0
0.4324,490.560916667,0,0,10800,0,0
0.4367,503.22,0,-0,10800,0,0
0.4348,474.072816667,0,0,10800,0,0
0.4335,461.3844,0,0,10800,0,0
0.4357,476.941666667,0,0,10800,0,0
0.4374,483.39955,0,-0,10800,0,0
0.4371,486.601916667,0,0,10800,0,0
0.4356,498.848333333,0,0,10800,0,0
0.4353,518.309733333,0,0,10800,0,0
0.436,509.133466667,0,0,10800,0,0
0.4378,483.616666667,0,-0,10800,0,0
0.4401,316.8859745,0,174.3008255,10606.3324161,0,0
0.4389,504.645283333,0,0,10606.3324161,0,0
0.4364,505.578333333,0,0,10606.3324161,0,0
0.4393,503.230966667,0,0,10606.3324161,0,0
0.4422,0,0,502.84675,10047.613805,0,0
0.4395,499.641666667,0,0,10047.613805,0,0
0.4333,488.783583333,0,0,10047.613805,0,0
0.4439,0,0,498.515433333,9493.70776796,0,0
0.4301,529.223333333,0,0,9493.70776796,0,0
0.3713,547.410316667,0,0,9493.70776796,0,0
0.5708,0,0,531.181166667,8903.50647167,0,0
0.9099,0,0,510.983333333,8335.74721241,0,0
0.9368,0,0,535.187183333,7741.09478648,0,0
0.8758,0,0,533.355333333,7148.47774944,0,0
0.8759,0,0,504.52,6587.89997167,0,0
0.8601,0,0,519.553683333,6010.6181013,0,0
0.8442,0,0,551.480083333,5397.86245315,0,0
0.8334,0,0,552.041666667,4784.48282352,0,0
0.8092,0,0,514.55805,4212.75165685,0,0
0.7972,0,0,447.90855,3715.07549019,0,0
0.7644,0,0,389.424166667,3282.38197167,0,0
0.6899,0,0,377.65375,2862.76669389,0,0
0.86,0,0,361.16135,2461.476305,0,0
1.1617,0,0,299.922916667,2128.22861981,0,0
1.1683,0,0,202.226233333,1903.532805,0,0
1.0956,0,0,129.7926,1759.318805,0,0
1.0849,0,0,86.2845833333,1663.44704574,0,0
1.061,0,0,35.96915,1623.48132352,0,0
1.043,0,0,62.4539333333,1554.08806426,0,0
1.036,0,0,115.176666667,1426.11399019,0,0
1.0147,0,0,45.8241166667,1375.198305,0,0
0.9922,0,31.3605,0,1403.422755,0,0
0.97,0,61.7008333333,0,1458.953505,0,0
0.9422,0,105.108116667,0,1553.55081,0,0
0.9569,0,170.19725,0,1706.728335,0,0
0.9977,0,215.430416667,0,1900.61571,0,0
0.9919,0,200.417633333,0,2080.99158,0,0
0.9588,0,226.920183333,0,2285.219745,0,0
0.9549,0,292.225416667,0,2548.22262,0,0
0.9839,0,301.087733333,0,2819.20158,0,0
0.799,0,343.2174,0,3128.09724,0,0
0.5025,0,407.35,0,3494.71224,0,0
0.4662,0,388.483466667,0,3844.34736,0,0
0.5007,0,395.240066667,0,4200.06342,0,0
0.4827,0,444.5275,0,4600.13817,0,0
0.4785,0,444.1071,0,4999.83456,0,0
0.4662,0,448.267333333,0,5403.27516,0,0
0.4432,0,460.622916667,0,5817.835785,0,0
0.4411,0,428.641816667,0,6203.61342,0,0
0.4551,0,426.387266667,0,6587.36196,0,0
0.4463,0,458.390833333,0,6999.91371,0,0
0.4113,0,450.9836,0,7405.79895,0,0
0.5682,0,425.654383333,0,7788.887895,0,0
0.8279,0,413.543333333,0,8161.076895,0,0
