date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh
2025-01-01,63756.21697549951,63756.21697549949,7.793829581714817e-12,1.3991564173920777e-11,4.300841283111367e-12,63756.21697549952,1.0231815394945443e-12,6000.0,10049.999999999993
2025-01-02,62554.454101366675,62554.454101366646,8.482597024794814e-12,2.5347753762616775e-11,1.19991852898238e-11,62554.45410136669,2.4670043785590678e-12,10049.999999999993,10049.999999999995
2025-01-03,25902.835141369258,25902.83514136924,3.4507650070736417e-12,1.4434930051265837e-11,1.9989556676591745e-11,25902.835141369276,3.296918293926865e-12,10049.999999999995,10050.000000000005
2025-01-04,25680.190469312667,25680.190469312645,4.621544746896689e-12,1.775350000343678e-11,1.2161933682364178e-11,25680.190469312678,1.9895196601282805e-12,10050.000000000005,10050.0
2025-01-05,61306.17674177068,61306.176741770585,1.8400398005269382e-11,7.165956361632197e-11,5.268589120532852e-12,61306.17674177069,9.094947017729282e-13,10050.0,10049.999999999996
2025-01-06,60993.47574734171,60993.47574734161,1.6362263011160395e-11,8.998757579092851e-11,6.662912710453383e-12,60993.47574734172,9.777068044058978e-13,10049.999999999996,10049.999999999993
2025-01-07,62222.92023467001,62222.92023466996,1.2473387300815373e-11,3.89499717812214e-11,1.620628609089181e-11,62222.920234670026,2.6147972675971687e-12,10049.999999999993,10049.999999999998
2025-01-08,60245.918986484314,60245.9189864842,2.784044568215904e-11,8.575977687996781e-11,6.069828941690503e-11,60245.91898648437,1.0868461686186492e-11,10049.999999999998,10049.999999999995
2025-01-09,61303.13198324539,61303.13198324535,9.463964545375348e-12,3.0274317452949615e-11,5.552234938477341e-12,61303.131983245396,1.142552719102241e-12,10049.999999999995,10049.999999999996
2025-01-10,25887.095952424534,25887.095952424497,9.607863660221483e-12,2.4049908731171855e-11,4.652498830637341e-11,25887.09595242458,9.08073616301408e-12,10049.999999999996,10050.000000000002
