month,total_cost_yuan,emergency_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,reversal_slots,down_slots,days,reversal_ratio_all_slots,reversal_ratio_down_slots
2025-02,1219767.18449,4569.05055573,0,0,0,0,0,28,0,0
2025-03,1163671.60393,11912.915459,0,0,0,0,0,31,0,0
2025-04,988781.146202,12377.5985576,0,0,0,0,0,30,0,0
2025-05,976970.560837,8020.74528944,0,0,0,0,0,31,0,0
2025-06,1435221.27082,36768.5159578,0,0,0,0,0,30,0,0
2025-07,1505166.35031,18079.0831553,0,0,0,0,0,31,0,0
2025-08,1298002.61383,12252.5965049,0,0,0,0,0,31,0,0
2025-09,1159563.8468,14205.6037469,0,0,0,0,0,30,0,0
2025-10,1135960.19106,1716.71260417,0,0,0,0,0,31,0,0
2025-11,1260184.17731,746.84122293,0,0,0,0,0,30,0,0
2025-12,1721350.41925,16077.3438601,0,0,0,0,0,31,0,0
