date,t,load_error_kw,pv_error_kw,net_error_kw,naive_load_error_kw,naive_pv_error_kw
2025-02-01,1,-83.7258292577,0,-83.7258292577,-113.9454,0
2025-02-01,2,-94.7913025405,0,-94.7913025405,-363.1065,0
2025-02-01,3,-107.403607774,0,-107.403607774,-528.46,0
2025-02-01,4,-109.446892695,0,-109.446892695,-144.4777,0
2025-02-01,5,-276.897786822,0,-276.897786822,-78.7589,0
2025-02-01,6,-421.490464018,0,-421.490464018,-345.79,0
2025-02-01,7,-166.746561147,0,-166.746561147,-116.6978,0
2025-02-01,8,37.923693012,0,37.923693012,76.4155,0
2025-02-01,9,43.1161520476,0,43.1161520476,-26.14,0
2025-02-01,10,63.3843522528,0,63.3843522528,-143.5179,0
2025-02-01,11,-224.62197987,0,-224.62197987,-322.576,0
2025-02-01,12,-560.051888367,0,-560.051888367,-400.74,0
2025-02-01,13,-274.233722026,0,-274.233722026,-100.7729,0
2025-02-01,14,59.036795659,0,59.036795659,136.723,0
2025-02-01,15,72.0747134035,0,72.0747134035,62.57,0
2025-02-01,16,-68.3077484432,0,-68.3077484432,-171.0567,0
2025-02-01,17,-144.442599116,0,-144.442599116,-314.499,0
2025-02-01,18,-126.155299607,0,-126.155299607,-354.61,0
2025-02-01,19,-123.091233441,0,-123.091233441,-442.3132,0
2025-02-01,20,-58.0245547193,0,-58.0245547193,-369.0243,0
2025-02-01,21,93.7019066622,0,93.7019066622,-90.4,0
2025-02-01,22,211.898949957,0,211.898949957,152.8241,0
2025-02-01,23,7.72302083069,0,7.72302083069,28.0738,0
2025-02-01,24,-297.73983529,0,-297.73983529,-346.07,0
2025-02-01,25,-168.622069125,0,-168.622069125,-482.9736,0
2025-02-01,26,-8.00647339416,0,-8.00647339416,-317.3271,0
2025-02-01,27,-71.2097063231,0,-71.2097063231,-84.69,0
2025-02-01,28,-215.782007548,0,-215.782007548,-76.7156,0
2025-02-01,29,-260.020110459,0.00134784946237,-260.021458309,-64.1378,-0.0003
2025-02-01,30,-230.343379967,0,-230.343379967,-52.54,0
2025-02-01,31,-278.323789324,-0.0180209677419,-278.305768357,-278.7113,0
2025-02-01,32,-219.765888883,0.00187903225806,-219.767767916,-445.0704,-0.0039
2025-02-01,33,-57.2442803828,0,-57.2442803828,-332.35,0
2025-02-01,34,-15.2618188418,-0.0180209677419,-15.2437978741,-27.311,0
2025-02-01,35,-107.477213842,0.259379032258,-107.736592875,44.4561,-0.0542
2025-02-01,36,-177.100150627,0,-177.100150627,-135.54,0
2025-02-01,37,4.14930519455,-20.4832412321,24.6325464267,-213.6467,0
2025-02-01,38,17.9535434461,-47.6859652497,65.6395086958,-294.7118,-0.7542
2025-02-01,39,-96.5901006046,0,-96.5901006046,-361.14,0
2025-02-01,40,-91.4014386342,-113.683713285,22.2822746507,-249.4967,0
2025-02-01,41,-78.3194079702,-61.7571755208,-16.5622324494,-173.5844,10.0544
2025-02-01,42,-80.9689127728,133.336304923,-214.305217696,-235.03,4.875
2025-02-01,43,-34.6664511692,23.9693929787,-58.6358441479,-330.2056,-3.9449
2025-02-01,44,-152.54857845,-8.80742137315,-143.741157077,-373.5428,-17.8483
2025-02-01,45,-296.159051199,-54.6580018083,-241.501049391,-342.7,-41.475
2025-02-01,46,-83.4089708771,-108.802866211,25.3938953336,-253.5947,-63.7153
2025-02-01,47,164.944999432,-124.103602809,289.048602241,-62.7233,-9.9697
2025-02-01,48,153.133437874,-95.9475231454,249.08096102,-11.19,76.425
2025-02-01,49,-108.669036511,-87.481130558,-21.1879059531,-389.4553,69.1137
2025-02-01,50,-303.42442541,-91.378743705,-212.045681704,-520.6014,41.1444
2025-02-01,51,-329.013602294,-100.510000273,-228.503602021,-290.8,29.775
2025-02-01,52,-289.343903168,-81.9808865163,-207.363016652,-227.9345,1.9911
2025-02-01,53,1.28230632503,-118.13113268,119.413439005,-206.1229,-8.7564
2025-02-01,54,237.064275704,-209.72361466,446.787890364,-207.23,28.35
2025-02-01,55,-87.0984679992,-263.615422744,176.516954744,-362.8859,122.3599
2025-02-01,56,-106.241959708,-198.267429577,92.0254698691,-304.4562,273.5777
2025-02-01,57,231.456609049,-107.996520421,339.45312947,-11.84,423.5625
2025-02-01,58,107.24121042,-176.246928584,283.488139004,111.6261,478.032
2025-02-01,59,-140.650775055,-315.003011886,174.35223683,-106.2502,429.1152
2025-02-01,60,-114.451443579,-472.683381396,358.231937818,-360.92,351.4875
2025-02-01,61,161.016252636,-433.505240265,594.521492901,-187.7434,326.1088
2025-02-01,62,35.8410825361,-448.397292158,484.238374694,-107.9498,228.1323
2025-02-01,63,-320.220431129,-435.555148355,115.334717226,-242.3,115.6875
2025-02-01,64,-133.38605636,-425.403888486,292.017832126,-206.7175,210.5878
2025-02-01,65,-12.5838242492,-288.502562446,275.918738197,-191.8684,444.5211
2025-02-01,66,-193.439746338,-182.429982079,-11.0097642588,-270.04,571.725
2025-02-01,67,-266.652070828,-349.818097009,83.1660261807,-290.673,400.6231
2025-02-01,68,-181.529439743,-340.605132908,159.075693165,-282.4893,344.9798
2025-02-01,69,-51.9493055964,-73.5549982493,21.6056926528,-180.37,499.1625
2025-02-01,70,-20.445042543,107.871313366,-128.316355909,83.4583,539.0289
2025-02-01,71,-140.378226923,29.3099847916,-169.688211715,49.9668,367.7231
2025-02-01,72,-180.80143605,-146.008501685,-34.7929343646,-212.16,266.55
2025-02-01,73,105.575225338,51.3291334212,54.2460919173,-194.3347,564.0212
2025-02-01,74,20.0731873825,8.98688748452,11.086299898,-248.4232,551.9909
2025-02-01,75,-377.391135684,-156.767260913,-220.623874771,-406.85,149.9625
2025-02-01,76,-318.782436884,-101.980912294,-216.801524591,-324.8251,16.1258
2025-02-01,77,-154.799525026,-8.79925525861,-146.000269767,-299.0679,194.3909
2025-02-01,78,-178.117068471,-0.561995352418,-177.555073118,-408.12,386.0625
2025-02-01,79,-291.214736132,33.9486280801,-325.163364212,-414.2339,279.042
2025-02-01,80,-236.59139308,144.103908026,-380.695301107,-352.1599,205.7075
2025-02-01,81,-120.276948181,258.181593608,-378.458541789,-320.31,231.225
2025-02-01,82,-243.464703363,326.530802829,-569.995506192,-347.1605,78.3717
2025-02-01,83,-182.763617796,210.600170718,-393.363788514,-232.3721,-180.638
2025-02-01,84,21.849011949,-39.2312464158,61.0802583648,-86.46,-431.8875
2025-02-01,85,-84.4877515533,-64.3012400404,-20.1865115129,-207.728,-600.9134
2025-02-01,86,-33.4084498467,-91.9011281112,58.4926782646,-201.0429,-578.63
2025-02-01,87,116.378820191,-87.9305438218,204.309364013,-114.06,-453.9375
2025-02-01,88,-175.650711259,-91.7822938091,-83.8684174501,-360.5172,-430.5105
2025-02-01,89,-250.534962071,-48.4874501424,-202.047511929,-372.7828,-353.5998
2025-02-01,90,-33.0935649177,6.34677719506,-39.4403421127,-128.86,-232.725
2025-02-01,91,-93.1297434417,-4.27466600307,-88.8550774386,-182.0309,-252.5573
2025-02-01,92,-43.6570467868,-76.010312344,32.3532655572,-213.2256,-280.2596
2025-02-01,93,129.741216368,-111.575013368,241.316229736,-79.26,-248.4375
2025-02-01,94,-2.82564965296,-49.4999436146,46.6742939616,-3.1063,-218.7062
2025-02-01,95,-204.708565636,11.749201897,-216.457767533,-55.9675,-180.6468
2025-02-01,96,-223.365172336,22.0464650114,-245.411637348,-143.14,-160.3875
2025-02-01,97,-51.2107861009,73.5583459491,-124.76913205,-140.055,-200.1134
