t,channel,mean_error_kw,q05_error_kw,q25_error_kw,q50_error_kw,q75_error_kw,q95_error_kw,samples
1,load,-9.98428686646,-308.316500344,-125.633214084,-4.25575378422,109.644998491,265.945914815,334
1,pv,0,0,0,0,0,0,334
1,net,-9.98428686646,-308.316500344,-125.633214084,-4.25575378422,109.644998491,265.945914815,334
2,load,-6.64898416637,-332.317907351,-111.463420799,0.260844935874,106.874988195,322.648370044,334
2,pv,0,0,0,0,0,0,334
2,net,-6.64898416637,-332.317907351,-111.463420799,0.260844935874,106.874988195,322.648370044,334
3,load,-6.01513230401,-359.557743424,-131.685075042,5.76651749097,115.467657083,302.925080606,334
3,pv,0,0,0,0,0,0,334
3,net,-6.01513230401,-359.557743424,-131.685075042,5.76651749097,115.467657083,302.925080606,334
4,load,-6.22834593985,-272.190263057,-104.127632352,-10.8014267045,100.397065625,253.716992697,334
4,pv,0,0,0,0,0,0,334
4,net,-6.22834593985,-272.190263057,-104.127632352,-10.8014267045,100.397065625,253.716992697,334
5,load,-6.49685702466,-322.429894497,-113.280763945,3.06755346782,102.949503341,272.565330454,334
5,pv,0,0,0,0,0,0,334
5,net,-6.49685702466,-322.429894497,-113.280763945,3.06755346782,102.949503341,272.565330454,334
6,load,-9.0843045103,-364.090976914,-122.954266733,-11.3755453933,127.274686369,334.871221977,334
6,pv,0,0,0,0,0,0,334
6,net,-9.0843045103,-364.090976914,-122.954266733,-11.3755453933,127.274686369,334.871221977,334
7,load,-5.11817563643,-323.281559134,-120.362224458,-4.68874341281,103.283296785,297.77517131,334
7,pv,0,0,0,0,0,0,334
7,net,-5.11817563643,-323.281559134,-120.362224458,-4.68874341281,103.283296785,297.77517131,334
8,load,-4.53699832839,-299.380322652,-112.248205865,-1.77137795994,115.329387469,279.602226473,334
8,pv,0,0,0,0,0,0,334
8,net,-4.53699832839,-299.380322652,-112.248205865,-1.77137795994,115.329387469,279.602226473,334
9,load,-3.98107541547,-345.209066692,-120.565518695,1.42929244171,109.847488149,308.125744278,334
9,pv,0,0,0,0,0,0,334
9,net,-3.98107541547,-345.209066692,-120.565518695,1.42929244171,109.847488149,308.125744278,334
10,load,-4.61574878276,-269.243086321,-118.224093085,-8.42062192515,101.611919909,296.556296915,334
10,pv,0,0,0,0,0,0,334
10,net,-4.61574878276,-269.243086321,-118.224093085,-8.42062192515,101.611919909,296.556296915,334
11,load,-3.40513655053,-283.527528575,-123.273766167,11.1513741071,103.589676614,290.92325466,334
11,pv,0,0,0,0,0,0,334
11,net,-3.40513655053,-283.527528575,-123.273766167,11.1513741071,103.589676614,290.92325466,334
12,load,-5.51831475371,-327.450052256,-128.90810109,-16.0274311548,119.94269033,313.420792619,334
12,pv,0,0,0,0,0,0,334
12,net,-5.51831475371,-327.450052256,-128.90810109,-16.0274311548,119.94269033,313.420792619,334
13,load,-1.96947443342,-318.620049768,-119.538535446,10.5816352583,114.745600115,268.376464442,334
13,pv,0,0,0,0,0,0,334
13,net,-1.96947443342,-318.620049768,-119.538535446,10.5816352583,114.745600115,268.376464442,334
14,load,-0.880102727998,-299.621793055,-109.328869544,3.60185599044,110.760193208,298.108059096,334
14,pv,0,0,0,0,0,0,334
14,net,-0.880102727998,-299.621793055,-109.328869544,3.60185599044,110.760193208,298.108059096,334
15,load,-5.52443563771,-295.418664846,-107.791569595,2.00802904976,89.8383430492,301.716352791,334
15,pv,0,0,0,0,0,0,334
15,net,-5.52443563771,-295.418664846,-107.791569595,2.00802904976,89.8383430492,301.716352791,334
16,load,-2.67341916598,-288.366559273,-104.028047579,-2.68103961726,116.119256662,241.429361073,334
16,pv,0,0,0,0,0,0,334
16,net,-2.67341916598,-288.366559273,-104.028047579,-2.68103961726,116.119256662,241.429361073,334
17,load,-2.84657075365,-277.453267606,-112.291532034,5.73978112954,102.973378536,269.558693306,334
17,pv,0,0,0,0,0,0,334
17,net,-2.84657075365,-277.453267606,-112.291532034,5.73978112954,102.973378536,269.558693306,334
18,load,-7.05721012222,-322.461686355,-121.65761279,-12.2840708215,119.309101909,310.825634308,334
18,pv,0,0,0,0,0,0,334
18,net,-7.05721012222,-322.461686355,-121.65761279,-12.2840708215,119.309101909,310.825634308,334
19,load,-3.94613161891,-298.804835542,-109.963739923,-3.1941801771,94.268363236,286.733931448,334
19,pv,-1.44951044508e-05,-0.00112943820913,0,0,0,0.000785276427194,334
19,net,-3.9461171238,-298.805345531,-109.963739923,-3.19454204861,94.268363236,286.733931448,334
20,load,-2.49472216857,-291.480207991,-96.1479719085,-6.47587181036,108.344673433,254.851857795,334
20,pv,-0.000111275930025,-0.00115003553414,0,0,0,0,334
20,net,-2.49461089264,-291.480207991,-96.1479719085,-6.47587181036,108.344673433,254.851857795,334
21,load,-2.79745725494,-282.749656626,-114.550576454,-7.81056387342,110.031070003,277.055699205,334
21,pv,0,0,0,0,0,0,334
21,net,-2.79745725494,-282.749656626,-114.550576454,-7.81056387342,110.031070003,277.055699205,334
22,load,-2.70226545701,-290.113794976,-118.741745665,-0.0959406510347,109.241065793,317.664666871,334
22,pv,0.00297330562597,-0.00112951789678,0,0,0.000383941429258,0.0207683819444,334
22,net,-2.70523876263,-290.113794976,-118.741468865,-0.0984937243207,109.240037178,317.65513046,334
23,load,-1.58281547476,-292.816084887,-100.682698054,-8.68802441383,92.9800963775,290.82267605,334
23,pv,0.000996425207253,-0.00110880297079,-2.90053466077e-05,0,0,0.0110623531305,334
23,net,-1.58381189997,-292.816084887,-100.682698054,-8.68838464895,92.9801698408,290.813682268,334
24,load,-2.28970630668,-305.938944043,-123.489468028,7.10510037782,124.933587903,268.989116412,334
24,pv,0,0,0,0,0,0,334
24,net,-2.28970630668,-305.938944043,-123.489468028,7.10510037782,124.933587903,268.989116412,334
25,load,-2.70636226871,-276.829267427,-102.360472767,2.58358017984,97.538539253,249.119387992,334
25,pv,-0.0626913067973,-0.176509789254,-0.146074184645,0,0,0.141491048095,334
25,net,-2.64367096191,-276.726804447,-102.220360054,2.66617745202,97.5380758155,249.038058889,334
26,load,-4.54954184331,-272.805343143,-102.601474641,2.38444875661,91.7781962783,246.333140992,334
26,pv,-0.0575923815846,-0.168649350669,-0.133788762957,0,0,0.0583504154703,334
26,net,-4.49194946172,-272.870979351,-102.487930624,2.45006297388,91.8807075322,246.333140992,334
27,load,-6.16398404087,-320.499530307,-124.579758925,-8.22310548866,108.234788478,299.234220872,334
27,pv,0,0,0,0,0,0,334
27,net,-6.16398404087,-320.499530307,-124.579758925,-8.22310548866,108.234788478,299.234220872,334
28,load,-3.05342003285,-269.587383297,-117.210885651,0.508992523877,117.666406983,273.344534009,334
28,pv,0.413872716535,-0.165989386207,-0.131997421888,-0.0001830673258,0.0922862673396,3.41711679346,334
28,net,-3.46729274938,-270.815533354,-116.992317647,0.649450990326,115.708852222,273.389450479,334
29,load,-1.59024459402,-265.963632195,-135.975936527,12.0526724006,103.515817704,287.402872811,334
29,pv,0.141255020529,-0.168037574542,-0.124933756093,-0.000815635548523,0,2.16998367248,334
29,net,-1.73149961455,-267.146667971,-135.877220398,12.1193968742,103.211540903,287.402907533,334
30,load,-1.60509058305,-323.660173304,-116.88400976,-5.85150705005,124.765036953,313.983316379,334
30,pv,-0.0474184220854,-0.388334445126,0,0,0,0,334
30,net,-1.55767216096,-323.660173304,-116.765810764,-5.78497069577,124.765036953,313.983316379,334
31,load,-1.83508300691,-332.006349291,-112.250072358,7.11856237851,111.71126273,283.045665646,334
31,pv,-7.71954232957,-54.9596329924,-7.17230213209,0,0.0025,10.3505911707,334
31,net,5.88445932266,-297.989944961,-102.145485332,11.9108225721,121.887933288,284.365005692,334
32,load,-1.48857831726,-257.098772217,-106.150164117,-13.773876177,95.823744658,264.544360257,334
32,pv,-12.855520752,-87.2484678768,-11.3158009071,-5.3125e-05,0.014325,20.7033823837,334
32,net,11.3669424348,-257.225268158,-90.3539529183,5.41709800466,113.247875126,276.409412655,334
33,load,-3.68701181718,-309.25675721,-103.036086317,10.3943624243,99.0788538034,278.590025006,334
33,pv,-15.6208850146,-108.507432388,-20.1158718071,0,0,33.1747162912,334
33,net,11.9338731974,-305.408427387,-94.5801583161,25.5421867894,126.733394147,295.296360518,334
34,load,-11.5612602807,-311.349377995,-113.841389392,-5.75940202142,101.309500916,284.812484288,334
34,pv,-15.5606169786,-99.9470661211,-26.096496445,0,0.30995,42.6123921272,334
34,net,3.99935669783,-307.297474213,-114.423699489,10.4357508809,114.730864042,296.159688849,334
35,load,0.895120171155,-292.984717611,-107.181903823,-13.6760594485,108.034717776,295.44859809,334
35,pv,-12.1738248807,-100.18526022,-28.0338941759,0,0.855501114416,68.6876276572,334
35,net,13.0689450519,-298.875183578,-102.446639833,8.57931063669,125.42517825,328.552587706,334
