date,t,time_end,price_actual,price_fixed,price_fc
2025-01-01,1,00:10,0.4527,0.4248,0.4248
2025-01-01,2,00:20,0.4733,0.4245,0.4245
2025-01-01,3,00:30,0.4843,0.4269,0.4269
2025-01-01,4,00:40,0.4541,0.4272,0.4272
2025-01-01,5,00:50,0.4266,0.4271,0.4271
2025-01-01,6,01:00,0.4311,0.4285,0.4285
2025-01-01,7,01:10,0.4544,0.4311,0.4311
2025-01-01,8,01:20,0.4483,0.4302,0.4302
2025-01-01,9,01:30,0.4251,0.4279,0.4279
2025-01-01,10,01:40,0.444,0.4312,0.4312
2025-01-01,11,01:50,0.478,0.4333,0.4333
2025-01-01,12,02:00,0.4941,0.4311,0.4311
2025-01-01,13,02:10,0.484,0.4293,0.4293
2025-01-01,14,02:20,0.4751,0.4324,0.4324
2025-01-01,15,02:30,0.488,0.4367,0.4367
2025-01-01,16,02:40,0.5215,0.4348,0.4348
2025-01-01,17,02:50,0.5498,0.4335,0.4335
2025-01-01,18,03:00,0.5471,0.4357,0.4357
2025-01-01,19,03:10,0.5067,0.4374,0.4374
2025-01-01,20,03:20,0.4769,0.4371,0.4371
2025-01-01,21,03:30,0.4669,0.4356,0.4356
2025-01-01,22,03:40,0.4501,0.4353,0.4353
2025-01-01,23,03:50,0.4608,0.436,0.436
2025-01-01,24,04:00,0.4927,0.4378,0.4378
2025-01-01,25,04:10,0.4976,0.4401,0.4401
2025-01-01,26,04:20,0.4889,0.4389,0.4389
2025-01-01,27,04:30,0.4885,0.4364,0.4364
2025-01-01,28,04:40,0.5042,0.4393,0.4393
2025-01-01,29,04:50,0.5178,0.4422,0.4422
2025-01-01,30,05:00,0.5042,0.4395,0.4395
2025-01-01,31,05:10,0.4639,0.4333,0.4333
2025-01-01,32,05:20,0.4899,0.4439,0.4439
2025-01-01,33,05:30,0.5194,0.4301,0.4301
2025-01-01,34,05:40,0.4459,0.3713,0.3713
2025-01-01,35,05:50,0.6726,0.5708,0.5708
2025-01-01,36,06:00,1.0693,0.9099,0.9099
2025-01-01,37,06:10,1.0696,0.9368,0.9368
2025-01-01,38,06:20,0.9974,0.8758,0.8758
2025-01-01,39,06:30,1.0451,0.8759,0.8759
2025-01-01,40,06:40,1.0684,0.8601,0.8601
2025-01-01,41,06:50,1.0267,0.8442,0.8442
2025-01-01,42,07:00,0.9814,0.8334,0.8334
2025-01-01,43,07:10,1.0187,0.8092,0.8092
2025-01-01,44,07:20,1.0362,0.7972,0.7972
2025-01-01,45,07:30,0.967,0.7644,0.7644
2025-01-01,46,07:40,0.893,0.6899,0.6899
2025-01-01,47,07:50,1.136,0.86,0.86
2025-01-01,48,08:00,1.5209,1.1617,1.1617
2025-01-01,49,08:10,1.5206,1.1683,1.1683
