date,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,grid_cost_yuan,adjusted_kwh,emergency_kwh,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,final_commitment_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,start_soc_kwh,end_soc_kwh,emergency_slots,reversal_slots,down_slots,path_down_kwh,path_up_kwh,below_min_kwh,chain_misprice_yuan
2025-02-01,20664.727103549783,709.8733561103014,218.92862680490052,21593.529086464983,2808.2317751679766,0.0,0.0,21593.529086464983,42284.086659156965,40119.507108772275,806.5255756181238,1451.4358133744925,19491.087711846063,16007.717925399736,10784.805613624156,10540.431303841464,0,16,39,2486.405662776335,321.82611239164305,2484.9333731867728,0.0
2025-02-02,52894.84534298011,1683.0678508035867,492.11037090550286,55070.023564689196,4918.100433793477,0.0,0.0,55070.023564689196,89079.1087547635,85038.65700580846,2049.600602978,0.0,23340.346060686745,18707.567607856286,10540.431303841464,10760.55652750811,0,31,75,4479.27609137426,438.8243424192175,4479.276091374251,0.0
2025-02-03,52800.30152678184,1431.943827092402,1529.130153595076,55761.37550746932,5000.711837048287,1.9633801259559505,13.696539758668711,55775.072047227986,88519.66539158419,85937.35525714575,1173.746681392462,0.0,24014.975759363326,19466.32030348407,10760.55652750811,10744.789929286135,1,38,74,3791.510985743359,1209.2008513049282,3791.5109857433517,0.0
2025-02-04,52556.10018902228,1375.3287956396762,3938.1993546497843,57869.62833931174,6317.576976700465,158.74083819276777,779.7738189857226,58649.40215829746,88191.23726287525,87172.00217102258,1820.6135021338907,0.0,23620.082108784543,19304.816551703072,10744.789929286135,10553.067658633265,2,37,73,3668.4060342765624,2649.170942423905,3668.406034276557,0.0
2025-02-05,51226.955854139735,339.0639141661403,2586.2346169309685,54152.25438523684,3156.4139488790306,997.1104670282584,5609.921136715139,59762.17552195198,83785.29671024997,84755.55350643295,284.33584033342254,0.0,24334.35671552172,19614.455565727272,10553.067658633265,10660.149185128063,8,1,18,1093.078576348029,2063.3353725310017,1090.1952715366997,0.0
2025-02-06,52055.255190400094,816.4126513138553,2595.1444036203284,55466.81224533428,4049.96069911071,110.44416010736761,579.6401500819297,56046.45239541621,85458.0774630535,84763.19556750913,277.93068229652965,0.0,23452.219780482395,19127.567951829093,10660.149185128063,10514.293707752118,5,18,64,2372.4212973275426,1677.5394017831663,2372.421297327543,0.0
2025-02-07,19199.33452352456,184.72262265546397,559.1403282272781,19943.1974744073,1208.2858323407263,388.79487464043626,2168.1167039048883,22111.31417831219,38089.6118329003,38136.97378753305,82.80821935680987,2971.4331262869555,20118.888437756323,16453.04078789326,10514.293707752118,10340.136870740287,6,14,35,580.4619388539885,627.8238934867379,580.4619388539885,0.0
2025-02-08,17280.731578865587,80.26114013566577,2941.9246462653255,20302.917365266578,2841.2095298132012,323.8895976966757,1990.0542998786411,22292.971665145218,34409.07802526611,36649.12932303443,59.95924770087164,1199.1951601615278,20973.638721097333,16836.936924895297,10340.136870740287,10508.70402539979,2,2,2,300.57911602244496,2540.630413790757,275.5645527880259,0.0
2025-02-09,49393.615637847804,84.79759075817913,5068.277279240964,54546.69050784695,5092.435188196876,407.7061497916242,1896.2076977628258,56442.898205609774,79473.74084146772,83785.59728575658,237.69050435132453,0.0,23856.952893793765,19456.755929263556,10508.70402539979,10361.34393063246,9,1,3,390.2893719540143,4702.145816242863,381.10227603214,0.0
2025-02-10,49182.722073012555,1110.0204038305126,1425.0802634404047,51717.82274028347,5003.289894274136,7.43090434610383,34.80635595715034,51752.62909624062,81421.92570953167,78876.6138185405,446.076808201724,140.58539272013513,21379.145085657277,17408.40014702587,10361.34393063246,10259.907677695266,1,10,31,3774.3008926326534,1228.9890016414824,3768.7586213782415,0.0
