date,slot,x0_kwh,x1_kwh,x2_kwh,x3_kwh
2025-02-01,0,435.984672,435.984672,435.984672,435.984672
2025-02-01,1,431.205867,431.205867,431.205867,431.205867
2025-02-01,2,468.891266,468.891266,468.891266,468.891266
2025-02-01,3,448.535949,448.535949,448.535949,448.535949
2025-02-01,4,470.560214,470.560214,470.560214,470.560214
2025-02-01,5,476.300077,476.300077,476.300077,476.300077
2025-02-01,6,464.541277,464.541277,464.541277,464.541277
2025-02-01,7,445.477068,445.477068,445.477068,445.477068
2025-02-01,8,438.893975,438.893975,438.893975,438.893975
2025-02-01,9,461.202275,461.202275,461.202275,461.202275
2025-02-01,10,485.462963,485.462963,485.462963,485.462963
2025-02-01,11,490.745315,490.745315,490.745315,490.745315
2025-02-01,12,479.796254,479.796254,479.796254,479.796254
2025-02-01,13,480.721451,480.721451,480.721451,480.721451
2025-02-01,14,491.207548,491.207548,491.207548,491.207548
2025-02-01,15,485.457441,485.457441,485.457441,485.457441
2025-02-01,16,485.458167,485.458167,485.458167,485.458167
2025-02-01,17,497.967550,497.967550,497.967550,497.967550
2025-02-01,18,503.914756,503.914756,503.914756,503.914756
2025-02-01,19,496.272676,496.272676,496.272676,496.272676
2025-02-01,20,483.231349,483.231349,483.231349,483.231349
2025-02-01,21,482.993242,482.993242,482.993242,482.993242
2025-02-01,22,507.846297,507.846297,507.846297,507.846297
2025-02-01,23,533.239973,533.239973,533.239973,533.239973
2025-02-01,24,519.290469,519.290469,519.290469,519.290469
2025-02-01,25,505.979687,505.979687,505.979687,505.979687
2025-02-01,26,517.446609,517.446609,517.446609,517.446609
2025-02-01,27,539.194626,539.194626,539.194626,539.194626
2025-02-01,28,546.183660,546.183660,546.183660,546.183660
2025-02-01,29,538.032221,538.032221,538.032221,538.032221
2025-02-01,30,535.167878,535.167878,535.167878,535.167878
2025-02-01,31,535.143395,535.143395,535.143395,535.143395
2025-02-01,32,538.761043,538.761043,538.761043,538.761043
2025-02-01,33,549.950950,549.950950,549.950950,549.950950
2025-02-01,34,0.000000,0.000000,0.000000,0.000000
2025-02-01,35,0.000000,0.000000,0.000000,0.000000
2025-02-01,36,0.000000,0.000000,0.000000,0.000000
2025-02-01,37,0.000000,0.000000,0.000000,0.000000
2025-02-01,38,0.000000,0.000000,0.000000,0.000000
2025-02-01,39,0.000000,0.000000,0.000000,0.000000
2025-02-01,40,0.000000,0.000000,0.000000,0.000000
2025-02-01,41,0.000000,0.000000,0.000000,0.000000
2025-02-01,42,0.000000,0.000000,0.000000,0.000000
2025-02-01,43,0.000000,0.000000,0.000000,0.000000
2025-02-01,44,0.000000,0.000000,0.000000,0.000000
2025-02-01,45,0.000000,0.000000,0.000000,0.000000
2025-02-01,46,0.000000,0.000000,0.000000,0.000000
2025-02-01,47,0.000000,0.000000,0.000000,0.000000
2025-02-01,48,0.000000,0.000000,0.000000,0.000000
2025-02-01,49,0.000000,0.000000,0.000000,0.000000
2025-02-01,50,0.000000,0.000000,0.000000,0.000000
2025-02-01,51,0.000000,0.000000,0.000000,0.000000
2025-02-01,52,0.000000,0.000000,0.000000,0.000000
2025-02-01,53,0.000000,0.000000,0.000000,0.000000
2025-02-01,54,0.000000,0.000000,0.000000,0.000000
2025-02-01,55,0.000000,0.000000,0.000000,0.000000
2025-02-01,56,0.000000,0.000000,0.000000,0.000000
2025-02-01,57,0.000000,0.000000,0.000000,0.000000
2025-02-01,58,0.000000,0.000000,0.000000,0.000000
2025-02-01,59,0.000000,0.000000,0.000000,0.000000
2025-02-01,60,0.000000,0.000000,0.000000,0.000000
2025-02-01,61,0.000000,0.000000,0.000000,0.000000
2025-02-01,62,0.000000,0.000000,0.000000,0.000000
2025-02-01,63,0.000000,0.000000,0.000000,0.000000
2025-02-01,64,0.000000,0.000000,0.000000,0.000000
2025-02-01,65,0.000000,0.000000,0.000000,0.000000
2025-02-01,66,521.121292,-0.000000,-0.000000,-0.000000
2025-02-01,67,0.000000,0.000000,0.000000,0.000000
2025-02-01,68,0.000000,0.000000,0.000000,0.000000
2025-02-01,69,0.000000,0.000000,0.000000,0.000000
2025-02-01,70,0.000000,0.000000,0.000000,0.000000
2025-02-01,71,0.000000,0.000000,0.000000,0.000000
2025-02-01,72,0.000000,0.000000,0.000000,0.000000
2025-02-01,73,75.088347,0.000000,0.000000,0.000000
2025-02-01,74,512.122981,0.000000,0.000000,0.000000
2025-02-01,75,511.370243,-0.000000,0.000000,0.000000
2025-02-01,76,0.000000,0.000000,0.000000,0.000000
2025-02-01,77,0.000000,0.000000,0.000000,0.000000
2025-02-01,78,0.000000,0.000000,0.000000,0.000000
2025-02-01,79,0.000000,0.000000,0.000000,0.000000
2025-02-01,80,0.000000,0.000000,0.000000,0.000000
