date,x_plan_kwh,C_grid_yuan,e_emergency_kwh,C_emer_yuan,C_total_yuan,r_purchase_waste_kwh,w_pv_waste_kwh,u_charge_kwh,v_discharge_kwh,E_start_kwh,E_end_kwh,L_energy_kwh,P_act_energy_kwh
2025-02-01,45188.51072835864,23436.497802905065,0.0,0.0,23436.497802905065,3472.126385717828,3765.7820339188056,18802.24408099303,15229.817705604355,10800.0,10800.0,76305.20628333333,41927.03034999999
2025-02-02,92201.22011791352,58208.03158627149,0.0,0.0,58208.03158627149,9652.319013331096,59.174066666666704,21754.995199556615,17621.546111640855,10800.0,10800.0,121705.97265000001,43349.6947
2025-02-03,89869.24142041022,56473.00931685896,0.0,0.0,56473.00931685896,5300.066719566568,0.0,22906.622109703487,18554.36390885983,10800.0,10800.0,122603.769,42386.85249999999
2025-02-04,89132.86614250287,55835.382098864604,0.0,0.0,55835.382098864604,3314.144717151329,0.0,24336.09197553444,19712.234500182894,10800.0,10800.0,121578.09884999998,40383.234899999996
2025-02-05,86791.9775208203,54096.46443456294,558.0273252909641,3418.221171940676,57514.68560650362,1955.2695230994805,0.0,24454.254419360317,19807.94607968186,10800.0,10800.0,121991.08443333332,41242.65745
2025-02-06,86785.10983144659,54291.51971375359,136.36449387017907,721.176780634818,55012.69649438841,2116.92183840714,0.0,23914.716016802766,19381.2207465598,10800.0,10788.554696722711,122252.1627,41981.10548333333
2025-02-07,39836.9486190582,20344.357980088847,241.09883619436465,1191.3094177478176,21535.667397836663,997.0748405971933,3493.7637434156422,20072.404188717403,16290.874984144337,10788.554696722711,10752.746261963563,76168.59693333333,44362.91726666666
2025-02-08,36355.11058086612,18570.408107214505,549.6694215573785,3006.228187304001,21576.636294518506,131.32703935003138,1160.432399043556,21505.939962726578,17470.082115363322,10752.746261963563,10696.88987801379,75746.78751666666,44169.624800000005
2025-02-09,81113.66593635996,50282.24336482532,2840.093444201412,18082.020956618144,68364.26432144346,89.34666728990999,0.0,22614.198907904225,18305.202161299418,10696.88987801379,10710.555382572678,121547.90356666665,41992.48759999999
2025-02-10,85349.4878110423,53182.446363210096,61.4467352008769,282.67843664941915,53465.12479985951,6664.256117765199,328.1247000000001,21726.59501362386,17634.678868479205,10710.555382572678,10670.403263190597,121477.56451666665,47150.926933333336
2025-02-11,82785.17312657167,51400.279595144864,184.8401985394928,1081.1156881895208,52481.39528333439,3056.736002998816,148.03829999999994,23305.28855605557,18760.646667276553,10670.403263190597,10800.0,121441.28161666666,46220.68448333333
2025-02-12,83395.66274655878,51976.55380941272,0.0,0.0,51976.55380941272,3699.2059810075298,163.38428333333331,22454.4018362347,18188.065487350104,10800.0,10800.0,121363.85288333331,46097.116749999994
2025-02-13,84507.63303752328,52865.4877497555,0.0,0.0,52865.4877497555,8853.797206245184,558.6377833333336,19819.573848832137,16053.85481755403,10800.0,10800.0,121310.28371666666,49980.80469999999
2025-02-14,37822.676785408476,19721.604351399634,0.0,0.0,19721.604351399634,1255.446890152004,2853.15599713971,20590.905691842578,16678.63361039248,10800.0,10800.0,75872.63795,46070.83613333333
2025-02-15,37464.06452682891,19518.022942584576,0.0,0.0,19518.022942584576,731.7387001486566,3546.428292998026,20556.875966748587,16651.06953306636,10800.0,10800.0,76054.55224999998,46774.46115
2025-02-16,83851.67779070007,52217.64978518852,15.608402789368029,71.01042849022984,52288.66021367875,4262.347881355548,30.539166666666688,22089.579186669565,17892.559141202342,10800.0,10800.0,121276.97728333333,45899.59818333333
2025-02-17,83151.6770483607,51658.24918552899,0.0,0.0,51658.24918552899,7338.135926173423,882.1082833333332,19724.050906248798,15976.481234061524,10800.0,10800.0,120960.37281666664,49776.50965
2025-02-18,80798.81491233519,50059.12915775196,21.038877991104755,95.71637542053108,50154.84553317249,4424.1461409460035,227.26854829810918,21458.164830257112,17381.113512508262,10800.0,10800.0,121331.27123333333,49239.88345
2025-02-19,80361.8968409269,49786.755309384615,37.82766947388154,167.06102996735345,49953.816339351964,3078.1118413185404,0.0,23380.44887236265,18938.163586613748,10800.0,10800.0,121866.79411666666,48987.46673333332
2025-02-20,80220.28245399051,49746.65195203053,10.800149617056832,50.5879008062942,49797.23985283682,4771.366980847294,391.814483333333,21446.144242597973,17371.376836504358,10800.0,10800.0,121105.25703333333,50112.12329999999
2025-02-21,37319.342863449914,19445.42501997928,0.0,0.0,19445.42501997928,1933.733156717521,6047.377154566675,19884.05536227572,16106.084843443332,10800.0,10800.0,75802.00203333332,50241.74
2025-02-22,37117.241596357744,19330.913286521674,0.0,0.0,19330.913286521674,1452.0647961968461,3977.816816955266,20224.195262485773,16381.59816261347,10800.0,10800.0,75682.24226666667,47837.47938333333
2025-02-23,81162.8656917921,50326.37186247776,0.0,0.0,50326.37186247776,5100.707128287799,488.31870000000026,21273.61147458415,17231.625294413163,10800.0,10800.0,121142.14093333331,49610.287249999994
