date,x_plan_kwh,C_plan_yuan,C_adjust_yuan,C_grid_yuan,e_emergency_kwh,C_emer_yuan,C_total_yuan,r_purchase_waste_kwh,w_pv_waste_kwh,u_charge_kwh,v_discharge_kwh,E_start_kwh,E_end_kwh,L_energy_kwh,P_act_energy_kwh
2025-02-01,42284.08672890479,22083.854595847948,0.0,22083.854595847948,0.0,0.0,22083.854595847948,1520.9278704885949,2720.711608348176,19213.665339747276,15549.394023012592,10784.805664241438,10800.0,76305.20628333333,41927.03035
2025-02-02,88790.69924777566,56153.89457919305,0.0,56153.89457919305,0.0,0.0,56153.89457919305,6248.266305664595,59.174066666666704,21720.952239181082,17593.971313736674,10800.0,10800.0,121705.97265,43349.69469999999
2025-02-03,88475.8394751466,55647.91661261379,42.131585219149954,55690.04819783294,0.0,0.0,55690.04819783294,4034.181908206073,0.0,22747.873200639067,18458.828737454416,10800.0,10763.276172292477,122603.769,42386.85249999999
2025-02-04,88170.6971518498,55299.13123225879,0.0,55299.13123225879,0.0,0.0,55299.13123225879,2432.678487675699,0.0,24307.68857575687,19764.533861582757,10763.276172292477,10679.602710937274,121578.09884999998,40383.2349
2025-02-05,83644.70236176066,51851.648096036006,1973.455686230051,53825.10378226605,997.1104076619592,5609.9207225758355,59435.02450484189,795.4274168284913,0.0,24355.47024765998,19745.439071294415,10679.602710937274,10660.149187948577,121991.08443333334,41242.65745
2025-02-06,85458.07761597515,53688.08053262898,475.2746332943505,54163.35516592332,108.545044723874,570.7446935544065,54734.09985947773,1483.3023418365742,0.0,23931.42378043294,19515.723181635185,10660.149187948577,10514.293721854681,122252.1627,41981.10548333333
2025-02-07,38089.61195340313,19568.779810749085,104.18483003294337,19672.96464078203,343.369594857228,1803.4288438516248,21476.393484633652,189.8426281811079,2971.433191398364,20095.647700867175,16470.609383002917,10514.293721854681,10299.699560409672,76168.59693333332,44362.91726666666
2025-02-08,34445.47165877665,17437.67995797055,2645.2671896987545,20082.947147669307,323.88955412740796,1979.9368443808448,22062.883992050152,59.95924770087038,1199.1951552726382,20973.638742588606,16800.54334955722,10299.699560409672,10508.704040342513,75746.78751666666,44169.6248
2025-02-09,79473.74096372823,49559.28703785286,4826.185804434364,54385.472842287236,401.1450103189054,1864.8897317225424,56250.36257400978,239.35447964459922,0.0,23875.08834327049,19464.12108950557,10508.704040342513,10369.482338724218,121547.90356666666,41992.48759999999
2025-02-10,81462.70527606684,51290.73260329625,338.7425471480747,51629.475150444334,7.43090434610383,34.80635595715034,51664.28150640149,3275.220023174319,327.31238272584824,21382.7235227131,17413.294269857448,10369.482338724218,10265.828764879963,121477.56451666665,47150.92693333333
