方案,决策模型,建模范式,储备形态,储备分位q,决策时点,开发期(2-8月)_元,留出期(9-12月)_元,全年正式期_元,紧急购电_kWh,未用计划电量_kWh,电网结算费_元,超购费_元,计划购电量_kWh,更新时间,风险处理,紧急购电费_元,调整量_kWh
M4·边际分位场景(旧),均值–CVaR 随机规划,风险厌恶随机优化,,,四点全用,8732157.346878424,5558565.03865783,14290722.385536252,7001.400136148031,2342166.8690751856,14249752.92469082,265723.2363566634,22813726.24860676,2026-09-11 首轮,,,
M3·边际分位场景(旧),两阶段随机规划,随机优化,,,四点全用,8746889.773771659,5588319.728328805,14335209.502100464,7272.681561794488,2049849.1074294583,14292675.412821837,961900.7364523928,21889121.173492253,2026-09-11 首轮,,,
M5·逐时段最坏(旧),鲁棒优化,鲁棒优化,,,四点全用,14782662.460842002,9128060.16881198,23910722.62965398,0.0,14245743.739656148,23910722.62965398,246025.10239137907,35421695.39006522,2026-09-11 首轮,,,
M9·仅下·q0.80·全,,,仅能量下界,0.8,四点全用,8276154.6,5148121.6,13424276.2,23286.1,488848.9,,,,,,,
M9·仅下·q0.80·仅0点,,,仅能量下界,0.8,仅0:00,8648771.7,5248025.4,13896797.1,173860.6,354037.8,,,,,,,
M9·仅下·q0.70·全,,,仅能量下界,0.7,四点全用,8250324.7,5114907.9,13365232.6,46186.9,504896.5,,,,,,,
M9·仅下·q0.70·仅0点,,,仅能量下界,0.7,仅0:00,,,14263948.6,274681.6,367060.8,,,,,,,
M9·仅下·q0.60·全,,,仅能量下界,0.6,四点全用,8273929.6,5137571.6,13411501.2,82016.9,508151.9,,,,,,,
M9·仅下·q0.90·全,,,仅能量下界,0.9,四点全用,8476997.0,5339971.6,13816968.6,8502.6,436183.3,,,,,,,
M9·上下·q0.80·全,,,能量下界+空间上界,0.8,四点全用,,,13801177.2,16706.4,347569.3,,,,,,,
M9·上下·q0.80·仅0点,,,能量下界+空间上界,0.8,仅0:00,,,14096844.4,145695.1,239799.0,,,,,,,
M9·上下·q0.90·全,,,能量下界+空间上界,0.9,四点全用,,,14899449.5,5426.9,205497.3,,,,,,,
M1,确定性经济调度 LP,确定性优化,,,,8297300.1655117385,5229364.654433559,13526664.819945296,116812.66492879321,501872.1807559809,12883451.049935134,601833.2959568206,20309447.869022645,2026-09-11 16:40,不加安全余量，预报即真值,643213.7700101619,505384.6725367811
M2,分位安全余量 LP,确定性优化,,,,8443365.545670435,5304798.954078026,13748164.499748461,15832.903380233409,1552181.1407679943,13655954.848976675,306347.31051339174,21896936.547298998,2026-09-11 16:40,约束侧加 q=0.80 历史分位余量（模型3 口径）,92209.65077178659,283663.93757631467
M3,两阶段随机规划,随机优化,,,,12077068.525086368,7555717.6831974685,19632786.208283834,2096.0768666800977,6790053.111025732,19619170.424949322,5210291.929907519,23566440.275011323,2026-09-11 16:40,9 个真实历史残差日场景，等权期望，紧急购电为追索,13615.783334516569,4526111.8908259515
M4,均值–CVaR 随机规划,风险厌恶随机优化,,,,11448567.406597903,7118889.537931411,18567456.94452931,2030.187004047718,7775482.707683405,18554292.73244027,259966.0868780044,28931806.03862704,2026-09-11 16:40,目标 = 0.5·期望 + 0.5·CVaR(0.90)，在目标里罚尾部而非在约束里留量,13164.212089039847,223792.63691268262
M5,鲁棒优化,鲁棒优化,,,,14729585.885580128,9096004.91985529,23825590.80543542,0.0,14082352.709549343,23825590.80543542,254951.1730394577,35238772.83804926,2026-09-11 16:40,盒式不确定集取历史累计残差最大的整条日曲线，对最坏情形求可行解,0.0,219811.91535834502
M6,精确链式结算 MILP,混合整数优化,,,,8443365.545670435,5304798.954078026,13748164.499748463,15832.903380233416,1552181.1407679946,13655954.848976675,306347.31051339174,21896936.547298998,2026-09-11 16:40,与 M2 同用 q=0.80 分位余量，但结算项用 0-1 变量精确刻画,92209.65077178662,283663.9375763148
M9,储能追索型 LP,确定性优化 + 储能储备,,,,8276154.592813423,5148121.631491535,13424276.22430496,23286.06944308646,488848.85190948535,13290112.920457654,573001.9481939267,20327202.49908555,2026-09-11 16:40,购电按点预报下达，不确定性全交给储能储备带,134163.3038473063,567300.691264958
M10,储能追索型 LP (q=0.70),确定性优化 + 储能储备,,,,8250324.68475679,5114907.9014157215,13365232.586172512,46186.92844557858,504896.488899674,13103547.14976805,602368.4388483563,20321033.777862854,2026-09-11 16:40,同 M9，q 按开发期标定为 0.70,261685.4364044634,568109.5512184014
M7,规则型启发式,无优化,,,,11349597.361145854,7000214.788827044,18349812.149972897,2967.0855712706257,300656.1561481903,18331390.015477628,4063810.310265745,22381175.26687994,2026-09-11 16:40,凭规则留量：净负荷跟随 + 储能在电价高低四分位充放,18422.13449527017,6679712.853413841
