quantile,split,evaluation_start,evaluation_end,n_days,planned_purchase_kwh,planned_cost_yuan,adjust_cost_yuan,grid_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,curtailed_pv_kwh,days_with_emergency,daily_cost_p95_yuan,daily_cost_cvar95_yuan,final_soc_kwh
0.6,开发期(2-8月),2025-02-01,2025-08-31,212,12500711.597699815,7547235.391905045,418756.4429030212,7965991.834808066,55155.49389716388,307937.74229506205,8273929.577103127,328262.89917474193,805635.4816704514,145,56621.17444805155,60279.12724467774,10800.0
0.6,留出期(9-12月),2025-09-01,2025-12-31,122,7815375.667930769,4803083.277719923,187206.04882201727,4990289.326541942,26861.434247520443,147282.28785603645,5137571.614397977,179889.01746158284,326663.06834451086,79,63110.67978933893,65432.28396886111,10293.788301374887
0.6,全年正式期,2025-02-01,2025-12-31,334,20316087.265630584,12350318.669624966,605962.4917250385,12956281.161350004,82016.92814468432,455220.0301510985,13411501.191501105,508151.9166363247,1132298.550014962,224,61410.62671776055,63949.06721793399,10293.788301374887
0.7,开发期(2-8月),2025-02-01,2025-08-31,212,12511362.767465685,7620070.767389381,434790.36330459535,8054861.130693976,34232.378566488536,195463.5540628139,8250324.68475679,332742.06632367615,843399.4380606215,112,56482.70754993208,59868.08335009334,10800.0
0.7,留出期(9-12月),2025-09-01,2025-12-31,122,7809671.010397167,4881107.943530312,167578.07554376102,5048686.019074072,11954.549879090042,66221.88234164953,5114907.9014157215,172154.4225759978,342488.960041161,55,63582.245465997876,65322.62678009369,10056.89056735093
0.7,全年正式期,2025-02-01,2025-12-31,334,20321033.777862854,12501178.710919693,602368.4388483563,13103547.14976805,46186.92844557858,261685.4364044634,13365232.586172512,504896.488899674,1185888.3981017824,167,61632.44016274604,63563.459901391216,10056.89056735093
0.8,开发期(2-8月),2025-02-01,2025-08-31,212,12519311.155361928,7754287.664679,408430.4551432208,8162718.119822223,19368.671002935534,113436.47299120102,8276154.592813423,320280.87882338726,890775.7475528563,94,56197.30517686058,59433.61453589765,10800.0
0.8,留出期(9-12月),2025-09-01,2025-12-31,122,7807891.343723622,4962823.307584724,164571.49305070593,5127394.800635431,3917.3984401509297,20726.830856105236,5148121.631491535,168567.97308609806,366800.89407640847,43,64329.02473043523,65541.42395059946,9686.713770919341
0.8,全年正式期,2025-02-01,2025-12-31,334,20327202.49908555,12717110.972263725,573001.9481939267,13290112.920457654,23286.06944308646,134163.3038473063,13424276.22430496,488848.85190948535,1257576.641629265,137,61620.82150482295,63704.23255024085,9686.713770919341
0.9,开发期(2-8月),2025-02-01,2025-08-31,212,12557294.749555696,8151711.810945053,280827.784003271,8432539.594948323,7329.324831064365,44457.393810444206,8476996.988758769,279980.01699467783,1022977.3997368697,72,57182.0496342746,59939.31085131429,10800.0
0.9,留出期(9-12月),2025-09-01,2025-12-31,122,7806422.536939214,5210703.659928956,122703.59593730346,5333407.255866259,1173.2399401725515,6564.372905445169,5339971.628771705,156203.2712946599,430558.76945080975,32,65750.68299404907,66997.0349479854,9569.119877321335
0.9,全年正式期,2025-02-01,2025-12-31,334,20363717.28649491,13362415.470874008,403531.37994057446,13765946.850814583,8502.564771236917,51021.766715889375,13816968.61753047,436183.2882893377,1453536.1691876794,104,63156.35213949988,65153.453656467704,9569.119877321335
