date,x_plan_kwh,C_grid_yuan,e_emergency_kwh,C_emer_yuan,C_total_yuan,r_purchase_waste_kwh,w_pv_waste_kwh,u_charge_kwh,v_discharge_kwh,E_start_kwh,E_end_kwh,L_energy_kwh,P_act_energy_kwh
2025-02-01,46874.91170863282,19867.008546954352,0.0,0.0,19867.008546954352,4869.087260351725,4055.294457959796,18801.86345783142,15229.509400843453,10800.0,10800.0,76305.20628333333,41927.03034999999
2025-02-02,94114.61599021341,65862.74229468859,0.0,0.0,65862.74229468859,11365.436861517495,59.174066666666704,22809.090063311854,18475.3629512826,10800.0,10800.0,121705.97265000001,43349.6947
2025-02-03,91279.5062952323,64922.409168863785,0.0,0.0,64922.409168863785,6953.230356687526,0.0,21628.20757128837,17518.848132743587,10800.0,10800.0,122603.769,42386.85249999999
2025-02-04,90818.34199775448,64207.299551387725,0.0,0.0,64207.299551387725,4941.640733065706,0.0,24641.249024677883,19959.411709989094,10800.0,10800.0,121578.09884999998,40383.234899999996
2025-02-05,88307.10979256465,62074.18311158281,155.13860554629917,946.5835296609525,63020.76664124376,3087.3945836538874,0.0,24349.614900651166,19723.188069527445,10800.0,10800.0,121991.08443333332,41242.65745
2025-02-06,88355.65800561855,62081.01529448884,54.76703333333364,388.5189420000022,62469.53423648884,3545.644001423516,0.0,24177.49379400898,19583.769973147275,10800.0,10800.0,122252.1627,41981.10548333333
2025-02-07,41205.890195930304,17102.989897751573,64.62795764833913,273.7640285983646,17376.75392634994,1644.1669177760928,4041.9977472773353,20019.00097481594,16240.327152957383,10800.0,10772.292929603918,76168.59693333333,44362.91726666666
2025-02-08,37328.29182002814,15248.295188849592,344.38956261910596,1597.2895850464756,16845.584773896066,303.8572240981899,1536.323830277453,22512.267798418452,18256.930186813515,10772.292929603918,10747.855962832178,75746.78751666666,44169.624800000005
2025-02-09,82705.43409718412,56765.8903379995,1882.6665535802854,11496.16495738318,68262.05529538268,319.3850790387593,0.0,24826.097139740166,20112.797534681184,10747.855962832178,10743.7905722859,121547.90356666665,41992.48759999999
2025-02-10,86495.00128700932,58736.56547727987,0.0,0.0,58736.56547727987,7737.889408568196,386.1514230735545,21019.654668902956,16975.331796868704,10743.7905722859,10800.0,121477.56451666665,47150.926933333336
2025-02-11,84039.15830929452,57291.99929520911,66.32365782057859,317.38150936305374,57609.38080457217,4342.462672132494,148.03829999999994,23162.68496792055,18768.301106271272,10800.0,10792.748575271527,121441.28161666666,46220.68448333333
2025-02-12,84961.35984872657,57672.64881187564,0.0,0.0,57672.64881187564,5102.391874031182,163.38428333333331,23275.375135647853,18846.52757761913,10792.748575271527,10800.0,121363.85288333331,46097.116749999994
2025-02-13,85679.51869945366,58109.34474730358,0.0,0.0,58109.34474730358,10034.945563001675,732.2808000000005,18856.912209396432,15274.098889611108,10800.0,10800.0,121310.28371666666,49980.80469999999
2025-02-14,38750.16960407443,16111.591579113126,0.0,0.0,16111.591579113126,1659.7368717944141,3201.9286616181644,21508.959231553607,17422.25697755842,10800.0,10800.0,75872.63795,46070.83613333333
2025-02-15,38100.89822690236,16303.02877428695,0.0,0.0,16303.02877428695,1270.7580414118388,3730.6769449154394,20101.958634605733,16282.586494030646,10800.0,10800.0,76054.55224999998,46774.46115
2025-02-16,85118.69846727849,58297.94321245667,0.0,0.0,58297.94321245667,5595.9412243467295,90.55683333333332,21341.16478736016,17286.343477761737,10800.0,10800.0,121276.97728333333,45899.59818333333
2025-02-17,84565.8392584841,57342.463834481896,0.0,0.0,57342.463834481896,8613.710690480453,882.1082833333332,20453.458515808747,16567.301397805088,10800.0,10800.0,120960.37281666664,49776.50965
2025-02-18,81971.85909417579,54860.73800090379,0.0,0.0,54860.73800090379,5680.552593979181,254.11040034501082,20767.41219220135,16821.603875683097,10800.0,10800.0,121331.27123333333,49239.88345
2025-02-19,81609.98404155136,54279.42893174903,3.32546304608627,17.796215491130674,54297.22514724016,4453.18778639751,0.0,22530.4964992979,18249.7021644313,10800.0,10800.0,121866.79411666666,48987.46673333332
2025-02-20,81618.40154145866,54651.68102306647,7.221751455284789,40.517636539875305,54692.19865960634,6183.934568300312,391.814483333333,21351.265831299846,17294.52532335288,10800.0,10800.0,121105.25703333333,50112.12329999999
2025-02-21,37912.36006764406,16141.555115594749,0.0,0.0,16141.555115594749,2067.488093282931,6590.377651202324,19443.327841186736,15749.09555136126,10800.0,10800.0,75802.00203333332,50241.74
2025-02-22,37791.24503375581,16198.441465278855,0.0,0.0,16198.441465278855,1807.1886184093319,4262.537516057689,20403.97903134451,16527.223015389052,10800.0,10800.0,75682.24226666667,47837.47938333333
2025-02-23,82511.49017488516,55140.74813055301,0.0,0.0,55140.74813055301,6468.357789366126,488.31870000000026,21173.473695714223,17150.513693528526,10800.0,10800.0,121142.14093333331,49610.287249999994
2025-02-24,81081.72862220625,53637.59263052471,2.4520431792597037,12.528714624427458,53650.12134514914,7733.893061338712,1224.353383333333,20646.84528445692,16723.9446804101,10800.0,10800.0,120628.98855000001,52425.95493333333
2025-02-25,78894.13162713722,51113.923865798875,15.409391030034953,79.08099476613937,51193.004860565015,7441.138682188571,1777.9980782785308,20363.58433877273,16494.503314405905,10800.0,10800.0,121093.33288333332,55272.00965
2025-02-26,76363.11438901279,49842.797374853195,0.0,0.0,49842.797374853195,2892.9923170073303,499.88801666666654,21870.452747397198,17715.066725391735,10800.0,10800.0,121060.73411666666,52245.886083333324
2025-02-27,76311.41220476755,48318.46872704736,594.1250339258795,3124.8477830855336,51443.31651013289,5123.414291207369,506.56359999999825,22731.448144663504,18412.472997177436,10800.0,10800.0,120599.48893333333,53642.90473333334
2025-02-28,36443.70199840237,14727.008105546684,0.0,0.0,14727.008105546684,2171.363324268648,7138.147863195107,20218.93295230851,16377.335691369895,10800.0,10800.0,75385.10794999999,52092.5144
2025-03-01,36388.57308943073,15011.883536995992,0.0,0.0,15011.883536995992,1513.7731210478123,7546.817840498454,19311.66418184807,15642.44798729694,10800.0,10800.0,72244.16015,48585.39421666665
2025-03-02,77070.26873403143,50307.90881556738,1636.14340934793,10172.019909071492,60479.92872463887,2288.74417544618,0.0,21365.05737508698,17305.696473820462,10800.0,10800.0,117860.41708333333,45502.11001666666
2025-03-03,80242.62162481232,52764.070582788605,133.24262532833825,682.0726529189492,53446.143235707554,3698.0134355819273,184.4892666666666,23627.29094281599,19151.07602825725,10800.0,10785.588483804115,117958.74559999998,45941.59896666667
2025-03-04,80647.24230654567,53126.44547427664,0.0,0.0,53126.44547427664,6709.7338046614095,783.1469000000002,20747.017389340126,16792.113720789202,10785.588483804115,10800.0,118139.02498333334,48939.56704999999
2025-03-05,79084.49046923048,50656.64065344419,0.0,0.0,50656.64065344419,8226.090635296474,756.9464333333331,20899.902020705318,16928.92063677131,10800.0,10800.0,118073.44383333332,51942.971816666664
2025-03-06,74931.98723220782,47602.07261047158,223.89328786705823,1453.099892308041,49055.17250277962,4214.7993218106,1014.1985666666664,21175.638435391345,17189.409937127075,10800.0,10758.730217266575,117673.59855,51732.94441666667
2025-03-07,34627.91812999235,13874.071571517408,0.0,0.0,13874.071571517408,1096.8356811627782,8910.893615108504,19267.160504882413,15569.257204494672,10758.730217266575,10800.0,71680.36145,50758.07591666666
2025-03-08,32938.94984432048,13315.511722528048,0.0,0.0,13315.511722528048,947.0387792644816,8936.715147444145,21010.823162869397,17018.766761924213,10800.0,10800.0,72344.71158333334,53281.572066666675
2025-03-09,73536.90858191434,45736.78516165844,0.0,0.0,45736.78516165844,4661.162284362457,1416.5517166666666,21714.050162553795,17588.380631668577,10800.0,10800.0,117692.9865,54359.46145
2025-03-10,71967.01479169911,46441.70475217678,873.4255749089974,5594.64342603308,52036.34817820986,486.1799561427776,0.0,22695.731370870133,18383.542410404807,10800.0,10800.0,117943.06436666667,49900.99291666667
2025-03-11,74340.44059825075,46955.88643189526,0.0,0.0,46955.88643189526,5081.944907310595,1440.661016666667,20415.3467067026,16536.430832429105,10800.0,10800.0,117499.55295,53560.63415
2025-03-12,73584.01451555434,45934.24580682785,0.0,0.0,45934.24580682785,5674.069997740446,1533.1465166666665,20743.49114638896,16802.227828575058,10800.0,10800.0,118112.23683333334,55676.70215
2025-03-13,71789.30770441331,45737.01483353657,1117.052256778238,6666.681577825153,52403.69641136172,1206.540511021395,0.0,21864.218071070965,17710.01663756748,10800.0,10800.0,118237.27704999999,50691.65903333333
2025-03-14,34073.11118839921,13724.528705459015,0.0,0.0,13724.528705459015,2319.24503658256,11984.063245939773,19686.194329176542,15945.817406633001,10800.0,10800.0,72108.86895,56079.44296666667
2025-03-15,33640.099295150896,13924.056682965673,0.0,0.0,13924.056682965673,1681.4670723709032,7099.388619906438,20711.1497519661,16776.031299092545,10800.0,10800.0,72724.98178333332,51800.85663333333
2025-03-16,74024.78406118209,46487.69573116808,1.6400000000001,8.081100000000493,46495.776831168085,6360.844382420411,422.3635764410636,20485.100889406764,16592.931720419485,10800.0,10800.0,117983.21598333333,54632.169050000004
2025-03-17,74014.48267266141,45523.29508520028,0.0,0.0,45523.29508520028,9849.351062641266,2780.000270969223,18563.157398513616,15036.15749279603,10800.0,10800.0,117693.6218,59835.49036666667
2025-03-18,69618.1001176803,42919.81600069313,872.8205584687405,4665.778556551597,47585.59455724472,4215.042281161631,1105.2257166666675,21287.864798179333,17243.17048652527,10800.0,10800.0,117253.42358333334,56127.46521666667
2025-03-19,69319.65245891351,42426.94990262331,219.75402276553268,1105.2508294250117,43532.200732048324,4604.913875814067,1451.6085365709723,21144.282206810603,17126.86858751659,10800.0,10800.0,117281.55799999999,57816.08755
2025-03-20,69764.54978941707,43222.99926332767,0.0,0.0,43222.99926332767,2651.9752918037916,841.2334499999995,21380.943320771636,17318.56408982502,10800.0,10800.0,117648.38173333334,55439.41991666667
2025-03-21,32376.67443215517,12756.712264075988,0.0,0.0,12756.712264075988,1786.6663550126882,14651.390381675546,20553.437783159294,16648.284604359025,10800.0,10800.0,72593.53221666667,60560.0677
2025-03-22,32720.612470233642,13290.33853433967,0.0,0.0,13290.33853433967,1677.2417702313094,11364.083986101936,19989.931476668735,16191.844496101672,10800.0,10800.0,71936.92953333333,56055.72979999999
2025-03-23,68903.27419435067,41981.76051623094,0.0,0.0,41981.76051623094,4109.535846043785,2028.2073258547741,21030.58371466025,17034.772808874808,10800.0,10800.0,117739.97726666667,58970.25715
2025-03-24,67711.92358186263,41463.96343418448,0.0,0.0,41463.96343418448,3601.1249496700634,2092.604942528671,21156.29792805569,17136.601321725113,10800.0,10800.0,117425.17061666667,59426.67353333333
