quantile,split,evaluation_start,evaluation_end,n_days,planned_purchase_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,curtailed_pv_kwh,days_with_emergency,daily_cost_p95_yuan,daily_cost_cvar95_yuan,final_soc_kwh
0.6,全年正式期,2025-02-01,2025-12-31,334,20793965.468239307,13309606.43223923,263865.78304902406,1690090.2983430899,14999696.730582321,589564.8033150539,1180237.5574553593,246,75163.1354362913,90639.1128318428,5806.451736081005
0.6,开发期,2025-02-01,2025-08-31,212,12766970.06678013,8143035.593612481,191857.97118426647,1244511.8723069963,9387547.465919476,351103.0977199665,832436.4789444201,163,74725.9074061087,91845.81570108478,10800.0
0.6,留出期,2025-09-01,2025-12-31,122,8026995.401459177,5166570.838626753,72007.81186475756,445578.4260360936,5612149.264662844,238461.7055950875,347801.0785109391,83,75531.15192083918,86499.71627209787,5806.451736081005
0.65,全年正式期,2025-02-01,2025-12-31,334,21066962.252923355,13496502.606415166,194017.7443550119,1246732.4413921032,14743235.047807269,747205.3226265607,1232234.3768687146,211,74720.14879983515,87209.17532361833,5833.535039084182
0.65,开发期,2025-02-01,2025-08-31,212,12941095.524846643,8259994.62516587,142786.77925193612,928018.3492697924,9188012.974435661,444967.3714422297,866627.7792894728,142,71305.4076072691,87522.14478783084,10800.0
0.65,留出期,2025-09-01,2025-12-31,122,8125866.728076715,5236507.981249296,51230.9651030758,318714.0921223108,5555222.073371607,302237.9511843311,365606.5975792418,69,75255.85054213279,84309.68759665011,5833.535039084182
0.7,全年正式期,2025-02-01,2025-12-31,334,21355666.264660913,13694186.708042916,145058.12320497193,932683.2321975221,14626869.940240439,937271.1460271585,1292372.4475031712,177,73504.48804944256,84354.48713805054,5864.932121084576
0.7,开发期,2025-02-01,2025-08-31,212,13126639.522465829,8384118.201563343,107121.5295620834,694748.3058564255,9078866.507419769,561807.4611625097,905003.4013435736,123,69501.31560807493,83698.3887416622,10800.0
0.7,留出期,2025-09-01,2025-12-31,122,8229026.742195084,5310068.506479572,37936.59364288855,237934.9263410965,5548003.432820669,375463.6848646488,387369.04615959746,54,75193.06520774915,82844.02874102685,5864.932121084576
0.75,全年正式期,2025-02-01,2025-12-31,334,21670602.203854196,13910473.59341368,106860.02399850806,688000.1728684318,14598473.766282115,1159238.5124928853,1359971.8537896276,139,73721.12540323933,82165.88801338493,5894.712058276815
0.75,开发期,2025-02-01,2025-08-31,212,13328663.635760786,8520054.33718482,78729.36640132831,508736.15458690247,9028790.491771724,698578.9153474518,948572.9823978621,99,68970.04297036713,80072.82888298674,10800.0
0.75,留出期,2025-09-01,2025-12-31,122,8341938.568093405,5390419.256228859,28130.657597179725,179264.01828152934,5569683.274510388,460659.59714543365,411398.8713917655,40,75958.72054746082,82063.62381516291,5894.712058276815
0.8,全年正式期,2025-02-01,2025-12-31,334,22032122.52696639,14160574.09556241,77165.86291098525,493503.49140902405,14654077.586971432,1435523.9287903036,1432173.6237880592,112,74434.16281662851,80780.7729088072,5924.851962762246
0.8,开发期,2025-02-01,2025-08-31,212,13561962.507528663,8678391.266221968,57398.14876199907,367230.0156693007,9045621.281891268,873067.8577952364,995488.3551380613,80,66658.53434601663,76827.61830350503,10800.0
0.8,留出期,2025-09-01,2025-12-31,122,8470160.019437727,5482182.82934044,19767.71414898617,126273.47573972328,5608456.305080164,562456.0709950674,436685.268649998,32,76824.30252621564,80991.48726496186,5924.851962762246
0.85,全年正式期,2025-02-01,2025-12-31,334,22465539.573993012,14463109.620401748,53548.598994972315,343320.6749177479,14806430.295319496,1786824.1320589855,1512265.0159431493,80,75214.04391317893,79551.84522302571,5994.7069362764805
0.85,开发期,2025-02-01,2025-08-31,212,13842502.703848906,8870543.890293062,39940.21697607033,255393.2760453355,9125937.166338395,1097816.8539966254,1047181.1684270725,61,67294.06404693304,75448.00954004122,10800.0
0.85,留出期,2025-09-01,2025-12-31,122,8623036.870144112,5592565.730108687,13608.382018901977,87927.3988724124,5680493.128981099,689007.2780623605,465083.84751607705,19,77339.04993776925,79658.89556667207,5994.7069362764805
