quantile,split,evaluation_start,evaluation_end,n_days,planned_purchase_kwh,planned_cost_yuan,adjust_cost_yuan,grid_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,curtailed_pv_kwh,days_with_emergency,daily_cost_p95_yuan,daily_cost_cvar95_yuan,final_soc_kwh
0.6,开发期(2-8月),2025-02-01,2025-08-31,212,12523926.818363406,8000295.106900293,430307.92724262655,8430603.034142919,55764.90143646569,318594.9174888568,8749197.951631777,321083.335752325,811318.9515654389,148,65354.482520650774,68916.08347208505,10800.0
0.6,留出期(9-12月),2025-09-01,2025-12-31,122,7810770.782006054,5051349.3546373965,199199.09363110785,5250548.448268504,25681.633814498546,147469.47309945087,5398017.921367954,174603.14972226013,329402.6246546559,79,74075.82325295464,76897.22240231521,10293.788301374889
0.6,全年正式期,2025-02-01,2025-12-31,334,20334697.60036946,13051644.461537689,629507.0208737344,13681151.482411422,81446.53525096425,466064.39058830764,14147215.872999731,495686.48547458515,1140721.5762200947,227,71704.68787237385,74510.52165188132,10293.788301374889
0.7,开发期(2-8月),2025-02-01,2025-08-31,212,12533548.754325647,8073873.3686812725,442838.6074220054,8516711.97610328,33555.3123417052,198284.17423713888,8714996.150340417,326584.8360685857,847178.1414490219,111,65535.594927992286,68799.75478220274,10800.0
0.7,留出期(9-12月),2025-09-01,2025-12-31,122,7806616.911318947,5129298.677291749,178048.93037248688,5307347.607664235,10390.371060917969,61291.31182181481,5368638.91948605,167543.19792186093,345736.7969250639,54,74084.85662389502,76665.5120186792,10056.89056735093
0.7,全年正式期,2025-02-01,2025-12-31,334,20340165.665644594,13203172.045973022,620887.5377944922,13824059.583767513,43945.68340262317,259575.48605895368,14083635.069826465,494128.0339904466,1192914.9383740858,165,71319.43346473563,74051.82426481278,10056.89056735093
0.8,开发期(2-8月),2025-02-01,2025-08-31,212,12542658.522652447,8203950.885491229,417052.7990244493,8621003.68451568,18279.247317351976,111455.98790553107,8732459.67242121,314204.6005856305,894641.442250713,92,64592.28271574725,68659.20581828446,10800.0
0.8,留出期(9-12月),2025-09-01,2025-12-31,122,7806469.318560093,5210493.488463057,175797.93629906524,5386291.424762122,3420.282035126118,19792.86557710135,5406084.290339224,163840.57184768232,371032.25251207966,43,74983.18667595513,76732.36159793657,9725.540637908323
0.8,全年正式期,2025-02-01,2025-12-31,334,20349127.84121254,13414444.373954289,592850.7353235146,14007295.109277802,21699.529352478094,131248.85348263246,14138543.962760434,478045.1724333128,1265673.694762793,135,71483.8694690263,74292.73541582176,9725.540637908323
0.9,开发期(2-8月),2025-02-01,2025-08-31,212,12582325.809021454,8584978.243831929,299218.19471210474,8884196.438544035,6560.758531191342,44136.86197157313,8928333.300515607,271140.5487861336,1032422.1804525345,70,65146.54488367122,69201.98067275377,10800.0
0.9,留出期(9-12月),2025-09-01,2025-12-31,122,7805004.626036199,5455218.328364819,129192.04151468295,5584410.369879502,1164.4414116496507,7834.91720736692,5592245.28708687,151704.4715573561,436571.45611214393,34,76523.58967536096,78260.36107072761,9576.652064540931
0.9,全年正式期,2025-02-01,2025-12-31,334,20387330.435057655,14040196.572196748,428410.2362267877,14468606.808423534,7725.199942840993,51971.77917894005,14520578.587602478,422845.0203434897,1468993.6365646783,104,73351.78398869895,76070.55140337622,9576.652064540931
