quantile,split,evaluation_start,evaluation_end,n_days,planned_purchase_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,curtailed_pv_kwh,days_with_emergency,daily_cost_p95_yuan,daily_cost_cvar95_yuan,final_soc_kwh
0.6,全年正式期,2025-02-01,2025-12-31,334,20775525.06327783,12601779.994586272,267581.14732691005,1659523.2587391818,14261303.253325455,607217.0269967922,1164729.071165997,255,65820.82938716466,81617.78283466291,5753.909635786664
0.6,开发期,2025-02-01,2025-08-31,212,12744439.125105299,7694031.134714561,195206.3864407413,1223092.4672620604,8917123.601976622,360853.9213388601,824881.4400582969,168,66144.8783167139,83161.42764806132,10800.0
0.6,留出期,2025-09-01,2025-12-31,122,8031085.938172531,4907748.859871712,72374.76088616873,436430.79147712153,5344179.651348833,246363.10565793206,339847.6311077003,87,65531.83385283176,76854.28266117226,5753.909635786664
0.65,全年正式期,2025-02-01,2025-12-31,334,21048709.61923734,12780931.819624156,199406.0953840573,1237305.8108038735,14018237.630428031,771133.5087209934,1212424.6447709783,221,63957.92771454538,78308.66096899279,5785.04024041657
0.65,开发期,2025-02-01,2025-08-31,212,12919073.130289037,7806486.422980041,147206.16126135516,923857.3279951201,8730343.750975162,459864.93376549875,855273.7942742993,149,62817.028522931105,79036.70416433312,10800.0
0.65,留出期,2025-09-01,2025-12-31,122,8129636.488948302,4974445.396644115,52199.93412270213,313448.4828087532,5287893.879452868,311268.5749554947,357150.8504966792,72,64967.24290210661,74887.66788405742,5785.04024041657
0.7,全年正式期,2025-02-01,2025-12-31,334,21337457.18699788,12970607.819087032,149431.21063694463,928712.3631598055,13899320.182246838,964094.226844944,1268667.9310491704,188,64073.12400976772,75494.23816596648,5826.645884324519
0.7,开发期,2025-02-01,2025-08-31,212,13104606.867332231,7925798.88191459,110563.83078303911,694610.6356624239,8620409.517577011,579282.753863343,889898.7417861596,132,60763.08893487393,75351.30050713719,10800.0
0.7,留出期,2025-09-01,2025-12-31,122,8232850.31966565,5044808.937172443,38867.379853905535,234101.72749738168,5278910.664669825,384811.4729816009,378769.1892630107,56,64680.53068087676,73251.81692203115,5826.645884324519
0.75,全年正式期,2025-02-01,2025-12-31,334,21650955.776854653,13178193.98797387,110059.38580262684,686116.8032368694,13864310.79121074,1187730.6103120209,1333138.6988619757,150,63313.31016026145,72871.35055533257,5867.138881430008
0.75,开发期,2025-02-01,2025-08-31,212,13305313.387765363,8056553.827259932,81401.34743190889,512047.18246185407,8568601.009721786,717572.5212829302,930779.836410271,107,60314.99779312125,71813.70401641793,10800.0
0.75,留出期,2025-09-01,2025-12-31,122,8345642.38908929,5121640.16071394,28658.038370717946,174069.62077501527,5295709.781488955,470158.08902909065,402358.8624517048,43,65307.98219895599,71603.4632180402,5867.138881430008
0.8,全年正式期,2025-02-01,2025-12-31,334,22011526.88370226,13418699.150263045,80111.19697589056,499559.6033686431,13918258.753631687,1467144.6517810489,1401730.2034035523,124,63368.33762263228,71000.0503819283,5907.346059753024
0.8,开发期,2025-02-01,2025-08-31,212,13537849.495472766,8209223.480993087,59678.408191819675,375857.11472138774,8585080.595714474,894105.2043273011,974879.0393611399,89,59258.975876119446,69031.95538403196,10800.0
0.8,留出期,2025-09-01,2025-12-31,122,8473677.388229491,5209475.669269955,20432.78878407087,123702.48864725528,5333178.157917212,573039.4474537479,426851.1640424123,35,65244.44124160119,70458.62274729685,5907.346059753024
0.85,全年正式期,2025-02-01,2025-12-31,334,22445505.67829247,13709872.07596967,55392.986512102914,343930.3983376612,14053802.47430733,1820331.0595268314,1478639.8127790939,92,63742.779670512864,69648.42670193508,5983.802172513206
0.85,开发期,2025-02-01,2025-08-31,212,13819590.212356502,8394631.220537836,41313.76939562503,258262.99185749123,8652894.212395325,1119362.704019031,1024673.16377759,70,58778.44800958387,66882.18242570978,10800.0
0.85,留出期,2025-09-01,2025-12-31,122,8625915.465935966,5315240.855431833,14079.217116477894,85667.40648016993,5400908.261912003,700968.3555078001,453966.6490015038,22,66067.25274116088,69488.25360062796,5983.802172513206
