时间,时间标签,时段 t,时段区间,c_t (元/kWh),L_t (kW),P_t^fc (kW),净负荷 (kW)
0,00:00,1,00:00-00:10,0.4248,3439.8466,0.0,3439.8466
1,00:10,2,00:10-00:20,0.4245,3437.9792,0.0,3437.9792
2,00:20,3,00:20-00:30,0.4269,3444.3031,0.0,3444.3031
3,00:30,4,00:30-00:40,0.4272,3454.4437,0.0,3454.4437
4,00:40,5,00:40-00:50,0.4271,3458.8273,0.0,3458.8273
5,00:50,6,00:50-01:00,0.4285,3459.8401,0.0,3459.8401
6,01:00,7,01:00-01:10,0.4311,3467.1582,0.0,3467.1582
7,01:10,8,01:10-01:20,0.4302,3467.9632,0.0,3467.9632
8,01:20,9,01:20-01:30,0.4279,3466.9683,0.0,3466.9683
9,01:30,10,01:30-01:40,0.4312,3482.4927,0.0,3482.4927
10,01:40,11,01:40-01:50,0.4333,3495.0841,0.0,3495.0841
11,01:50,12,01:50-02:00,0.4311,3498.4443,0.0,3498.4443
12,02:00,13,02:00-02:10,0.4293,3505.2295,0.0,3505.2295
13,02:10,14,02:10-02:20,0.4324,3512.6387,0.0,3512.6387
14,02:20,15,02:20-02:30,0.4367,3516.8685,0.0,3516.8685
15,02:30,16,02:30-02:40,0.4348,3517.9246,0.0,3517.9246
16,02:40,17,02:40-02:50,0.4335,3518.5518,0.0,3518.5518
17,02:50,18,02:50-03:00,0.4357,3521.0976,0.0,3521.0976
18,03:00,19,03:00-03:10,0.4374,3526.9261,0.0,3526.9261
19,03:10,20,03:10-03:20,0.4371,3537.2854,0.0,3537.2854
20,03:20,21,03:20-03:30,0.4356,3544.8808,0.0,3544.8808
21,03:30,22,03:30-03:40,0.4353,3541.2787,0.0,3541.2787
22,03:40,23,03:40-03:50,0.436,3546.3976,0.0,3546.3976
23,03:50,24,03:50-04:00,0.4378,3560.207,0.0,3560.207
24,04:00,25,04:00-04:10,0.4401,3561.9581,0.0,3561.9581
25,04:10,26,04:10-04:20,0.4389,3556.7183,0.0,3556.7183
26,04:20,27,04:20-04:30,0.4364,3560.0272,0.0,3560.0272
27,04:30,28,04:30-04:40,0.4393,3580.654,0.5994,3580.0546
28,04:40,29,04:40-04:50,0.4422,3586.916,0.2345,3586.6815
29,04:50,30,04:50-05:00,0.4395,3571.2635,0.2885,3570.975
30,05:00,31,05:00-05:10,0.4333,3562.3171,18.6781,3543.639
31,05:10,32,05:10-05:20,0.4439,3591.3809,54.4698,3536.9111
32,05:20,33,05:20-05:30,0.4301,3579.7045,108.9718,3470.7327
33,05:30,34,05:30-05:40,0.3713,3486.119,184.1603,3301.9587
34,05:40,35,05:40-05:50,0.5708,3823.8994,277.0582,3546.8412
35,05:50,36,05:50-06:00,0.9099,4398.0727,388.5494,4009.5233
36,06:00,37,06:00-06:10,0.9368,4454.0123,521.2803,3932.732
37,06:10,38,06:10-06:20,0.8758,4371.7919,672.7677,3699.0242
38,06:20,39,06:20-06:30,0.8759,4392.953,844.2261,3548.7269
39,06:30,40,06:30-06:40,0.8601,4384.5956,1039.6744,3344.9212
40,06:40,41,06:40-06:50,0.8442,4434.7757,1259.3375,3175.4382
41,06:50,42,06:50-07:00,0.8334,4523.4561,1508.6318,3014.8243
42,07:00,43,07:00-07:10,0.8092,4524.0721,1791.4107,2732.6614
43,07:10,44,07:10-07:20,0.7972,4545.8867,2085.4865,2460.4002
